        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 2.66000000e+02,        +2.639050426333e-12,        +2.474707425810e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.641809837380e-12,        +2.476983034645e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.68000000e+02,        +2.642940307312e-12,        +2.478749424395e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.645758488316e-12,        +2.481002445030e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+02,        +2.646040017095e-12,        +2.483096967666e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.648903198516e-12,        +2.485343709332e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.72000000e+02,        +2.648180179547e-12,        +2.487542960104e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.651072526122e-12,        +2.489799289416e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.74000000e+02,        +2.649219547471e-12,        +2.491876574409e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.652123493592e-12,        +2.494157444151e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.76000000e+02,        +2.649049944752e-12,        +2.495890127861e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.651946572880e-12,        +2.498209125073e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.78000000e+02,        +2.647600237030e-12,        +2.499386100972e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.650469689337e-12,        +2.501755029520e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+02,        +2.644839079911e-12,        +2.502183988852e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.647660991210e-12,        +2.504612501365e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.82000000e+02,        +2.640776244548e-12,        +2.504126655460e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.643530182961e-12,        +2.506621948239e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.84000000e+02,        +2.635462394504e-12,        +2.505085867013e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.638128295473e-12,        +2.507652449365e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.86000000e+02,        +2.628987278741e-12,        +2.504966715191e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.631545858077e-12,        +2.507606261656e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.88000000e+02,        +2.621476404617e-12,        +2.503710701577e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.623909537315e-12,        +2.506421991946e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+02,        +2.613086351159e-12,        +2.501297336441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.615377404705e-12,        +2.504076284631e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.92000000e+02,        +2.603998966313e-12,        +2.497744199105e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.606133079963e-12,        +2.500583968108e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.94000000e+02,        +2.594414753413e-12,        +2.493105503511e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.596379058200e-12,        +2.495996700190e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.96000000e+02,        +2.584545786204e-12,        +2.487469301122e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.586329563980e-12,        +2.490400241791e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.98000000e+02,        +2.574608496409e-12,        +2.480953525229e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.576203279691e-12,        +2.483910560929e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+02,        +2.564816655101e-12,        +2.473701130213e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.566216272594e-12,        +2.476669019500e-12,        +0.000000000000e+00,        +0.000000000000e+00
