        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +8.395791204189e+00,        +8.517865824169e-02,        -1.610252528943e+00,        +5.495575306689e+00,        +7.071067811865e+00,        -1.610252528943e+00,        +5.495575306689e+00,        +8.401782562260e+00,        +5.146249072916e-02
 1.02000000e+02,        +7.071067811865e+00,        +8.418555574049e+00,        -3.192369277495e-03,        -1.132458412494e+00,        +5.604594910670e+00,        +7.071067811865e+00,        -1.132458412494e+00,        +5.604594910670e+00,        +8.422209972905e+00,        -3.926443144068e-02
 1.04000000e+02,        +7.071067811865e+00,        +8.425590694697e+00,        -9.386546483958e-02,        -6.479382361086e-01,        +5.673844503320e+00,        +7.071067811865e+00,        -6.479382361086e-01,        +5.673844503320e+00,        +8.426531100778e+00,        -1.320708258376e-01
 1.06000000e+02,        +7.071067811865e+00,        +8.416794436478e+00,        -1.841917478430e-01,        -1.595890523589e-01,        +5.702908456694e+00,        +7.071067811865e+00,        -1.595890523589e-01,        +5.702908456694e+00,        +8.414677731673e+00,        -2.242413577087e-01
 1.08000000e+02,        +7.071067811865e+00,        +8.392487373647e+00,        -2.715418504294e-01,        +3.296386371282e-01,        +5.691481192073e+00,        +7.071067811865e+00,        +3.296386371282e-01,        +5.691481192073e+00,        +8.387014643998e+00,        -3.130869134429e-01
 1.10000000e+02,        +7.071067811865e+00,        +8.353407939192e+00,        -3.533682104791e-01,        +8.167172405488e-01,        +5.639383612674e+00,        +7.071067811865e+00,        +8.167172405488e-01,        +5.639383612674e+00,        +8.344333607496e+00,        -3.960081469966e-01
 1.12000000e+02,        +7.071067811865e+00,        +8.300699736821e+00,        -4.272679304223e-01,        +1.298523614390e+00,        +5.546589035476e+00,        +7.071067811865e+00,        +1.298523614390e+00,        +5.546589035476e+00,        +8.287839443528e+00,        -4.705594800669e-01
 1.14000000e+02,        +7.071067811865e+00,        +8.235890134093e+00,        -4.910455938990e-01,        +1.771828236273e+00,        +5.413257273543e+00,        +7.071067811865e+00,        +1.771828236273e+00,        +5.413257273543e+00,        +8.219127251690e+00,        -5.345129493335e-01
 1.16000000e+02,        +7.071067811865e+00,        +8.160859178618e+00,        -5.427749824962e-01,        +2.233294208990e+00,        +5.239774943194e+00,        +7.071067811865e+00,        +2.233294208990e+00,        +5.239774943194e+00,        +8.140149824420e+00,        -5.859208291726e-01
 1.18000000e+02,        +7.071067811865e+00,        +8.077797973370e+00,        -5.808581204650e-01,        +2.679487893583e+00,        +5.026799505059e+00,        +7.071067811865e+00,        +2.679487893583e+00,        +5.026799505059e+00,        +8.053174369962e+00,        -6.231754290113e-01
