        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +6.035959543777e+00,        -7.136499920509e-01,        -3.308271908183e+00,        +5.254724733120e+00,        +7.071067811865e+00,        -3.308271908183e+00,        +5.254724733120e+00,        +6.037066585490e+00,        -7.168344582757e-01
 1.02000000e+02,        +7.071067811865e+00,        +5.936509655208e+00,        -6.686507886132e-01,        -2.861797706281e+00,        +5.492099794391e+00,        +7.071067811865e+00,        -2.861797706281e+00,        +5.492099794391e+00,        +5.937601320012e+00,        -6.723636375891e-01
 1.04000000e+02,        +7.071067811865e+00,        +5.846032692122e+00,        -6.084110230369e-01,        -2.400633288144e+00,        +5.691807815427e+00,        +7.071067811865e+00,        -2.400633288144e+00,        +5.691807815427e+00,        +5.847023641898e+00,        -6.126719691860e-01
 1.06000000e+02,        +7.071067811865e+00,        +5.766781531863e+00,        -5.346931844149e-01,        -1.927844670789e+00,        +5.853497135646e+00,        +7.071067811865e+00,        -1.927844670789e+00,        +5.853497135646e+00,        +5.767584858079e+00,        -5.395044084594e-01
 1.08000000e+02,        +7.071067811865e+00,        +5.700673958056e+00,        -4.495606875651e-01,        -1.446352345949e+00,        +5.977022216041e+00,        +7.071067811865e+00,        -1.446352345949e+00,        +5.977022216041e+00,        +5.701204162801e+00,        -4.549077110876e-01
 1.10000000e+02,        +7.071067811865e+00,        +5.649262390178e+00,        -3.553177037125e-01,        -9.589329706065e-01,        +6.062395381379e+00,        +7.071067811865e+00,        -9.589329706065e-01,        +6.062395381379e+00,        +5.649437994417e+00,        -3.611705957550e-01
 1.12000000e+02,        +7.071067811865e+00,        +5.613713143294e+00,        -2.544492708172e-01,        -4.682319778248e-01,        +6.109744744957e+00,        +7.071067811865e+00,        -4.682319778248e-01,        +6.109744744957e+00,        +5.613458927354e+00,        -2.607641005273e-01
 1.14000000e+02,        +7.071067811865e+00,        +5.594793795469e+00,        -1.495626895010e-01,        +2.321509807667e-02,        +6.119280242470e+00,        +7.071067811865e+00,        +2.321509807667e-02,        +6.119280242470e+00,        +5.594042689406e+00,        -1.562831545027e-01
 1.16000000e+02,        +7.071067811865e+00,        +5.592867349984e+00,        -4.333065430837e-02,        +5.129549714161e-01,        +6.091269122039e+00,        +7.071067811865e+00,        +5.129549714161e-01,        +6.091269122039e+00,        +5.591561998619e+00,        -5.038983039970e-02
 1.18000000e+02,        +7.071067811865e+00,        +5.607892137465e+00,        +6.156386654133e-02,        +9.985850929655e-01,        +6.026021705649e+00,        +7.071067811865e+00,        +9.985850929655e-01,        +6.026021705649e+00,        +5.605986167057e+00,        +5.424169394174e-02
 1.20000000e+02,        +7.071067811865e+00,        +5.639426759994e+00,        +1.624812810303e-01,        +1.477720738674e+00,        +5.923887757248e+00,        +7.071067811865e+00,        +1.477720738674e+00,        +5.923887757248e+00,        +5.636885771744e+00,        +1.549787305736e-01
 1.22000000e+02,        +7.071067811865e+00,        +5.686639786873e+00,        +2.568779647842e-01,        +1.947963116323e+00,        +5.785263354986e+00,        +7.071067811865e+00,        +1.947963116323e+00,        +5.785263354986e+00,        +5.683442097654e+00,        +2.492826350448e-01
 1.24000000e+02,        +7.071067811865e+00,        +5.748324323391e+00,        +3.423581809106e-01,        +2.406870829845e+00,        +5.610607752130e+00,        +7.071067811865e+00,        +2.406870829845e+00,        +5.610607752130e+00,        +5.744461467392e+00,        +3.347606988271e-01
 1.26000000e+02,        +7.071067811865e+00,        +5.822917946083e+00,        +4.167255383974e-01,        +2.851936933548e+00,        +5.400469303840e+00,        +7.071067811865e+00,        +2.851936933548e+00,        +5.400469303840e+00,        +5.818394943342e+00,        +4.092175875692e-01
 1.28000000e+02,        +7.071067811865e+00,        +5.908528788639e+00,        +4.780338866556e-01,        +3.280573658971e+00,        +5.155519119612e+00,        +7.071067811865e+00,        +3.280573658971e+00,        +5.155519119612e+00,        +5.903364178888e+00,        +4.707062230208e-01
 1.30000000e+02,        +7.071067811865e+00,        +6.002968732918e+00,        +5.246371199587e-01,        +3.690106683613e+00,        +4.876590667460e+00,        +7.071067811865e+00,        +3.690106683613e+00,        +4.876590667460e+00,        +5.997194366523e+00,        +5.175775858213e-01
 1.32000000e+02,        +7.071067811865e+00,        +6.103794673682e+00,        +5.552368655384e-01,        +4.077780505065e+00,        +4.564723112575e+00,        +7.071067811865e+00,        +4.077780505065e+00,        +4.564723112575e+00,        +6.097455246836e+00,        +5.485284190998e-01
