        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +3.005742323378e-12,        +2.736056118212e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.005722899373e-12,        +2.735318142301e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.985984438659e-12,        +2.730333892871e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.985968757115e-12,        +2.729554240301e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.965594100143e-12,        +2.726674563014e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.965589920152e-12,        +2.725854089570e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.945084070576e-12,        +2.725061369279e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.945096874286e-12,        +2.724202588635e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.924947694700e-12,        +2.725436239205e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.924980854005e-12,        +2.724543099211e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.905647901383e-12,        +2.727703075441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.905702874555e-12,        +2.726780723057e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.887608023706e-12,        +2.731731255629e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.887684569526e-12,        +2.730785798734e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.871204300554e-12,        +2.737359210389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.871300700340e-12,        +2.736397482491e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.856759873519e-12,        +2.744398002107e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.856873154021e-12,        +2.743427334131e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.844540079494e-12,        +2.752634880734e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.844666231892e-12,        +2.751662882512e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.834748856541e-12,        +2.761836839564e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.834883048593e-12,        +2.760871192542e-12,        +0.000000000000e+00,        +0.000000000000e+00
