        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +5.629938483118e-02,        -1.388803021401e-02,        -9.966556870980e-03,        +7.386043198997e-02,        +1.414213562373e-01,        -9.966556870980e-03,        +7.386043198997e-02,        +5.626781988720e-02,        -1.396666267262e-02
 1.02000000e+02,        +1.414213562373e-01,        +5.524587708171e-02,        -1.014049397928e-02,        -4.586461553011e-03,        +7.371132383137e-02,        +1.414213562373e-01,        -4.586461553011e-03,        +7.371132383137e-02,        +5.520985361235e-02,        -1.022769527969e-02
 1.04000000e+02,        +1.414213562373e-01,        +5.474223023598e-02,        -6.343017954254e-03,        +6.681279606384e-04,        +7.337219578726e-02,        +1.414213562373e-01,        +6.681279606384e-04,        +7.337219578726e-02,        +5.470053374489e-02,        -6.438665292197e-03
 1.06000000e+02,        +1.414213562373e-01,        +5.477791231662e-02,        -2.554774820030e-03,        +5.841237106318e-03,        +7.285967780294e-02,        +1.414213562373e-01,        +5.841237106318e-03,        +7.285967780294e-02,        +5.472930252527e-02,        -2.658637254597e-03
 1.08000000e+02,        +1.414213562373e-01,        +5.534283186162e-02,        +1.168185733287e-03,        +1.097646152456e-02,        +7.217662818894e-02,        +1.414213562373e-01,        +1.097646152456e-02,        +7.217662818894e-02,        +5.528603672985e-02,        +1.056457373699e-03
 1.10000000e+02,        +1.414213562373e-01,        +5.642739603041e-02,        +4.770399288290e-03,        +1.611522872051e-02,        +7.131274239207e-02,        +1.414213562373e-01,        +1.611522872051e-02,        +7.131274239207e-02,        +5.636110818706e-02,        +4.651288821485e-03
 1.12000000e+02,        +1.414213562373e-01,        +5.802179651369e-02,        +8.194620813934e-03,        +2.129506710997e-02,        +7.024489249348e-02,        +1.414213562373e-01,        +2.129506710997e-02,        +7.024489249348e-02,        +5.794467393557e-02,        +8.068769322674e-03
 1.14000000e+02,        +1.414213562373e-01,        +6.011453524536e-02,        +1.137971569850e-02,        +2.654764427601e-02,        +6.893728160851e-02,        +1.414213562373e-01,        +2.654764427601e-02,        +6.893728160851e-02,        +6.002520833175e-02,        +1.124795000576e-02
 1.16000000e+02,        +1.414213562373e-01,        +6.269016064906e-02,        +1.425893506340e-02,        +3.189636260555e-02,        +6.734157672959e-02,        +1.414213562373e-01,        +3.189636260555e-02,        +6.734157672959e-02,        +6.258724824879e-02,        +1.412230126589e-02
 1.18000000e+02,        +1.414213562373e-01,        +6.572617165793e-02,        +1.675877905269e-02,        +3.735334023541e-02,        +6.539727537578e-02,        +1.414213562373e-01,        +3.735334023541e-02,        +6.539727537578e-02,        +6.560830903334e-02,        +1.661857953301e-02
 1.20000000e+02,        +1.414213562373e-01,        +6.918907861410e-02,        +1.879875674149e-02,        +4.291567709773e-02,        +6.303266951275e-02,        +1.414213562373e-01,        +4.291567709773e-02,        +6.303266951275e-02,        +6.905496061935e-02,        +1.865658786278e-02
 1.22000000e+02,        +1.414213562373e-01,        +7.302971112088e-02,        +2.029247104704e-02,        +4.856103578719e-02,        +6.016688665107e-02,        +1.414213562373e-01,        +4.856103578719e-02,        +6.016688665107e-02,        +7.287815378192e-02,        +2.015025701269e-02
 1.24000000e+02,        +1.414213562373e-01,        +7.717805981865e-02,        +2.115056042317e-02,        +5.424278418721e-02,        +5.671358526338e-02,        +1.414213562373e-01,        +5.424278418721e-02,        +5.671358526338e-02,        +7.700808266554e-02,        +2.101057659354e-02
 1.26000000e+02,        +1.414213562373e-01,        +8.153825083889e-02,        +2.128605792088e-02,        +5.988527234301e-02,        +5.258690354322e-02,        +1.414213562373e-01,        +5.988527234301e-02,        +5.258690354322e-02,        +8.134918029645e-02,        +2.115093446615e-02
 1.28000000e+02,        +1.414213562373e-01,        +8.598466658442e-02,        +2.062259234182e-02,        +6.538023992603e-02,        +4.771011823304e-02,        +1.414213562373e-01,        +6.538023992603e-02,        +4.771011823304e-02,        +8.577625702502e-02,        +2.049528707101e-02
 1.30000000e+02,        +1.414213562373e-01,        +9.036066728607e-02,        +1.910544651010e-02,        +7.058579705022e-02,        +4.202705531311e-02,        +1.414213562373e-01,        +7.058579705022e-02,        +4.202705531311e-02,        +9.013323079269e-02,        +1.898917509351e-02
 1.32000000e+02,        +1.414213562373e-01,        +9.448165753239e-02,        +1.671472263935e-02,        +7.532971452072e-02,        +3.551552563628e-02,        +1.414213562373e-01,        +7.532971452072e-02,        +3.551552563628e-02,        +9.423618646399e-02,        +1.661283665332e-02
 1.34000000e+02,        +1.414213562373e-01,        +9.814410329208e-02,        +1.347878046418e-02,        +7.941862370113e-02,        +2.820097220127e-02,        +1.414213562373e-01,        +7.941862370113e-02,        +2.820097220127e-02,        +9.788236291607e-02,        +1.339459011604e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.011412436247e-01,        +9.484971916904e-03,        +8.265386796842e-02,        +2.016737284270e-02,        +1.414213562373e-01,        +8.265386796842e-02,        +2.016737284270e-02,        +1.008658081368e-01,        +9.421521439291e-03
 1.38000000e+02,        +1.414213562373e-01,        +1.032845441707e-01,        +4.884025409343e-03,        +8.485305472162e-02,        +1.156177033527e-02,        +1.414213562373e-01,        +8.485305472162e-02,        +1.156177033527e-02,        +1.029987517433e-01,        +4.843843444765e-03
 1.40000000e+02,        +1.414213562373e-01,        +1.044277239975e-01,        -1.151200054823e-04,        +8.587414624425e-02,        +2.589246628361e-03,        +1.414213562373e-01,        +8.587414624425e-02,        +2.589246628361e-03,        +1.041355374820e-01,        -1.302592778682e-04
 1.42000000e+02,        +1.414213562373e-01,        +1.044883007530e-01,        -5.261290481261e-03,        +8.563704530665e-02,        -6.502907137665e-03,        +1.414213562373e-01,        +8.563704530665e-02,        -6.502907137665e-03,        +1.041940796016e-01,        -5.250553044367e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.034611310797e-01,        -1.028603930507e-02,        +8.413716492809e-02,        -1.544999627664e-02,        +1.414213562373e-01,        +8.413716492809e-02,        -1.544999627664e-02,        +1.031693419118e-01,        -1.024962637740e-02
 1.46000000e+02,        +1.414213562373e-01,        +1.014200357009e-01,        -1.493272095742e-02,        +8.144708163743e-02,        -2.399883214217e-02,        +1.414213562373e-01,        +8.144708163743e-02,        -2.399883214217e-02,        +1.011349457361e-01,        -1.487185326850e-02
