        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.020540533659e-12,        +1.682090479027e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.019165049949e-12,        +1.680027581137e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +1.966714052731e-12,        +1.674660069493e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.965282112400e-12,        +1.672476331071e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +1.923806874171e-12,        +1.676001578211e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.922303872903e-12,        +1.673687191644e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +1.891936014816e-12,        +1.685730010143e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.890346295096e-12,        +1.683275057912e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +1.871181121609e-12,        +1.703491793244e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.869487913566e-12,        +1.700886238012e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +1.861606878930e-12,        +1.728955686025e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.859792255724e-12,        +1.726189425485e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +1.863268073938e-12,        +1.761792663892e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.861312944501e-12,        +1.758855665874e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +1.876197579929e-12,        +1.801645163395e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.874081747768e-12,        +1.798527700464e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +1.900376510591e-12,        +1.848085502598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.898078834826e-12,        +1.844778508782e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +1.935685124639e-12,        +1.900563276051e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.933183827695e-12,        +1.897058850090e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +1.981833088088e-12,        +1.958342294297e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.979106261811e-12,        +1.954634371813e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.038268942224e-12,        +2.020429527951e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.035295307635e-12,        +2.016514736225e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.104071725096e-12,        +2.085501857739e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.100831695521e-12,        +2.081380547532e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.177833279107e-12,        +2.151841365444e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.174310355253e-12,        +2.147518780646e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.257548054706e-12,        +2.217296007041e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.253730535773e-12,        +2.212783502727e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.340537279118e-12,        +2.279288302006e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.336420200891e-12,        +2.274604457493e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.423443314207e-12,        +2.334897186439e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.419030425626e-12,        +2.330068593719e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.502332582229e-12,        +2.381033192240e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.497638063170e-12,        +2.376094655101e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.572934917135e-12,        +2.414710737804e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.567984457739e-12,        +2.409704625562e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.631019009207e-12,        +2.433393169465e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.625849864651e-12,        +2.428367761731e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +2.672860555056e-12,        +2.435352903619e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.667520302088e-12,        +2.430359746172e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +2.695715684660e-12,        +2.419964745279e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.690259643439e-12,        +2.415055276722e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +2.698188995539e-12,        +2.387851238598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.692676587538e-12,        +2.383073164778e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +2.680400882009e-12,        +2.340831955650e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.674891466092e-12,        +2.336225952865e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +2.643912678668e-12,        +2.281684145351e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.638461534339e-12,        +2.277281410515e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +2.591438587140e-12,        +2.213776265660e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.586093645998e-12,        +2.209597220975e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +2.526429012948e-12,        +2.140664820724e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.521228713248e-12,        +2.136719005935e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +2.452629298431e-12,        +2.065739465685e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.447601651580e-12,        +2.062026413407e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +2.373700387603e-12,        +1.991970374972e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.368863102240e-12,        +1.988481130592e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +2.292949851844e-12,        +1.921773525062e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.288311220450e-12,        +1.918492453272e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +2.213182688522e-12,        +1.856979356411e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.208742908680e-12,        +1.853885939669e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +2.136654171701e-12,        +1.798874852360e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.132406817988e-12,        +1.795945286097e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +2.065094938689e-12,        +1.748286901900e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.061028380738e-12,        +1.745495389057e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +1.999778094693e-12,        +1.705680610946e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.995876739507e-12,        +1.703000333828e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +1.941604025912e-12,        +1.671254769098e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.937849330037e-12,        +1.668658564260e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +1.891186336660e-12,        +1.645024586717e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.887557580597e-12,        +1.642485372786e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +1.848929232161e-12,        +1.626887646069e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.845404077343e-12,        +1.624378662141e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +1.815091727899e-12,        +1.616672603192e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.811646590509e-12,        +1.614167513916e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +1.789837229354e-12,        +1.614171976484e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.786447510424e-12,        +1.611644894392e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +1.773268670464e-12,        +1.619160947181e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.769908882363e-12,        +1.616586416705e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +1.765449993806e-12,        +1.631403983282e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.762093822310e-12,        +1.628756966080e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +1.766414709241e-12,        +1.650650653602e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.763035049970e-12,        +1.647906552137e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +1.776161895727e-12,        +1.676621477230e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.772730904738e-12,        +1.673756233019e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+02,        +1.794639556057e-12,        +1.708984239627e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.791128757285e-12,        +1.705974543775e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+02,        +1.821714911316e-12,        +1.747321060073e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.818095408054e-12,        +1.744144715490e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+02,        +1.857131262230e-12,        +1.791086788607e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.853374104826e-12,        +1.787723263876e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +1.900451728079e-12,        +1.839560242872e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.896528493487e-12,        +1.835991454428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+02,        +1.950991827562e-12,        +1.891791569598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.946875464711e-12,        +1.888002917843e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+02,        +2.007745798730e-12,        +1.946551756261e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.003411782073e-12,        +1.942533417946e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+02,        +2.069315888617e-12,        +2.002293906668e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.064743694453e-12,        +1.998042345857e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +2.133859213258e-12,        +2.057139720654e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.129034084114e-12,        +2.052659321612e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.02000000e+02,        +2.199071964830e-12,        +2.108907334248e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.193986854119e-12,        +2.104211984943e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.04000000e+02,        +2.262233362232e-12,        +2.155196145865e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.256890860840e-12,        +2.150310523416e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.06000000e+02,        +2.320328558550e-12,        +2.193538031234e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.314742515699e-12,        +2.188498284977e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.08000000e+02,        +2.370257814488e-12,        +2.221610951002e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.364454309307e-12,        +2.216464478245e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+02,        +2.409118254372e-12,        +2.237491709155e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.403135590509e-12,        +2.232295803178e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.12000000e+02,        +2.434518898504e-12,        +2.239905013659e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.428406408819e-12,        +2.234724341490e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.14000000e+02,        +2.444868960330e-12,        +2.228414795822e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.438684616814e-12,        +2.223317904233e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.16000000e+02,        +2.439574703299e-12,        +2.203509004580e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.433381779243e-12,        +2.198564286848e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.18000000e+02,        +2.419097547974e-12,        +2.166552587406e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.412960793694e-12,        +2.161824286474e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+02,        +2.384861365713e-12,        +2.119617670410e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.378843258665e-12,        +2.115162488755e-12,        +0.000000000000e+00,        +0.000000000000e+00
