        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.46000000e+02,        +7.071067811865e+00,        +6.840754105857e+00,        -2.613537776155e-01,        +4.683161780645e+00,        -1.539890910566e+00,        +7.071067811865e+00,        +4.683161780645e+00,        -1.539890910566e+00,        +6.846347680574e+00,        -2.629884180375e-01
 1.48000000e+02,        +7.071067811865e+00,        +6.823429391175e+00,        -3.005001753275e-01,        +4.518526746164e+00,        -1.945682226415e+00,        +7.071067811865e+00,        +4.518526746164e+00,        -1.945682226415e+00,        +6.828883399874e+00,        -3.027639110747e-01
 1.50000000e+02,        +7.071067811865e+00,        +6.799044045831e+00,        -3.360575643482e-01,        +4.318637539042e+00,        -2.334192254605e+00,        +7.071067811865e+00,        +4.318637539042e+00,        -2.334192254605e+00,        +6.804296041748e+00,        -3.389321445987e-01
 1.52000000e+02,        +7.071067811865e+00,        +6.768388682040e+00,        -3.668192746699e-01,        +4.085336274337e+00,        -2.702299554157e+00,        +7.071067811865e+00,        +4.085336274337e+00,        -2.702299554157e+00,        +6.773378757300e+00,        -3.702778484732e-01
 1.54000000e+02,        +7.071067811865e+00,        +6.732455273559e+00,        -3.917481347419e-01,        +3.820757689983e+00,        -3.047097435417e+00,        +7.071067811865e+00,        +3.820757689983e+00,        -3.047097435417e+00,        +6.737127374711e+00,        -3.957556869021e-01
 1.56000000e+02,        +7.071067811865e+00,        +6.692401136548e+00,        -4.100093494617e-01,        +3.527298123091e+00,        -3.365924863664e+00,        +7.071067811865e+00,        +3.527298123091e+00,        -3.365924863664e+00,        +6.696704279619e+00,        -4.145233410568e-01
 1.58000000e+02,        +7.071067811865e+00,        +6.649507742538e+00,        -4.209956272070e-01,        +3.207580682102e+00,        -3.656391340931e+00,        +7.071067811865e+00,        +3.207580682102e+00,        -3.656391340931e+00,        +6.653397098787e+00,        -4.259668130212e-01
 1.60000000e+02,        +7.071067811865e+00,        +6.605136093263e+00,        -4.243438219522e-01,        +2.864418079306e+00,        -3.916395278144e+00,        +7.071067811865e+00,        +2.864418079306e+00,        -3.916395278144e+00,        +6.608573924419e+00,        -4.297172143724e-01
 1.62000000e+02,        +7.071067811865e+00,        +6.560680454618e+00,        -4.199427652749e-01,        +2.500774622516e+00,        -4.144135764103e+00,        +7.071067811865e+00,        +2.500774622516e+00,        -4.144135764103e+00,        +6.563636883667e+00,        -4.256587134066e-01
 1.64000000e+02,        +7.071067811865e+00,        +6.517522211691e+00,        -4.079323585525e-01,        +2.119728789972e+00,        -4.338118015413e+00,        +7.071067811865e+00,        +2.119728789972e+00,        -4.338118015413e+00,        +6.519975821995e+00,        -4.139277122133e-01
 1.66000000e+02,        +7.071067811865e+00,        +6.476985482024e+00,        -3.886943511140e-01,        +1.724437642283e+00,        -4.497153122552e+00,        +7.071067811865e+00,        +1.724437642283e+00,        -4.497153122552e+00,        +6.478923743098e+00,        -3.949036816128e-01
 1.68000000e+02,        +7.071067811865e+00,        +6.440295929606e+00,        -3.628355256554e-01,        +1.318104079922e+00,        -4.620352969138e+00,        +7.071067811865e+00,        +1.318104079922e+00,        -4.620352969138e+00,        +6.441715452192e+00,        -3.691923784379e-01
 1.70000000e+02,        +7.071067811865e+00,        +6.408543981419e+00,        -3.311642362830e-01,        +9.039476598004e-01,        -4.707121379547e+00,        +7.071067811865e+00,        +9.039476598004e-01,        -4.707121379547e+00,        +6.409450607367e+00,        -3.376023941620e-01
 1.72000000e+02,        +7.071067811865e+00,        +6.382653385621e+00,        -2.946613940472e-01,        +4.851793663536e-01,        -4.757142638461e+00,        +7.071067811865e+00,        +4.851793663536e-01,        -4.757142638461e+00,        +6.383062119586e+00,        -3.011161333949e-01
 1.74000000e+02,        +7.071067811865e+00,        +6.363355787532e+00,        -2.544470742892e-01,        +6.498041672288e-02,        -4.770368526460e+00,        +7.071067811865e+00,        +6.498041672289e-02,        -4.770368526460e+00,        +6.363290577783e+00,        -2.608563998457e-01
 1.76000000e+02,        +7.071067811865e+00,        +6.351171753921e+00,        -2.117439398522e-01,        -3.535151119958e-01,        -4.747004937009e+00,        +7.071067811865e+00,        -3.535151119957e-01,        -4.747004937009e+00,        +6.350665128827e+00,        -2.180497863812e-01
