        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.295173165808e-01,        -8.664296779549e-03,        -1.516009566401e-02,        +1.023284969188e-01,        +1.414213562373e-01,        -1.516009566401e-02,        +1.023284969188e-01,        +1.294826273113e-01,        -8.537175505791e-03
 1.02000000e+02,        +1.414213562373e-01,        +1.288625524137e-01,        -7.878126118872e-03,        -6.031097613691e-03,        +1.029752592367e-01,        +1.414213562373e-01,        -6.031097613691e-03,        +1.029752592367e-01,        +1.288393657168e-01,        -7.751117950158e-03
 1.04000000e+02,        +1.414213562373e-01,        +1.283562091826e-01,        -6.999879558795e-03,        +3.084005233096e-03,        +1.028193722621e-01,        +1.414213562373e-01,        +3.084005233096e-03,        +1.028193722621e-01,        +1.283436176959e-01,        -6.873925315377e-03
 1.06000000e+02,        +1.414213562373e-01,        +1.280114894331e-01,        -6.058321622870e-03,        +1.211704966819e-02,        +1.018702054061e-01,        +1.414213562373e-01,        +1.211704966819e-02,        +1.018702054061e-01,        +1.280087292534e-01,        -5.934130337145e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.278361267860e-01,        -5.083812250135e-03,        +2.100181950807e-02,        +1.001422819695e-01,        +1.414213562373e-01,        +2.100181950807e-02,        +1.001422819695e-01,        +1.278425884973e-01,        -4.961934456400e-03
 1.10000000e+02,        +1.414213562373e-01,        +1.278322715635e-01,        -4.107314136286e-03,        +2.967424511012e-02,        +9.765492903291e-02,        +1.414213562373e-01,        +2.967424511012e-02,        +9.765492903291e-02,        +1.278474959246e-01,        -3.988206977553e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.279965430368e-01,        -3.159415382978e-03,        +3.807254468714e-02,        +9.443198320144e-02,        +1.414213562373e-01,        +3.807254468714e-02,        +9.443198320144e-02,        +1.280202045522e-01,        -3.043497773226e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.283202386453e-01,        -2.269391120463e-03,        +4.613733244910e-02,        +9.050155977867e-02,        +1.414213562373e-01,        +4.613733244910e-02,        +9.050155977867e-02,        +1.283521201869e-01,        -2.157087936061e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.287896887199e-01,        -1.464324968231e-03,        +5.381171864739e-02,        +8.589588566603e-02,        +1.414213562373e-01,        +5.381171864739e-02,        +8.589588566603e-02,        +1.288296501909e-01,        -1.356099882455e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.293867439544e-01,        -7.683089032499e-04,        +6.104142488695e-02,        +8.065118947255e-02,        +1.414213562373e-01,        +6.104142488695e-02,        +8.065118947255e-02,        +1.294346877343e-01,        -6.646860163157e-04
