        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.744356629384e-12,        +2.385380096410e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.743296354767e-12,        +2.385719294600e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.729568397161e-12,        +2.383184699090e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.728482332178e-12,        +2.383595543925e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.714840159769e-12,        +2.381528334197e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.713753622290e-12,        +2.382000191038e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.700409081900e-12,        +2.380322800047e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.699343336292e-12,        +2.380846942118e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.686495776387e-12,        +2.379471944799e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.685468633037e-12,        +2.380041113869e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.673297943918e-12,        +2.378874461803e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.672324279194e-12,        +2.379482485560e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.660985120865e-12,        +2.378426643441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.660077315993e-12,        +2.379068110482e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.649694577008e-12,        +2.378025046814e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.648862878211e-12,        +2.378695038001e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.639528374687e-12,        +2.377569033501e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.638781179927e-12,        +2.378262906872e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.630551578747e-12,        +2.376963151909e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.629895658598e-12,        +2.377676377242e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.622791590814e-12,        +2.376119334404e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.622232252446e-12,        +2.376847372902e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.616238569575e-12,        +2.374958882639e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.615779773692e-12,        +2.375697106893e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.610846888540e-12,        +2.373414213920e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.610491329391e-12,        +2.374157863222e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.606537571870e-12,        +2.371430339828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.606286730347e-12,        +2.372174506019e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.603201635636e-12,        +2.368966046668e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.603055814969e-12,        +2.369705685903e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.600704245289e-12,        +2.365994746664e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.600662598046e-12,        +2.366724712714e-12,        +0.000000000000e+00,        +0.000000000000e+00
