        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +8.981846060764e+00,        +2.832767093782e-01,        -1.766944109583e+00,        +5.354393114701e+00,        +7.071067811865e+00,        -1.766944109583e+00,        +5.354393114701e+00,        +8.983983961336e+00,        +2.706826874655e-01
 1.02000000e+02,        +7.071067811865e+00,        +9.033271129790e+00,        +1.602473408577e-01,        -1.312382267115e+00,        +5.470826638637e+00,        +7.071067811865e+00,        -1.312382267115e+00,        +5.470826638637e+00,        +9.034743244902e+00,        +1.462978025335e-01
 1.04000000e+02,        +7.071067811865e+00,        +9.063259590841e+00,        +3.089562900230e-02,        -8.517304534065e-01,        +5.552018820204e+00,        +7.071067811865e+00,        -8.517304534065e-01,        +5.552018820204e+00,        +9.063865427569e+00,        +1.565079438263e-02
 1.06000000e+02,        +7.071067811865e+00,        +9.071189961665e+00,        -1.013039867814e-01,        -3.868867492409e-01,        +5.597851269208e+00,        +7.071067811865e+00,        -3.868867492409e-01,        +5.597851269209e+00,        +9.070736118294e+00,        -1.177545007946e-01
 1.08000000e+02,        +7.071067811865e+00,        +9.056943007409e+00,        -2.328344489101e-01,        +8.026393116988e-02,        +5.608087823312e+00,        +7.071067811865e+00,        +8.026393116988e-02,        +5.608087823312e+00,        +9.055247076063e+00,        -2.503723815711e-01
 1.10000000e+02,        +7.071067811865e+00,        +9.020905433078e+00,        -3.601909688862e-01,        +5.477767585788e-01,        +5.582378499722e+00,        +7.071067811865e+00,        +5.477767585788e-01,        +5.582378499722e+00,        +9.017799925957e+00,        -3.786705553445e-01
 1.12000000e+02,        +7.071067811865e+00,        +8.963973393547e+00,        -4.799386385896e-01,        +1.013576316704e+00,        +5.520282239776e+00,        +7.071067811865e+00,        +1.013576316704e+00,        +5.520282239776e+00,        +8.959309698446e+00,        -4.991881931905e-01
 1.14000000e+02,        +7.071067811865e+00,        +8.887554185666e+00,        -5.887752469147e-01,        +1.475391961811e+00,        +5.421308155728e+00,        +7.071067811865e+00,        +1.475391961811e+00,        +5.421308155728e+00,        +8.881206530915e+00,        -6.085992668496e-01
 1.16000000e+02,        +7.071067811865e+00,        +8.793563415382e+00,        -6.836011364191e-01,        +1.930703116933e+00,        +5.284974519682e+00,        +7.071067811865e+00,        +1.930703116933e+00,        +5.284974519682e+00,        +8.785432789863e+00,        -7.037830143058e-01
 1.18000000e+02,        +7.071067811865e+00,        +8.684414029113e+00,        -7.615969369390e-01,        +2.376698704622e+00,        +5.110884014530e+00,        +7.071067811865e+00,        +2.376698704622e+00,        +5.110884014530e+00,        +8.674431961579e+00,        -7.819023711395e-01
