        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.796369212153e-01,        +5.665534187563e-03,        -3.533888219166e-02,        +1.070878622940e-01,        +1.414213562373e-01,        -3.533888219166e-02,        +1.070878622940e-01,        +1.796796792267e-01,        +5.413653749310e-03
 1.02000000e+02,        +1.414213562373e-01,        +1.806654225958e-01,        +3.204946817153e-03,        -2.624764534230e-02,        +1.094165327727e-01,        +1.414213562373e-01,        -2.624764534230e-02,        +1.094165327727e-01,        +1.806948648980e-01,        +2.925956050670e-03
 1.04000000e+02,        +1.414213562373e-01,        +1.812651918168e-01,        +6.179125800460e-04,        -1.703460906813e-02,        +1.110403764041e-01,        +1.414213562373e-01,        -1.703460906813e-02,        +1.110403764041e-01,        +1.812773085514e-01,        +3.130158876526e-04
 1.06000000e+02,        +1.414213562373e-01,        +1.814237992333e-01,        -2.026079735629e-03,        -7.737734984818e-03,        +1.119570253842e-01,        +1.414213562373e-01,        -7.737734984818e-03,        +1.119570253842e-01,        +1.814147223659e-01,        -2.355090015893e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.811388601482e-01,        -4.656688978201e-03,        +1.605278623398e-03,        +1.121617564662e-01,        +1.414213562373e-01,        +1.605278623398e-03,        +1.121617564662e-01,        +1.811049415213e-01,        -5.007447631422e-03
 1.10000000e+02,        +1.414213562373e-01,        +1.804181086616e-01,        -7.203819377724e-03,        +1.095553517158e-02,        +1.116475699944e-01,        +1.414213562373e-01,        +1.095553517158e-02,        +1.116475699944e-01,        +1.803559985191e-01,        -7.573411106890e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.792794678709e-01,        -9.598772771793e-03,        +2.027152633409e-02,        +1.104056447955e-01,        +1.414213562373e-01,        +2.027152633409e-02,        +1.104056447955e-01,        +1.791861939689e-01,        -9.983763863811e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.777510837133e-01,        -1.177550493829e-02,        +2.950783923623e-02,        +1.084261631146e-01,        +1.414213562373e-01,        +2.950783923623e-02,        +1.084261631146e-01,        +1.776241306183e-01,        -1.217198533699e-02
 1.16000000e+02,        +1.414213562373e-01,        +1.758712683076e-01,        -1.367202272838e-02,        +3.861406233865e-02,        +1.056994903936e-01,        +1.414213562373e-01,        +3.861406233865e-02,        +1.056994903936e-01,        +1.757086557973e-01,        -1.407566028612e-02
 1.18000000e+02,        +1.414213562373e-01,        +1.736882805823e-01,        -1.523193873878e-02,        +4.753397409244e-02,        +1.022176802906e-01,        +1.414213562373e-01,        +4.753397409244e-02,        +1.022176802906e-01,        +1.734886392316e-01,        -1.563804742279e-02
 1.20000000e+02,        +1.414213562373e-01,        +1.712598594622e-01,        -1.640617343663e-02,        +5.620510218814e-02,        +9.797625493754e-02,        +1.414213562373e-01,        +5.620510218815e-02,        +9.797625493754e-02,        +1.710225005969e-01,        -1.680979697570e-02
 1.22000000e+02,        +1.414213562373e-01,        +1.686524206653e-01,        -1.715476186318e-02,        +6.455873940547e-02,        +9.297618418400e-02,        +1.414213562373e-01,        +6.455873940547e-02,        +9.297618418400e-02,        +1.683773969757e-01,        -1.755077368336e-02
 1.24000000e+02,        +1.414213562373e-01,        +1.659398351444e-01,        -1.744868541578e-02,        +7.252049117166e-02,        +8.722595710492e-02,        +1.414213562373e-01,        +7.252049117166e-02,        +8.722595710492e-02,        +1.656279875129e-01,        -1.783190470850e-02
 1.26000000e+02,        +1.414213562373e-01,        +1.632017279925e-01,        -1.727161241386e-02,        +8.001140685689e-02,        +8.074360779860e-02,        +1.414213562373e-01,        +8.001140685689e-02,        +8.074360779860e-02,        +1.628547136279e-01,        -1.763693482705e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.605212725437e-01,        -1.662139947033e-02,        +8.694970976769e-02,        +7.355853063930e-02,        +1.414213562373e-01,        +8.694970976769e-02,        +7.355853063930e-02,        +1.601415695001e-01,        -1.696393929425e-02
 1.30000000e+02,        +1.414213562373e-01,        +1.579825046418e-01,        -1.551118558241e-02,        +9.325309021991e-02,        +6.571290416305e-02,        +1.414213562373e-01,        +9.325309021991e-02,        +6.571290416305e-02,        +1.575733883473e-01,        -1.582642456601e-02
 1.32000000e+02,        +1.414213562373e-01,        +1.556672427750e-01,        -1.396990899047e-02,        +9.884146555571e-02,        +5.726254438817e-02,        +1.414213562373e-01,        +9.884146555571e-02,        +5.726254438817e-02,        +1.552327313855e-01,        -1.425384528264e-02
 1.34000000e+02,        +1.414213562373e-01,        +1.536517638238e-01,        -1.204209855714e-02,        +1.036400475145e-01,        +4.827703302587e-02,        +1.414213562373e-01,        +1.036400475145e-01,        +4.827703302587e-02,        +1.531965310428e-01,        -1.229138797487e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.520034415661e-01,        -9.786838891865e-03,        +1.075825008557e-01,        +3.883901600506e-02,        +1.414213562373e-01,        +1.075825008557e-01,        +3.883901600506e-02,        +1.515326979027e-01,        -9.998920031164e-03
 1.38000000e+02,        +1.414213562373e-01,        +1.507775945932e-01,        -7.275879209439e-03,        +1.106139387512e-01,        +2.904264060269e-02,        +1.414213562373e-01,        +1.106139387512e-01,        +2.904264060269e-02,        +1.502969406457e-01,        -7.449074043337e-03
 1.40000000e+02,        +1.414213562373e-01,        +1.500148018484e-01,        -4.590942143594e-03,        +1.126934902573e-01,        +1.899118744126e-02,        +1.414213562373e-01,        +1.126934902573e-01,        +1.899118744126e-02,        +1.495300597658e-01,        -4.724524801261e-03
 1.42000000e+02,        +1.414213562373e-01,        +1.497389214716e-01,        -1.820377990152e-03,        +1.137961992592e-01,        +8.794044233395e-03,        +1.414213562373e-01,        +1.137961992592e-01,        +8.794044233395e-03,        +1.492559529122e-01,        -1.914606346023e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.499559920405e-01,        +9.446127128681e-04,        +1.139140725986e-01,        -1.436753446338e-03,        +1.414213562373e-01,        +1.139140725986e-01,        -1.436753446339e-03,        +1.494805123655e-01,        +8.885053820024e-04
 1.46000000e+02,        +1.414213562373e-01,        +1.506541116135e-01,        +3.613913675480e-03,        +1.130561806150e-01,        -1.159013685810e-02,        +1.414213562373e-01,        +1.130561806150e-01,        -1.159013685810e-02,        +1.501915105172e-01,        +3.593766705570e-03
