        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.520499061410e-01,        -3.625711540784e-03,        -2.671360472517e-02,        +1.090870997675e-01,        +1.414213562373e-01,        -2.671360472517e-02,        +1.090870997675e-01,        +1.520816727891e-01,        -3.935763710135e-03
 1.02000000e+02,        +1.414213562373e-01,        +1.518603258813e-01,        -4.323908754506e-03,        -1.703884830191e-02,        +1.108307618532e-01,        +1.414213562373e-01,        -1.703884830191e-02,        +1.108307618532e-01,        +1.518714416085e-01,        -4.656194689020e-03
 1.04000000e+02,        +1.414213562373e-01,        +1.515473378743e-01,        -4.978224283254e-03,        -7.261532337028e-03,        +1.117246414861e-01,        +1.414213562373e-01,        -7.261532337028e-03,        +1.117246414861e-01,        +1.515337836057e-01,        -5.330351633506e-03
 1.06000000e+02,        +1.414213562373e-01,        +1.511213014806e-01,        -5.568530990694e-03,        +2.544764589563e-03,        +1.117629723113e-01,        +1.414213562373e-01,        +2.544764589563e-03,        +1.117629723113e-01,        +1.510796042271e-01,        -5.937306287746e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.505957338907e-01,        -6.076853269131e-03,        +1.230589787499e-02,        +1.109462365722e-01,        +1.414213562373e-01,        +1.230589787499e-02,        +1.109462365722e-01,        +1.505230916116e-01,        -6.458418341804e-03
 1.10000000e+02,        +1.414213562373e-01,        +1.499868997493e-01,        -6.487856738114e-03,        +2.194767909012e-02,        +1.092813070712e-01,        +1.414213562373e-01,        +2.194767909012e-02,        +1.092813070712e-01,        +1.498812779551e-01,        -6.877838889332e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.493133235210e-01,        -6.789264355592e-03,        +3.139643992219e-02,        +1.067815437927e-01,        +1.414213562373e-01,        +3.139643992219e-02,        +1.067815437927e-01,        +1.491735229231e-01,        -7.182935617400e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.485952371303e-01,        -6.972185930522e-03,        +4.057963279880e-02,        +1.034668338501e-01,        +1.414213562373e-01,        +4.057963279880e-02,        +1.034668338501e-01,        +1.484209322370e-01,        -7.364626801413e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.478539779082e-01,        -7.031350068388e-03,        +4.942646022208e-02,        +9.936356436048e-02,        +1.414213562373e-01,        +4.942646022208e-02,        +9.936356436048e-02,        +1.476457270504e-01,        -7.417613270797e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.471113540541e-01,        -6.965230199488e-03,        +5.786852218253e-02,        +9.450451952468e-02,        +1.414213562373e-01,        +5.786852218253e-02,        +9.450451952468e-02,        +1.468705818899e-01,        -7.340500186147e-03
 1.20000000e+02,        +1.414213562373e-01,        +1.463889965129e-01,        -6.776059479380e-03,        +6.584046879711e-02,        +8.892869552788e-02,        +1.414213562373e-01,        +6.584046879711e-02,        +8.892869552788e-02,        +1.461179506101e-01,        -7.135803670825e-03
 1.22000000e+02,        +1.414213562373e-01,        +1.457077172354e-01,        -6.469732909003e-03,        +7.328064369481e-02,        +8.268102975447e-02,        +1.414213562373e-01,        +7.328064369481e-02,        +8.268102975447e-02,        +1.454094008480e-01,        -6.809840965469e-03
 1.24000000e+02,        +1.414213562373e-01,        +1.450868941084e-01,        -6.055598852203e-03,        +8.013170278976e-02,        +7.581204406713e-02,        +1.414213562373e-01,        +8.013170278976e-02,        +7.581204406713e-02,        +1.447649777419e-01,        -6.372506673136e-03
 1.26000000e+02,        +1.414213562373e-01,        +1.445439023396e-01,        -5.546146048809e-03,        +8.634119302378e-02,        +6.837740533052e-02,        +1.414213562373e-01,        +8.634119302378e-02,        +6.837740533052e-02,        +1.442026171219e-01,        -5.836941650194e-03
 1.28000000e+02,        +1.414213562373e-01,        +1.440936107317e-01,        -4.956596028256e-03,        +9.186207645556e-02,        +6.043740974367e-02,        +1.414213562373e-01,        +9.186207645556e-02,        +6.043740974367e-02,        +1.437376269624e-01,        -5.219104965563e-03
 1.30000000e+02,        +1.414213562373e-01,        +1.437479591184e-01,        -4.304414312999e-03,        +9.665318668953e-02,        +5.205640065646e-02,        +1.414213562373e-01,        +9.665318668953e-02,        +5.205640065646e-02,        +1.433822536389e-01,        -4.537262885268e-03
 1.32000000e+02,        +1.414213562373e-01,        +1.435156303445e-01,        -3.608756766708e-03,        +1.006796069752e-01,        +4.330213217513e-02,        +1.414213562373e-01,        +1.006796069752e-01,        +4.330213217513e-02,        +1.431453465542e-01,        -3.811411840683e-03
 1.34000000e+02,        +1.414213562373e-01,        +1.434018267059e-01,        -2.889869723858e-03,        +1.039129622171e-01,        +3.424509283498e-02,        +1.414213562373e-01,        +1.039129622171e-01,        +3.424509283498e-02,        +1.430321311281e-01,        -3.062654639053e-03
 1.36000000e+02,        +1.414213562373e-01,        +1.434081568986e-01,        -2.168464014725e-03,        +1.063316204194e-01,        +2.495780481040e-02,        +1.414213562373e-01,        +1.063316204194e-01,        +2.495780481040e-02,        +1.430440961786e-01,        -2.312550651840e-03
 1.38000000e+02,        +1.414213562373e-01,        +1.435326354705e-01,        -1.465083607732e-03,        +1.079208025280e-01,        +1.551411447789e-02,        +1.414213562373e-01,        +1.079208025280e-01,        +1.551411447789e-02,        +1.431789975684e-01,        -1.582461304836e-03
