        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.870549760127e-12,        +2.613415060298e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.872736266047e-12,        +2.612197697887e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.869370395660e-12,        +2.607403608628e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.871625604046e-12,        +2.606169676473e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.868066590664e-12,        +2.601906301349e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.870384922792e-12,        +2.600664079840e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.866505538580e-12,        +2.596963469761e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.868876328740e-12,        +2.595724659927e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.864570537204e-12,        +2.592597595098e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.866979145459e-12,        +2.591376381397e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.862163037762e-12,        +2.588813490112e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.864591940770e-12,        +2.587625639925e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.859204238505e-12,        +2.585598928854e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.861634076744e-12,        +2.584460945600e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.855636186160e-12,        +2.582925704522e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.858046748870e-12,        +2.581854048319e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.851422358415e-12,        +2.580751083997e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.853793490424e-12,        +2.579761471120e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.846547712566e-12,        +2.579019616336e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.848860129810e-12,        +2.578126406182e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.841018199162e-12,        +2.577665241601e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.843254202390e-12,        +2.576880917529e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.834859754562e-12,        +2.576613636579e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.837003833272e-12,        +2.575948384727e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.828116802010e-12,        +2.575784725837e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.830156123258e-12,        +2.575246113886e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.820850306339e-12,        +2.575095280798e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.822775085660e-12,        +2.574688036578e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.813135441994e-12,        +2.574461526503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.814939196177e-12,        +2.574187414382e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.805058946635e-12,        +2.573801675879e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.806738630574e-12,        +2.573659467042e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.796716242601e-12,        +2.573038314694e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.798272274809e-12,        +2.573023845724e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.788208415233e-12,        +2.572100566869e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.789644598748e-12,        +2.572206879530e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.779639140142e-12,        +2.570925979127e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.780962487516e-12,        +2.571143532971e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.771111650855e-12,        +2.569462075567e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.772332123560e-12,        +2.569779023893e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +2.762725833936e-12,        +2.567667545938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.763856007867e-12,        +2.568070064878e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +2.754575531127e-12,        +2.565513045578e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.755630200859e-12,        +2.565985705507e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +2.746746117781e-12,        +2.562981599194e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.747741852869e-12,        +2.563507767424e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +2.739312414581e-12,        +2.560068614373e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.740267081460e-12,        +2.560630878068e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +2.732336976051e-12,        +2.556781523233e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.733269239047e-12,        +2.557362121683e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +2.725868785406e-12,        +2.553139081437e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.726797599990e-12,        +2.553720337269e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +2.719942371542e-12,        +2.549170362705e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.720886482360e-12,        +2.549735102175e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +2.714577351053e-12,        +2.544913493696e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.715554806421e-12,        +2.545445446948e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +2.709778386459e-12,        +2.540414178786e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.710806080038e-12,        +2.540898351769e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +2.705535541680e-12,        +2.535724066912e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.706628790902e-12,        +2.536147077555e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +2.701825007226e-12,        +2.530899013556e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.702997176866e-12,        +2.531249385747e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +2.698610160671e-12,        +2.525997290278e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.699872338698e-12,        +2.526265700188e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +2.695842922554e-12,        +2.521077792439e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.697203654102e-12,        +2.521257262719e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +2.693465363731e-12,        +2.516198292905e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.694930447757e-12,        +2.516284331347e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +2.691411517228e-12,        +2.511413786090e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.692983869064e-12,        +2.511404466370e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +2.689609345476e-12,        +2.506774962634e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.691288927222e-12,        +2.506670945854e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +2.687982812446e-12,        +2.502326850583e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.689766631764e-12,        +2.502131347430e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +2.686454009379e-12,        +2.498107654111e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.688336185954e-12,        +2.497826328601e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +2.684945282544e-12,        +2.494147815692e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.686917180100e-12,        +2.493788632620e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +2.683381311795e-12,        +2.490469322059e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.685431732239e-12,        +2.490042341486e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +2.681691089695e-12,        +2.487085268389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.683806524607e-12,        +2.486602391675e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +2.679809752799e-12,        +2.483999688785e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.681974686212e-12,        +2.483474361839e-12,        +0.000000000000e+00,        +0.000000000000e+00
