        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.740049914144e-12,        +2.738911615421e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.740853330287e-12,        +2.739760250189e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.736930639805e-12,        +2.709022694961e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.737747078385e-12,        +2.709866823595e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.738449984009e-12,        +2.681820517092e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.739283581274e-12,        +2.682658316853e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.744356897602e-12,        +2.657861841841e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.745208838268e-12,        +2.658690154339e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.754339723373e-12,        +2.637610617071e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.755208639715e-12,        +2.638425100034e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.768031330071e-12,        +2.621437313109e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.768913689891e-12,        +2.622232658655e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.785012617223e-12,        +2.609618190012e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.785903101436e-12,        +2.610388400814e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.804814809422e-12,        +2.602333978008e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.805706683518e-12,        +2.603072689059e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.826921106390e-12,        +2.599667709372e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.827806591921e-12,        +2.600368540093e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.850768377339e-12,        +2.601601707926e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.851639029871e-12,        +2.602258627114e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.875749682670e-12,        +2.608014017661e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.876596781472e-12,        +2.608621702418e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.901218463184e-12,        +2.618674828955e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.902033415378e-12,        +2.619228998243e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.926495239213e-12,        +2.633243726506e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.927269997389e-12,        +2.633741430474e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.950877585828e-12,        +2.651268813995e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.951605073524e-12,        +2.651708661833e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.973653970010e-12,        +2.672188931248e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.974328504298e-12,        +2.672571242954e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.994121730324e-12,        +2.695340224851e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.994739425638e-12,        +2.695667096158e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +3.011609042754e-12,        +2.719968214016e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.012168175628e-12,        +2.720243488568e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +3.025500165661e-12,        +2.745246169285e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.026001477059e-12,        +2.745475317958e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +3.035262643392e-12,        +2.770300075872e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.035709554519e-12,        +2.770489989502e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +3.040474558083e-12,        +2.794239710196e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.040873277655e-12,        +2.794398418439e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +3.040849466135e-12,        +2.816194493848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.041208972340e-12,        +2.816330828874e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +3.036256459646e-12,        +2.835351932088e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.036588348288e-12,        +2.835475160488e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +3.026732949219e-12,        +2.850995756438e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.027051150120e-12,        +2.851115205461e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +3.012488310915e-12,        +2.862540534794e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.012808686157e-12,        +2.862665239306e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +2.993897432431e-12,        +2.869559604566e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.994237280951e-12,        +2.869697998711e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +2.971484303184e-12,        +2.871803756192e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971861804782e-12,        +2.871963428902e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +2.945896929510e-12,        +2.869209072848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.946330566197e-12,        +2.869396599716e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +2.917875813765e-12,        +2.861893550205e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.918383806853e-12,        +2.862114406747e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +2.888218845968e-12,        +2.850143357115e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.888818643411e-12,        +2.850401911169e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +2.857745629787e-12,        +2.834390637239e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.858453470884e-12,        +2.834690212140e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +2.827264009218e-12,        +2.815185433038e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.828094584251e-12,        +2.815528428870e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +2.797540971695e-12,        +2.793164567316e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.798507183830e-12,        +2.793552625296e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +2.769279322370e-12,        +2.769020167374e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.770392149763e-12,        +2.769454362163e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +2.743100707721e-12,        +2.743470058166e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.744369156088e-12,        +2.743951104148e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +2.719534843043e-12,        +2.717231614927e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.720965973656e-12,        +2.717760074792e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +2.699014250079e-12,        +2.690999983626e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.700613265259e-12,        +2.691576470306e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +2.681873469749e-12,        +2.665430954065e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.683643837189e-12,        +2.666056319660e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +2.668351570761e-12,        +2.641128271344e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.670295168978e-12,        +2.641803778864e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +2.658596791468e-12,        +2.618634824265e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.660714060774e-12,        +2.619362299523e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +2.652672282326e-12,        +2.598426951217e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.654962368471e-12,        +2.599208912974e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +2.650562113600e-12,        +2.580911033617e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.653022994250e-12,        +2.581750800184e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +2.652176940017e-12,        +2.566421574608e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.654805527167e-12,        +2.567323344651e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +2.657358944469e-12,        +2.555220057151e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.660151158685e-12,        +2.556188961583e-12,        +0.000000000000e+00,        +0.000000000000e+00
