        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.46000000e+02,        +1.414213562373e-01,        +1.552195706055e-01,        -1.303321639191e-02,        +1.161697778418e-01,        +2.898336186333e-02,        +1.414213562373e-01,        +1.161697778418e-01,        +2.898336186333e-02,        +1.554781865637e-01,        -1.294410345992e-02
 1.48000000e+02,        +1.414213562373e-01,        +1.533906374665e-01,        -7.467596573695e-03,        +1.186710428687e-01,        +1.781106877554e-02,        +1.414213562373e-01,        +1.186710428687e-01,        +1.781106877554e-02,        +1.536660805150e-01,        -7.402693785994e-03
 1.50000000e+02,        +1.414213562373e-01,        +1.526462841156e-01,        -1.644950795247e-03,        +1.198215083311e-01,        +6.370448896883e-03,        +1.414213562373e-01,        +1.198215083311e-01,        +6.370448896883e-03,        +1.529347859300e-01,        -1.606945866331e-03
 1.52000000e+02,        +1.414213562373e-01,        +1.530174924751e-01,        +4.196649656994e-03,        +1.195911261131e-01,        -5.101190245877e-03,        +1.414213562373e-01,        +1.195911261131e-01,        -5.101190245877e-03,        +1.533147743836e-01,        +4.205882200786e-03
 1.54000000e+02,        +1.414213562373e-01,        +1.544741424715e-01,        +9.820132753837e-03,        +1.180089720392e-01,        -1.636762095748e-02,        +1.414213562373e-01,        +1.180089720392e-01,        -1.636762095748e-02,        +1.547756359081e-01,        +9.799632213922e-03
 1.56000000e+02,        +1.414213562373e-01,        +1.569291506639e-01,        +1.500773817301e-02,        +1.151590863728e-01,        -2.721179802014e-02,        +1.414213562373e-01,        +1.151590863728e-01,        -2.721179802014e-02,        +1.572302338342e-01,        +1.495748556007e-02
 1.58000000e+02,        +1.414213562373e-01,        +1.602486638248e-01,        +1.957609733002e-02,        +1.111702595461e-01,        -3.745072260258e-02,        +1.414213562373e-01,        +1.111702595461e-01,        -3.745072260258e-02,        +1.605448873013e-01,        +1.949697194462e-02
 1.60000000e+02,        +1.414213562373e-01,        +1.642662005617e-01,        +2.338609859381e-02,        +1.062018687115e-01,        -4.694508405095e-02,        +1.414213562373e-01,        +1.062018687115e-01,        -4.694508405095e-02,        +1.645534787988e-01,        +2.327977546694e-02
 1.62000000e+02,        +1.414213562373e-01,        +1.687981341494e-01,        +2.634682646230e-02,        +1.004283692503e-01,        -5.560296508697e-02,        +1.414213562373e-01,        +1.004283692503e-01,        -5.560296508697e-02,        +1.690728881242e-01,        +2.621563377399e-02
 1.64000000e+02,        +1.414213562373e-01,        +1.736581169942e-01,        +2.841409276378e-02,        +9.402483824510e-02,        -6.337812226845e-02,        +1.414213562373e-01,        +9.402483824510e-02,        -6.337812226845e-02,        +1.739173627198e-01,        +2.826085052952e-02
 1.66000000e+02,        +1.414213562373e-01,        +1.786687554546e-01,        +2.958492495027e-02,        +8.715526022443e-02,        -7.026419770888e-02,        +1.414213562373e-01,        +8.715526022443e-02,        -7.026419770888e-02,        +1.789101415209e-01,        +2.941278418754e-02
 1.68000000e+02,        +1.414213562373e-01,        +1.836697337928e-01,        +2.988971176111e-02,        +7.996435816349e-02,        -7.628655103227e-02,        +1.414213562373e-01,        +7.996435816349e-02,        -7.628655103227e-02,        +1.838915368573e-01,        +2.970200856158e-02
 1.70000000e+02,        +1.414213562373e-01,        +1.885223774026e-01,        +2.938359813933e-02,        +7.257298475756e-02,        -8.149329069027e-02,        +1.414213562373e-01,        +7.257298475756e-02,        -8.149329069027e-02,        +1.887234672796e-01,        +2.918373134252e-02
 1.72000000e+02,        +1.414213562373e-01,        +1.931111820177e-01,        +2.813834420323e-02,        +6.507655622853e-02,        -8.594670589690e-02,        +1.414213562373e-01,        +6.507655622853e-02,        -8.594670589690e-02,        +1.932909681801e-01,        +2.792968009166e-02
 1.74000000e+02,        +1.414213562373e-01,        +1.973430900964e-01,        +2.623540067004e-02,        +5.754576062124e-02,        -8.971583771157e-02,        +1.414213562373e-01,        +5.754576062124e-02,        -8.971583771158e-02,        +1.975014598698e-01,        +2.602120406525e-02
 1.76000000e+02,        +1.414213562373e-01,        +2.011453249439e-01,        +2.376053670256e-02,        +5.002874795697e-02,        -9.287051142759e-02,        +1.414213562373e-01,        +5.002874795697e-02,        -9.287051142759e-02,        +2.012825813361e-01,        +2.354392524783e-02
 1.78000000e+02,        +1.414213562373e-01,        +2.044624848703e-01,        +2.080004950583e-02,        +4.255412358553e-02,        -9.547684630506e-02,        +1.414213562373e-01,        +4.255412358553e-02,        -9.547684630506e-02,        +2.045792895213e-01,        +2.058396660786e-02
