        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +1.013530049401e+01,        +1.201526680146e+00,        -2.552479588822e+00,        +4.785811182806e+00,        +7.071067811865e+00,        -2.552479588822e+00,        +4.785811182806e+00,        +1.013510034645e+01,        +1.202095685370e+00
 1.02000000e+02,        +7.071067811865e+00,        +1.030882019801e+01,        +1.042622495651e+00,        -2.168496339077e+00,        +4.913768628827e+00,        +7.071067811865e+00,        -2.168496339077e+00,        +4.913768628827e+00,        +1.030849600011e+01,        +1.043569859533e+00
 1.04000000e+02,        +7.071067811865e+00,        +1.045419260467e+01,        +8.632185578156e-01,        -1.788535491532e+00,        +5.017264625188e+00,        +7.071067811865e+00,        -1.788535491532e+00,        +5.017264625188e+00,        +1.045376608652e+01,        +8.645601297360e-01
 1.06000000e+02,        +7.071067811865e+00,        +1.057006087048e+01,        +6.675896669035e-01,        -1.412322042014e+00,        +5.099033447755e+00,        +7.071067811865e+00,        -1.412322042014e+00,        +5.099033447755e+00,        +1.056956075444e+01,        +6.693474476159e-01
 1.08000000e+02,        +7.071067811865e+00,        +1.065549465625e+01,        +4.597904464466e-01,        -1.039076090876e+00,        +5.161223861256e+00,        +7.071067811865e+00,        -1.039076090876e+00,        +5.161223861256e+00,        +1.065495783125e+01,        +4.619901241001e-01
 1.10000000e+02,        +7.071067811865e+00,        +1.070987874899e+01,        +2.436898718799e-01,        -6.676600492477e-01,        +5.205369055929e+00,        +7.071067811865e+00,        -6.676600492477e-01,        +5.205369055929e+00,        +1.070935101061e+01,        +2.463584701382e-01
 1.12000000e+02,        +7.071067811865e+00,        +1.073283493609e+01,        +2.302803195922e-02,        -2.967091762906e-01,        +5.232372226000e+00,        +7.071067811865e+00,        -2.967091762906e-01,        +5.232372226000e+00,        +1.073237139639e+01,        +2.619165581993e-02
 1.14000000e+02,        +7.071067811865e+00,        +1.072417725521e+01,        -1.985140406710e-01,        +7.524965717002e-02,        +5.242500429405e+00,        +7.071067811865e+00,        +7.524965717003e-02,        +5.242500429405e+00,        +1.072384248820e+01,        -1.948324002736e-01
 1.16000000e+02,        +7.071067811865e+00,        +1.068390029268e+01,        -4.172389979340e-01,        +4.496848027921e-01,        +5.235382666920e+00,        +7.071067811865e+00,        +4.496848027921e-01,        +5.235382666920e+00,        +1.068376824323e+01,        -4.130216511491e-01
 1.18000000e+02,        +7.071067811865e+00,        +1.061220033136e+01,        -6.293590270574e-01,        +8.279456268664e-01,        +5.210011257235e+00,        +7.071067811865e+00,        +8.279456268664e-01,        +5.210011257235e+00,        +1.061235397813e+01,        -6.245958146265e-01
 1.20000000e+02,        +7.071067811865e+00,        +1.050952938805e+01,        -8.309298471307e-01,        +1.211140821838e+00,        +5.164748653326e+00,        +7.071067811865e+00,        +1.211140821838e+00,        +5.164748653326e+00,        +1.051006011521e+01,        -8.256204533318e-01
 1.22000000e+02,        +7.071067811865e+00,        +1.037668208319e+01,        -1.017800820549e+00,        +1.600003700832e+00,        +5.097344954552e+00,        +7.071067811865e+00,        +1.600003700832e+00,        +5.097344954552e+00,        +1.037768868212e+01,        -1.011957189599e+00
 1.24000000e+02,        +7.071067811865e+00,        +1.021491438578e+01,        -1.185590933147e+00,        +1.994740755223e+00,        +5.004974552561e+00,        +7.071067811865e+00,        +1.994740755223e+00,        +5.004974552561e+00,        +1.021650157813e+01,        -1.179239775530e+00
 1.26000000e+02,        +7.071067811865e+00,        +1.002609107586e+01,        -1.329702608587e+00,        +2.394862842690e+00,        +4.884303465033e+00,        +7.071067811865e+00,        +2.394862842690e+00,        +4.884303465033e+00,        +1.002836742741e+01,        -1.322887935601e+00
 1.28000000e+02,        +7.071067811865e+00,        +9.812854772809e+00,        -1.445387384588e+00,        +2.799003154424e+00,        +4.731601524921e+00,        +7.071067811865e+00,        +2.799003154424e+00,        +4.731601524921e+00,        +9.815929859348e+00,        -1.438172945368e+00
 1.30000000e+02,        +7.071067811865e+00,        +9.578803231644e+00,        -1.527878439797e+00,        +3.204732916628e+00,        +4.542914864743e+00,        +7.071067811865e+00,        +3.204732916628e+00,        +4.542914864743e+00,        +9.582783933058e+00,        -1.520349856305e+00
 1.32000000e+02,        +7.071067811865e+00,        +9.328653343805e+00,        -1.572603433718e+00,        +3.608394579256e+00,        +4.314312762986e+00,        +7.071067811865e+00,        +3.608394579256e+00,        +4.314312762986e+00,        +9.333639191780e+00,        -1.564869741656e+00
 1.34000000e+02,        +7.071067811865e+00,        +9.068360698528e+00,        -1.575485380356e+00,        +4.004982239830e+00,        +4.042217237013e+00,        +7.071067811865e+00,        +4.004982239830e+00,        +4.042217237013e+00,        +9.074438298327e+00,        -1.567679600978e+00
 1.36000000e+02,        +7.071067811865e+00,        +8.805154680531e+00,        -1.533327645811e+00,        +4.388108245950e+00,        +3.723812145712e+00,        +7.071067811865e+00,        +4.388108245950e+00,        +3.723812145712e+00,        +8.812391375160e+00,        -1.525605957750e+00
 1.38000000e+02,        +7.071067811865e+00,        +8.547444383614e+00,        -1.444260844133e+00,        +4.750099854875e+00,        +3.357510240089e+00,        +7.071067811865e+00,        +4.750099854875e+00,        +3.357510240089e+00,        +8.555881525195e+00,        -1.436799926939e+00
 1.40000000e+02,        +7.071067811865e+00,        +8.304554759851e+00,        -1.308205692264e+00,        +5.082265875395e+00,        +2.943432878273e+00,        +7.071067811865e+00,        +5.082265875395e+00,        +2.943432878273e+00,        +8.314201175156e+00,        -1.301197908674e+00
 1.42000000e+02,        +7.071067811865e+00,        +8.086269914868e+00,        -1.127281341612e+00,        +5.375355887195e+00,        +2.483832577406e+00,        +7.071067811865e+00,        +5.375355887195e+00,        +2.483832577406e+00,        +8.097096352838e+00,        -1.120927639180e+00
 1.44000000e+02,        +7.071067811865e+00,        +7.902193235110e+00,        -9.060714923144e-01,        +5.620202013926e+00,        +1.983371364107e+00,        +7.071067811865e+00,        +5.620202013926e+00,        +1.983371364107e+00,        +7.914128696115e+00,        -9.005722361007e-01
 1.46000000e+02,        +7.071067811865e+00,        +7.760978530277e+00,        -6.516608195957e-01,        +5.808488892091e+00,        +1.449168093166e+00,        +7.071067811865e+00,        +5.808488892091e+00,        +1.449168093166e+00,        +7.773909328184e+00,        -6.472051729960e-01
 1.48000000e+02,        +7.071067811865e+00,        +7.669531873324e+00,        -3.733798286848e-01,        +5.933552143433e+00,        +8.905534387768e-01,        +7.071067811865e+00,        +5.933552143433e+00,        +8.905534387768e-01,        +7.683304025752e+00,        -3.701346892997e-01
 1.50000000e+02,        +7.071067811865e+00,        +7.632314205782e+00,        -8.224753976235e-02,        +5.991075416553e+00,        +3.185224448441e-01,        +7.071067811865e+00,        +5.991075416553e+00,        +3.185224448441e-01,        +7.646739296502e+00,        -8.034729331657e-02
 1.52000000e+02,        +7.071067811865e+00,        +7.650874623753e+00,        +2.098324828497e-01,        +5.979556305653e+00,        -2.550595122938e-01,        +7.071067811865e+00,        +5.979556305653e+00,        -2.550595122938e-01,        +7.665738719179e+00,        +2.102941100393e-01
 1.54000000e+02,        +7.071067811865e+00,        +7.723707123576e+00,        +4.910066376918e-01,        +5.900448601958e+00,        -8.183810478738e-01,        +7.071067811865e+00,        +5.900448601958e+00,        -8.183810478738e-01,        +7.738781795407e+00,        +4.899816106961e-01
 1.56000000e+02,        +7.071067811865e+00,        +7.846457533193e+00,        +7.503869086503e-01,        +5.757954318641e+00,        -1.360589901007e+00,        +7.071067811865e+00,        +5.757954318641e+00,        -1.360589901007e+00,        +7.861511691708e+00,        +7.478742780037e-01
