        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e+02,        -6.642137125805e+00,        +2.141081088441e+01,        -2.303400205869e+00,        +1.180729246187e+02,        -2.303400205869e+00,        +1.180729246187e+02,        -6.642080553678e+00,        +2.142130426631e+01
 1.02000000e+02,        -6.356328098546e+00,        +1.784962041351e+01,        -2.388618447403e+00,        +1.138123581746e+02,        -2.388618447403e+00,        +1.138123581746e+02,        -6.356374214194e+00,        +1.786648396166e+01
 1.04000000e+02,        -6.129420857021e+00,        +1.431384804801e+01,        -2.460830606633e+00,        +1.096199417975e+02,        -2.460830606633e+00,        +1.096199417975e+02,        -6.129623143691e+00,        +1.433691077176e+01
 1.06000000e+02,        -5.955553259674e+00,        +1.080191247251e+01,        -2.518927026308e+00,        +1.054815812611e+02,        -2.518927026308e+00,        +1.054815812611e+02,        -5.955946721943e+00,        +1.083119395611e+01
 1.08000000e+02,        -5.830426878358e+00,        +7.309668130659e+00,        -2.562095104460e+00,        +1.013828329519e+02,        -2.562095104460e+00,        +1.013828329519e+02,        -5.831032331740e+00,        +7.345345392036e+00
 1.10000000e+02,        -5.751075946394e+00,        +3.831356979342e+00,        -2.589802551569e+00,        +9.730906282839e+01,        -2.589802551569e+00,        +9.730906282839e+01,        -5.751903012252e+00,        +3.873746477142e+00
 1.12000000e+02,        -5.715713864724e+00,        +3.603155536034e-01,        -2.601784555271e+00,        +9.324556355036e+01,        -2.601784555271e+00,        +9.324556355036e+01,        -5.716762984689e+00,        +4.098665145716e-01
 1.14000000e+02,        -5.723640744599e+00,        -3.110457273523e+00,        -2.598035861030e+00,        +8.917764590379e+01,        -2.598035861030e+00,        +8.917764590379e+01,        -5.724904402766e+00,        -3.053160157128e+00
 1.16000000e+02,        -5.775202440876e+00,        -6.587793397574e+00,        -2.578808203908e+00,        +8.509072021743e+01,        -2.578808203908e+00,        +8.509072021743e+01,        -5.776665683412e+00,        -6.522018528601e+00
 1.18000000e+02,        -5.871796561806e+00,        -1.007784311327e+01,        -2.544613038647e+00,        +8.097038304213e+01,        -2.544613038647e+00,        +8.097038304213e+01,        -5.873436813665e+00,        -1.000269133876e+01
 1.20000000e+02,        -6.015925105825e+00,        -1.358549212374e+01,        -2.496229046974e+00,        +7.680252406767e+01,        -2.496229046974e+00,        +7.680252406767e+01,        -6.017711184560e+00,        -1.349986529338e+01
 1.22000000e+02,        -6.211297483627e+00,        -1.711363366224e+01,        -2.434713388760e+00,        +7.257346799237e+01,        -2.434713388760e+00,        +7.257346799237e+01,        -6.213187577224e+00,        -1.701618947296e+01
 1.24000000e+02,        -6.462992533146e+00,        -2.066219953172e+01,        -2.361415052955e+00,        +6.827016554438e+01,        -2.361415052955e+00,        +6.827016554438e+01,        -6.464930705181e+00,        -2.055128788156e+01
 1.26000000e+02,        -6.777694750509e+00,        -2.422681236480e+01,        -2.277987918817e+00,        +6.388044657210e+01,        -2.277987918817e+00,        +6.388044657210e+01,        -6.779605194616e+00,        -2.410038566402e+01
 1.28000000e+02,        -7.164029894409e+00,        -2.779684581668e+01,        -2.186400254820e+00,        +5.939334535098e+01,        -2.186400254820e+00,        +5.939334535098e+01,        -7.165807551180e+00,        -2.765233133286e+01
 1.30000000e+02,        -7.633040906770e+00,        -3.135253940484e+01,        -2.088936414114e+00,        +5.479950309547e+01,        -2.088936414114e+00,        +5.479950309547e+01,        -7.634535912662e+00,        -3.118665458655e+01
 1.32000000e+02,        -8.198870911141e+00,        -3.486054551096e+01,        -1.988185566543e+00,        +5.009164417382e+01,        -1.988185566543e+00,        +5.009164417382e+01,        -8.199862092154e+00,        -3.466902530198e+01
 1.34000000e+02,        -8.879762521896e+00,        -3.826674363433e+01,        -1.887011681177e+00,        +4.526510998886e+01,        -1.887011681177e+00,        +4.526510998886e+01,        -8.879910450405e+00,        -3.804392853739e+01
 1.36000000e+02,        -9.699550609478e+00,        -4.148400477252e+01,        -1.788498998176e+00,        +4.031841789721e+01,        -1.788498998176e+00,        +4.031841789721e+01,        -9.698310388845e+00,        -4.122220432334e+01
 1.38000000e+02,        -1.068992201259e+01,        -4.436999318070e+01,        -1.695868340127e+00,        +3.525379319465e+01,        -1.695868340127e+00,        +3.525379319465e+01,        -1.068637156286e+01,        -4.405848615227e+01
 1.40000000e+02,        -1.189378783059e+01,        -4.668385273623e+01,        -1.612362214225e+00,        +3.007760329877e+01,        -1.612362214225e+00,        +3.007760329877e+01,        -1.188626564737e+01,        -4.630732820058e+01
 1.42000000e+02,        -1.336978172398e+01,        -4.799457111762e+01,        -1.541100926026e+00,        +2.480061010064e+01,        -1.541100926026e+00,        +2.480061010064e+01,        -1.335505946801e+01,        -4.753092302366e+01
 1.44000000e+02,        -1.519494330998e+01,        -4.747032002279e+01,        -1.484917574119e+00,        +1.943795569060e+01,        -1.484917574118e+00,        +1.943795569060e+01,        -1.516617559486e+01,        -4.688913798447e+01
 1.46000000e+02,        -1.744419436935e+01,        -4.336686739173e+01,        -1.446185881402e+00,        +1.400881433662e+01,        -1.446185881402e+00,        +1.400881433662e+01,        -1.738565478168e+01,        -4.264013724293e+01
 1.48000000e+02,        -2.002114307385e+01,        -3.195990831030e+01,        -1.426659779172e+00,        +8.535682126721e+00,        -1.426659779172e+00,        +8.535682126722e+00,        -1.989841831574e+01,        -3.115555925544e+01
 1.50000000e+02,        -2.191435018795e+01,        -8.337035989509e+00,        -1.427345687042e+00,        +3.043330991604e+00,        -1.427345687042e+00,        +3.043330991604e+00,        -2.170241780229e+01,        -7.945525854553e+00
 1.52000000e+02,        -2.118951483703e+01,        +1.989522483660e+01,        -1.448426166942e+00,        -2.442485587072e+00,        -1.448426166942e+00,        -2.442485587072e+00,        -2.099242890835e+01,        +1.947517678512e+01
 1.54000000e+02,        -1.874827509036e+01,        +3.695560623411e+01,        -1.489246899952e+00,        -7.896438262039e+00,        -1.489246899952e+00,        -7.896438262039e+00,        -1.862694041871e+01,        +3.627195138953e+01
 1.56000000e+02,        -1.632901476538e+01,        +4.406118142987e+01,        -1.548369098489e+00,        -1.329497852518e+01,        -1.548369098489e+00,        -1.329497852518e+01,        -1.625575218376e+01,        +4.341486873422e+01
 1.58000000e+02,        -1.433155453167e+01,        +4.611701180003e+01,        -1.623679062849e+00,        -1.861749640752e+01,        -1.623679062849e+00,        -1.861749640752e+01,        -1.428383535238e+01,        +4.555400416549e+01
 1.60000000e+02,        -1.272134964738e+01,        +4.567076651568e+01,        -1.712538383911e+00,        -2.384716989510e+01,        -1.712538383911e+00,        -2.384716989511e+01,        -1.268796937067e+01,        +4.518227782388e+01
 1.62000000e+02,        -1.141570116055e+01,        +4.390169984424e+01,        -1.811954192586e+00,        -2.897145504317e+01,        -1.811954192586e+00,        -2.897145504317e+01,        -1.139103260292e+01,        +4.347306939363e+01
 1.64000000e+02,        -1.034664358442e+01,        +4.139356415397e+01,        -1.918749289794e+00,        -3.398222490094e+01,        -1.918749289794e+00,        -3.398222490094e+01,        -1.032764259424e+01,        +4.101255411282e+01
 1.66000000e+02,        -9.464152006546e+00,        +3.845947067148e+01,        -2.029715994530e+00,        -3.887561145190e+01,        -2.029715994530e+00,        -3.887561145190e+01,        -9.449044925779e+00,        +3.811686352507e+01
 1.68000000e+02,        -8.731674866736e+00,        +3.527848908424e+01,        -2.141743398455e+00,        -4.365163073321e+01,        -2.141743398455e+00,        -4.365163073321e+01,        -8.719360244589e+00,        +3.496745964569e+01
 1.70000000e+02,        -8.122111661429e+00,        +3.195764961860e+01,        -2.251913686686e+00,        -4.831367724009e+01,        -2.251913686686e+00,        -4.831367724009e+01,        -8.111867974919e+00,        +3.167311967642e+01
 1.72000000e+02,        -7.615016999820e+00,        +2.856250703687e+01,        -2.357568066157e+00,        -5.286796464248e+01,        -2.357568066157e+00,        -5.286796464248e+01,        -7.606349845079e+00,        +2.830066075257e+01
 1.74000000e+02,        -7.194743757003e+00,        +2.513338593547e+01,        -2.456346100873e+00,        -5.732297246694e+01,        -2.456346100873e+00,        -5.732297246694e+01,        -7.187300994044e+00,        +2.489133037239e+01
 1.76000000e+02,        -6.849206047848e+00,        +2.169460245902e+01,        -2.546203908935e+00,        -6.168893871058e+01,        -2.546203908935e+00,        -6.168893871058e+01,        -6.842728135463e+00,        +2.147013328312e+01
 1.78000000e+02,        -6.569040966491e+00,        +1.826000246133e+01,        -2.625417070289e+00,        -6.597742040582e+01,        -2.625417070289e+00,        -6.597742040582e+01,        -6.563330514456e+00,        +1.805144203142e+01
 1.80000000e+02,        -6.347029816730e+00,        +1.483645106216e+01,        -2.692573666863e+00,        -7.020092994690e+01,        -2.692573666863e+00,        -7.020092994690e+01,        -6.341932116260e+00,        +1.464253611066e+01
 1.82000000e+02,        -6.177692843718e+00,        +1.142612542362e+01,        -2.746562024386e+00,        -7.437264495737e+01,        -2.746562024386e+00,        -7.437264495737e+01,        -6.173082904268e+00,        +1.124592921965e+01
 1.84000000e+02,        -6.057004232771e+00,        +8.028081922799e+00,        -2.786556736936e+00,        -7.850618313249e+01,        -2.786556736936e+00,        -7.850618313249e+01,        -6.052777780186e+00,        +7.860961075066e+00
 1.86000000e+02,        -5.982194141370e+00,        +4.639374502807e+00,        -2.812005606267e+00,        -8.261542994728e+01,        -2.812005606267e+00,        -8.261542994728e+01,        -5.978261058316e+00,        +4.484934075662e+00
 1.88000000e+02,        -5.951616950079e+00,        +1.255897717362e+00,        -2.822619300120e+00,        -8.671440545918e+01,        -2.822619300120e+00,        -8.671440545918e+01,        -5.947896200932e+00,        +1.113970715590e+00
 1.90000000e+02,        -5.964672908328e+00,        -2.126928000978e+00,        -2.818364843756e+00,        -9.081715587382e+01,        -2.818364843756e+00,        -9.081715587382e+01,        -5.961088298145e+00,        -2.256289033515e+00
 1.92000000e+02,        -6.021775801649e+00,        -5.513540897691e+00,        -2.799463484065e+00,        -9.493765551893e+01,        -2.799463484065e+00,        -9.493765551893e+01,        -6.018252076208e+00,        -5.630061118663e+00
 1.94000000e+02,        -6.124363342887e+00,        -8.907617422174e+00,        -2.766392961980e+00,        -9.908970504134e+01,        -2.766392961980e+00,        -9.908970504134e+01,        -6.120822192848e+00,        -9.010785588066e+00
 1.96000000e+02,        -6.274950471325e+00,        -1.231137262500e+01,        -2.719893744136e+00,        -1.032868118693e+02,        -2.719893744136e+00,        -1.032868118693e+02,        -6.271305974110e+00,        -1.240041430825e+01
 1.98000000e+02,        -6.477229245787e+00,        -1.572469614790e+01,        -2.660978246538e+00,        -1.075420393290e+02,        -2.660978246538e+00,        -1.075420393290e+02,        -6.473382154070e+00,        -1.579853157735e+01
 2.00000000e+02,        -6.736223154433e+00,        -1.914401226151e+01,        -2.590941487298e+00,        -1.118678115212e+02,        -2.590941487298e+00,        -1.118678115212e+02,        -6.732053179719e+00,        -1.920119429551e+01
 2.02000000e+02,        -7.058509192567e+00,        -2.256070291563e+01,        -2.511370905754e+00,        -1.162756625969e+02,        -2.511370905754e+00,        -1.162756625969e+02,        -7.053863947495e+00,        -2.259932811112e+01
 2.04000000e+02,        -7.452529029814e+00,        -2.595884294717e+01,        -2.424152287077e+00,        -1.207759220464e+02,        -2.424152287077e+00,        -1.207759220464e+02,        -7.447207402507e+00,        -2.597642492836e+01
 2.06000000e+02,        -7.929022453605e+00,        -2.931183134121e+01,        -2.331467891296e+00,        -1.253773327861e+02,        -2.331467891295e+00,        -1.253773327861e+02,        -7.922748520808e+00,        -2.930512004675e+01
 2.08000000e+02,        -8.501633749035e+00,        -3.257718829962e+01,        -2.235782133253e+00,        -1.300866069488e+02,        -2.235782133253e+00,        -1.300866069488e+02,        -8.494014107496e+00,        -3.254191043987e+01
 2.10000000e+02,        -9.187765383306e+00,        -3.568816572788e+01,        -2.139809715935e+00,        -1.349079358348e+02,        -2.139809715935e+00,        -1.349079358348e+02,        -9.178216259725e+00,        -3.561865074920e+01
 2.12000000e+02,        -1.000977668053e+01,        -3.853952966570e+01,        -2.046461294659e+00,        -1.398424852935e+02,        -2.046461294659e+00,        -1.398424852935e+02,        -9.997393369768e+00,        -3.842817545389e+01
 2.14000000e+02,        -1.099660887671e+01,        -4.096207294811e+01,        -1.958762904489e+00,        -1.448879245380e+02,        -1.958762904489e+00,        -1.448879245380e+02,        -1.097991930561e+01,        -4.079861830792e+01
 2.16000000e+02,        -1.218568636854e+01,        -4.267405520669e+01,        -1.879747829198e+00,        -1.500380521051e+02,        -1.879747829198e+00,        -1.500380521051e+02,        -1.216215899582e+01,        -4.244476265738e+01
 2.18000000e+02,        -1.362374303396e+01,        -4.318292993791e+01,        -1.812323425795e+00,        -1.552825927904e+02,        -1.812323425795e+00,        -1.552825927904e+02,        -1.358875022572e+01,        -4.287049141090e+01
 2.20000000e+02,        -1.535976074867e+01,        -4.157793235429e+01,        -1.759120339038e+00,        -1.606072383866e+02,        -1.759120339038e+00,        -1.606072383866e+02,        -1.530434420625e+01,        -4.116620971492e+01
 2.22000000e+02,        -1.739933452814e+01,        -3.611309497188e+01,        -1.722336704481e+00,        -1.659939881900e+02,        -1.722336704480e+00,        -1.659939881900e+02,        -1.730598778364e+01,        -3.561518621719e+01
 2.24000000e+02,        -1.950452240409e+01,        -2.376451477966e+01,        -1.703594022800e+00,        -1.714218109638e+02,        -1.703594022800e+00,        -1.714218109638e+02,        -1.934653142496e+01,        -2.333476961239e+01
 2.26000000e+02,        -2.072209456453e+01,        -2.562110759767e+00,        -1.703822912673e+00,        -1.768676022253e+02,        -1.703822912673e+00,        -1.768676022253e+02,        -2.050571063320e+01,        -2.636485581688e+00
 2.28000000e+02,        -1.996118534492e+01,        +2.014426197577e+01,        -1.723194842818e+00,        +1.776926408690e+02,        -1.723194842818e+00,        +1.776926408690e+02,        -1.977298666728e+01,        +1.942916431110e+01
 2.30000000e+02,        -1.797190008945e+01,        +3.470772857224e+01,        -1.761110115749e+00,        +1.722825466833e+02,        -1.761110115749e+00,        +1.722825466833e+02,        -1.784909841144e+01,        +3.377428494212e+01
 2.32000000e+02,        -1.589796359117e+01,        +4.158068516037e+01,        -1.816243972455e+00,        +1.669241378016e+02,        -1.816243972455e+00,        +1.669241378016e+02,        -1.582026090721e+01,        +4.067054002332e+01
 2.34000000e+02,        -1.410441275762e+01,        +4.399173523257e+01,        -1.886643800240e+00,        +1.616367723102e+02,        -1.886643800240e+00,        +1.616367723102e+02,        -1.405254281997e+01,        +4.315603659358e+01
 2.36000000e+02,        -1.261578221037e+01,        +4.397592481931e+01,        -1.969863330993e+00,        +1.564363546331e+02,        -1.969863330993e+00,        +1.564363546331e+02,        -1.257900138705e+01,        +4.321151727220e+01
 2.38000000e+02,        -1.138630901474e+01,        +4.259656117061e+01,        -2.063116017593e+00,        +1.513348636031e+02,        -2.063116017593e+00,        +1.513348636031e+02,        -1.135887108055e+01,        +4.189071205521e+01
