        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +1.948253090648e+00,        -1.514862525637e-01,        +3.716109399506e-01,        +1.850891481852e+00,        +7.071067811865e+00,        +3.716109399506e-01,        +1.850891481852e+00,        +1.942986184214e+00,        -1.528238184466e-01
 1.02000000e+02,        +7.071067811865e+00,        +1.981609257915e+00,        -5.443522828833e-02,        +5.055945315037e-01,        +1.815434435506e+00,        +7.071067811865e+00,        +5.055945315037e-01,        +1.815434435506e+00,        +1.976013961907e+00,        -5.604240555754e-02
 1.04000000e+02,        +7.071067811865e+00,        +2.028530371265e+00,        +3.620672626863e-02,        +6.397959513978e-01,        +1.774677915730e+00,        +7.071067811865e+00,        +6.397959513978e-01,        +1.774677915730e+00,        +2.022543625948e+00,        +3.436015947288e-02
 1.06000000e+02,        +7.071067811865e+00,        +2.088447650885e+00,        +1.188024145118e-01,        +7.750481068170e-01,        +1.727521579425e+00,        +7.071067811865e+00,        +7.750481068170e-01,        +1.727521579425e+00,        +2.082006298995e+00,        +1.167556522781e-01
 1.08000000e+02,        +7.071067811865e+00,        +2.160668122537e+00,        +1.915713811698e-01,        +9.118880715174e-01,        +1.672535510770e+00,        +7.071067811865e+00,        +9.118880715174e-01,        +1.672535510770e+00,        +2.153709705688e+00,        +1.893739883144e-01
 1.10000000e+02,        +7.071067811865e+00,        +2.244276155647e+00,        +2.525697237785e-01,        +1.050471454750e+00,        +1.607986958181e+00,        +7.071067811865e+00,        +1.050471454750e+00,        +1.607986958181e+00,        +2.236740301828e+00,        +2.502831718018e-01
 1.12000000e+02,        +7.071067811865e+00,        +2.338014730149e+00,        +2.997025243617e-01,        +1.190468340329e+00,        +1.531888915222e+00,        +7.071067811865e+00,        +1.190468340329e+00,        +1.531888915222e+00,        +2.329845279248e+00,        +2.974017013606e-01
 1.14000000e+02,        +7.071067811865e+00,        +2.440152260307e+00,        +3.307815653195e-01,        +1.330945067699e+00,        +1.442085459023e+00,        +7.071067811865e+00,        +1.330945067699e+00,        +1.442085459023e+00,        +2.431300255398e+00,        +3.285560103656e-01
 1.16000000e+02,        +7.071067811865e+00,        +2.548347974827e+00,        +3.436426988158e-01,        +1.470243926416e+00,        +1.336390043721e+00,        +7.071067811865e+00,        +1.470243926416e+00,        +1.336390043721e+00,        +2.538775584323e+00,        +3.415972080270e-01
 1.18000000e+02,        +7.071067811865e+00,        +2.659539074300e+00,        +3.363353558690e-01,        +1.605883442651e+00,        +1.212790691624e+00,        +7.071067811865e+00,        +1.605883442651e+00,        +1.212790691624e+00,        +2.649224382059e+00,        +3.345895058260e-01
