        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.992329538407e-12,        +2.902740330558e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.991468886783e-12,        +2.903256508423e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.991720486984e-12,        +2.899867527882e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.990819267437e-12,        +2.900415789806e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.991136041261e-12,        +2.897059869503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.990201455364e-12,        +2.897633130292e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.990532082071e-12,        +2.894348357913e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.989571670415e-12,        +2.894939262610e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.989867984616e-12,        +2.891760371048e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.988889505548e-12,        +2.892361405238e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.989107284830e-12,        +2.889319215751e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.988118588191e-12,        +2.889922820448e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.988218243019e-12,        +2.887043783380e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.987227141127e-12,        +2.887642472356e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.987174295320e-12,        +2.884948312368e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.986188433576e-12,        +2.885534789729e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.985954385925e-12,        +2.883042260222e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.984981115438e-12,        +2.883609535981e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.984543175537e-12,        +2.881330285004e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.983589430196e-12,        +2.881871786428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.982931124202e-12,        +2.879812333993e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.982003304577e-12,        +2.880322010537e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.981114449364e-12,        +2.878483834825e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.980218315729e-12,        +2.878956254563e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.979094962687e-12,        +2.877335982243e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.978235539307e-12,        +2.877766417853e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.976879791789e-12,        +2.876356111486e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.976061284445e-12,        +2.876740614015e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.974480995523e-12,        +2.875528147576e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.973706723993e-12,        +2.875863606437e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.971915083670e-12,        +2.874833118146e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971187430619e-12,        +2.875117306071e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.969202453905e-12,        +2.874249716303e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.968522831323e-12,        +2.874481318230e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.966366760554e-12,        +2.873754899047e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.965735594546e-12,        +2.873933524273e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.963434230953e-12,        +2.873324506319e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.962850965305e-12,        +2.873450683556e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.960432946127e-12,        +2.872933885563e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.959896064711e-12,        +2.873009040892e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +2.957392102952e-12,        +2.872558506968e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.956899170639e-12,        +2.872584925023e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +2.954341275063e-12,        +2.872174555110e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.953888996430e-12,        +2.872155324191e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +2.951309689352e-12,        +2.871759483712e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.950893984111e-12,        +2.871698425825e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +2.948325534175e-12,        +2.871292521439e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.947941627884e-12,        +2.871194108614e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +2.945415314212e-12,        +2.870755118205e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.945057842515e-12,        +2.870624376697e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +2.942603265480e-12,        +2.870131323176e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.942266389827e-12,        +2.869973727438e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +2.939910842220e-12,        +2.869408087563e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.939588374781e-12,        +2.869229446072e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +2.937356285416e-12,        +2.868575487307e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.937041820682e-12,        +2.868381822532e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +2.934954280517e-12,        +2.867626862816e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.934641330946e-12,        +2.867424287714e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +2.932715709700e-12,        +2.866558874991e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.932397842654e-12,        +2.866353468517e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +2.930647501656e-12,        +2.865371478778e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.930318474834e-12,        +2.865169162927e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +2.928752579568e-12,        +2.864067817404e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.928406472165e-12,        +2.863874238261e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +2.927029905695e-12,        +2.862654042229e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.926661242559e-12,        +2.862474457458e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +2.925474618805e-12,        +2.861139064762e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.925078485017e-12,        +2.860978239823e-12,        +0.000000000000e+00,        +0.000000000000e+00
