        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.444942200489e-01,        -4.492799792933e-04,        -7.804028092141e-02,        +1.042475264030e-01,        +1.414213562373e-01,        -7.804028092141e-02,        +1.042475264030e-01,        +1.443868324611e-01,        -3.246933523768e-04
 1.02000000e+02,        +1.414213562373e-01,        +1.445508326447e-01,        -7.266628238978e-04,        -6.930819079426e-02,        +1.101413106117e-01,        +1.414213562373e-01,        -6.930819079426e-02,        +1.101413106117e-01,        +1.444527742650e-01,        -5.928608870147e-04
 1.04000000e+02,        +1.414213562373e-01,        +1.445605112816e-01,        -1.008995398538e-03,        -6.013441391902e-02,        +1.153074561551e-01,        +1.414213562373e-01,        -6.013441391902e-02,        +1.153074561551e-01,        +1.444727868426e-01,        -8.670584248987e-04
 1.06000000e+02,        +1.414213562373e-01,        +1.445234216028e-01,        -1.288858983115e-03,        -5.057916815466e-02,        +1.197130627335e-01,        +1.414213562373e-01,        -5.057916815466e-02,        +1.197130627335e-01,        +1.444468993072e-01,        -1.140003114249e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.444408719847e-01,        -1.558991601225e-03,        -4.070513134970e-02,        +1.233301626178e-01,        +1.414213562373e-01,        -4.070513134970e-02,        +1.233301626178e-01,        +1.443762633969e-01,        -1.404550841950e-03
 1.10000000e+02,        +1.414213562373e-01,        +1.443152717960e-01,        -1.812462043962e-03,        -3.057704394308e-02,        +1.261359117112e-01,        +1.414213562373e-01,        -3.057704394308e-02,        +1.261359117112e-01,        +1.442631142008e-01,        -1.653867206160e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.441500632361e-01,        -2.042835160227e-03,        -2.026129471791e-02,        +1.281127494888e-01,        +1.414213562373e-01,        -2.026129471791e-02,        +1.281127494888e-01,        +1.441107049315e-01,        -1.881590095239e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.439496283934e-01,        -2.244324380417e-03,        -9.825492026804e-03,        +1.292485258724e-01,        +1.414213562373e-01,        -9.825492026804e-03,        +1.292485258724e-01,        +1.439232173381e-01,        -2.081979912736e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.437191737905e-01,        -2.411927730515e-03,        +6.619768837586e-04,        +1.295365932589e-01,        +1.414213562373e-01,        +6.619768837586e-04,        +1.295365932589e-01,        +1.437056499682e-01,        -2.250053772224e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.434645952575e-01,        -2.541543983412e-03,        +1.113239552343e-02,        +1.289758621404e-01,        +1.414213562373e-01,        +1.113239552343e-02,        +1.289758621404e-01,        +1.434636870529e-01,        -2.381700367481e-03
