        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +5.436741712161e+00,        -7.600124193161e-01,        -2.226163467743e+00,        +5.419578503838e+00,        +7.071067811865e+00,        -2.226163467743e+00,        +5.419578503838e+00,        +5.435516932374e+00,        -7.611552259498e-01
 1.02000000e+02,        +7.071067811865e+00,        +5.336673720423e+00,        -6.623844827690e-01,        -1.762276139017e+00,        +5.565025139643e+00,        +7.071067811865e+00,        -1.762276139017e+00,        +5.565025139643e+00,        +5.335588601540e+00,        -6.641858099823e-01
 1.04000000e+02,        +7.071067811865e+00,        +5.254558255780e+00,        -5.503609017020e-01,        -1.292538322920e+00,        +5.672769789904e+00,        +7.071067811865e+00,        -1.292538322920e+00,        +5.672769789904e+00,        +5.253498172826e+00,        -5.528677026347e-01
 1.06000000e+02,        +7.071067811865e+00,        +5.192258524891e+00,        -4.271464452012e-01,        -8.194310372489e-01,        +5.743453398063e+00,        +7.071067811865e+00,        -8.194310372489e-01,        +5.743453398063e+00,        +5.191103624947e+00,        -4.303878221767e-01
 1.08000000e+02,        +7.071067811865e+00,        +5.151108143570e+00,        -2.961196314297e-01,        -3.451737252624e-01,        +5.777706345296e+00,        +7.071067811865e+00,        -3.451737252624e-01,        +5.777706345296e+00,        +5.149735404211e+00,        -3.001069165952e-01
 1.10000000e+02,        +7.071067811865e+00,        +5.131915441083e+00,        -1.607607528783e-01,        +1.282152475652e-01,        +5.776092669051e+00,        +7.071067811865e+00,        +1.282152475651e-01,        +5.776092669051e+00,        +5.130200586963e+00,        -1.654876275816e-01
 1.12000000e+02,        +7.071067811865e+00,        +5.134971818204e+00,        -2.458789322811e-02,        +5.988500143750e-01,        +5.739073371723e+00,        +7.071067811865e+00,        +5.988500143750e-01,        +5.739073371723e+00,        +5.132791159945e+00,        -3.003052023156e-02
 1.14000000e+02,        +7.071067811865e+00,        +5.160061595961e+00,        +1.089012428523e-01,        +1.064904655579e+00,        +5.666989016376e+00,        +7.071067811865e+00,        +1.064904655579e+00,        +5.666989016376e+00,        +5.157293856000e+00,        +1.027840767125e-01
 1.16000000e+02,        +7.071067811865e+00,        +5.206471979971e+00,        +2.362843525144e-01,        +1.524540406681e+00,        +5.560061344438e+00,        +7.071067811865e+00,        +1.524540406681e+00,        +5.560061344438e+00,        +5.203000165157e+00,        +2.295510632440e-01
 1.18000000e+02,        +7.071067811865e+00,        +5.273002971248e+00,        +3.542691949748e-01,        +1.975836108670e+00,        +5.418413339224e+00,        +7.071067811865e+00,        +1.975836108670e+00,        +5.418413339224e+00,        +5.268716342033e+00,        +3.469951573736e-01
 1.20000000e+02,        +7.071067811865e+00,        +5.357978213300e+00,        +4.597504516917e-01,        +2.416725292862e+00,        +5.242106884871e+00,        +7.071067811865e+00,        +2.416725292862e+00,        +5.242106884871e+00,        +5.352774384569e+00,        +4.520276257297e-01
 1.22000000e+02,        +7.071067811865e+00,        +5.459258819857e+00,        +5.498708025587e-01,        +2.844943335153e+00,        +5.031196823359e+00,        +7.071067811865e+00,        +2.844943335153e+00,        +5.031196823359e+00,        +5.453046008869e+00,        +5.418071568628e-01
 1.24000000e+02,        +7.071067811865e+00,        +5.574263113781e+00,        +6.220873756603e-01,        +3.257988227008e+00,        +4.785799700642e+00,        +7.071067811865e+00,        +3.257988227008e+00,        +4.785799700642e+00,        +5.566962526549e+00,        +6.138060246519e-01
 1.26000000e+02,        +7.071067811865e+00,        +5.699995845502e+00,        +6.742435741046e-01,        +3.653098588623e+00,        +4.506174754756e+00,        +7.071067811865e+00,        +3.653098588623e+00,        +4.506174754756e+00,        +5.691544164718e+00,        +6.658815412499e-01
 1.28000000e+02,        +7.071067811865e+00,        +5.833090748639e+00,        +7.046448714688e-01,        +4.027252459805e+00,        +4.192813716902e+00,        +7.071067811865e+00,        +4.027252459805e+00,        +4.192813716902e+00,        +5.823442655027e+00,        +6.963513948376e-01
 1.30000000e+02,        +7.071067811865e+00,        +5.969870117903e+00,        +7.121355748131e-01,        +4.377189996759e+00,        +3.846534813343e+00,        +7.071067811865e+00,        +4.377189996759e+00,        +3.846534813343e+00,        +5.959000744604e+00,        +7.040698844409e-01
 1.32000000e+02,        +7.071067811865e+00,        +6.106424351581e+00,        +6.961719152844e-01,        +4.699462335598e+00,        +3.468575085725e+00,        +7.071067811865e+00,        +4.699462335598e+00,        +3.468575085725e+00,        +6.094331540582e+00,        +6.885004360638e-01
 1.34000000e+02,        +7.071067811865e+00,        +6.238713014211e+00,        +6.568853408003e-01,        +4.990507453201e+00,        +3.060673980572e+00,        +7.071067811865e+00,        +4.990507453201e+00,        +3.060673980572e+00,        +6.225419218813e+00,        +6.497783102981e-01
 1.36000000e+02,        +7.071067811865e+00,        +6.362686944728e+00,        +5.951288112450e-01,        +5.246751839162e+00,        +2.625140350913e+00,        +7.071067811865e+00,        +5.246751839162e+00,        +2.625140350913e+00,        +6.348240606980e+00,        +5.887563480243e-01
 1.38000000e+02,        +7.071067811865e+00,        +6.474428373993e+00,        +5.124985207444e-01,        +5.464734282643e+00,        +2.164894852769e+00,        +7.071067811865e+00,        +5.464734282643e+00,        +2.164894852769e+00,        +6.458904605388e+00,        +5.070262326849e-01
 1.40000000e+02,        +7.071067811865e+00,        +6.570303174099e+00,        +4.113240553001e-01,        +5.641245311576e+00,        +1.683480471954e+00,        +7.071067811865e+00,        +5.641245311576e+00,        +1.683480471954e+00,        +6.553803585410e+00,        +4.069083341866e-01
 1.42000000e+02,        +7.071067811865e+00,        +6.647116627224e+00,        +2.946217009010e-01,        +5.773473174795e+00,        +1.185035751039e+00,        +7.071067811865e+00,        +5.773473174795e+00,        +1.185035751039e+00,        +6.629768190999e+00,        +2.914049024886e-01
 1.44000000e+02,        +7.071067811865e+00,        +6.702261953653e+00,        +1.660084381196e-01,        +5.859145201809e+00,        +6.742281987590e-01,        +7.071067811865e+00,        +5.859145201809e+00,        +6.742281987590e-01,        +6.684214839739e+00,        +1.641141882086e-01
 1.46000000e+02,        +7.071067811865e+00,        +6.733849762912e+00,        +2.957785991444e-02,        +5.896652390132e+00,        +1.561491260795e-01,        +7.071067811865e+00,        +5.896652390132e+00,        +1.561491260795e-01,        +6.715274159257e+00,        +2.910674912048e-02
 1.48000000e+02,        +7.071067811865e+00,        +6.740806964874e+00,        -1.102566335786e-01,        +5.885145528185e+00,        -3.638246932532e-01,        +7.071067811865e+00,        +5.885145528185e+00,        -3.638246932532e-01,        +6.721888975280e+00,        -1.092307064719e-01
 1.50000000e+02,        +7.071067811865e+00,        +6.722935649214e+00,        -2.489421077641e-01,        +5.824593210650e+00,        -8.801932207636e-01,        +7.071067811865e+00,        +5.824593210650e+00,        -8.801932207636e-01,        +6.703872436930e+00,        -2.463747141952e-01
 1.52000000e+02,        +7.071067811865e+00,        +6.680925859270e+00,        -3.819775688792e-01,        +5.715795589363e+00,        -1.387506880354e+00,        +7.071067811865e+00,        +5.715795589363e+00,        -1.387506880354e+00,        +6.661920269769e+00,        -3.778554767956e-01
 1.54000000e+02,        +7.071067811865e+00,        +6.616320591020e+00,        -5.051028252220e-01,        +5.560352168268e+00,        -1.880537940018e+00,        +7.071067811865e+00,        +5.560352168268e+00,        -1.880537940018e+00,        +6.597575529904e+00,        -4.994445747127e-01
 1.56000000e+02,        +7.071067811865e+00,        +6.531436056176e+00,        -6.144711332016e-01,        +5.360586714088e+00,        -2.354435903277e+00,        +7.071067811865e+00,        +5.360586714088e+00,        -2.354435903277e+00,        +6.513148912925e+00,        -6.073264481193e-01
 1.58000000e+02,        +7.071067811865e+00,        +6.429244502563e+00,        -7.067939792857e-01,        +5.119436660182e+00,        -2.804855237886e+00,        +7.071067811865e+00,        +5.119436660182e+00,        -2.804855237886e+00,        +6.411601896293e+00,        -6.982420854517e-01
 1.60000000e+02,        +7.071067811865e+00,        +6.313230027029e+00,        -7.794496732567e-01,        +4.840317574054e+00,        -3.228047120900e+00,        +7.071067811865e+00,        +4.840317574054e+00,        -3.228047120900e+00,        +6.296403109857e+00,        -7.695966659177e-01
 1.62000000e+02,        +7.071067811865e+00,        +6.187229432480e+00,        -8.305515208206e-01,        +4.526974927240e+00,        -3.620911008570e+00,        +7.071067811865e+00,        +4.526974927240e+00,        -3.620911008570e+00,        +6.171369926432e+00,        -8.195269761641e-01
 1.64000000e+02,        +7.071067811865e+00,        +6.055270173965e+00,        -8.589755122130e-01,        +4.183335452664e+00,        -3.981006058155e+00,        +7.071067811865e+00,        +4.183335452664e+00,        -3.981006058155e+00,        +6.040507247937e+00,        -8.469285656233e-01
