        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.959453849876e-12,        +2.664734001202e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.958304035061e-12,        +2.663383948201e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.928367888219e-12,        +2.659683093469e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.927210692538e-12,        +2.658225851144e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.898540291823e-12,        +2.657872673109e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.897381191697e-12,        +2.656301418318e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.870676292615e-12,        +2.659213245936e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.869517444948e-12,        +2.657522963584e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.845396267792e-12,        +2.663555994668e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.844236879810e-12,        +2.661743483102e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.823229187379e-12,        +2.670698554280e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.822065877207e-12,        +2.668762420924e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.804608303467e-12,        +2.680390108275e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.803435447682e-12,        +2.678330760787e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.789868280322e-12,        +2.692335797328e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.788678348309e-12,        +2.690155433270e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.779243133997e-12,        +2.706200580011e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.778027011666e-12,        +2.703903175758e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.772864560332e-12,        +2.721612807895e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.771611867620e-12,        +2.719204105313e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.770760463281e-12,        +2.738167872402e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.769459870860e-12,        +2.735655359770e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.772853736955e-12,        +2.755432345625e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.771493287707e-12,        +2.752825227458e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.778961591068e-12,        +2.772949067298e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.777529031128e-12,        +2.770258216200e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.788795925384e-12,        +2.790243618010e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.787279048021e-12,        +2.787481500624e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.801965435097e-12,        +2.806832555974e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.800352438281e-12,        +2.804013124659e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.817980241779e-12,        +2.822233672981e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.816260097224e-12,        +2.819372215136e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.836259866547e-12,        +2.835978339840e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.834422694370e-12,        +2.833091278118e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.856145266455e-12,        +2.847625765717e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.854182705719e-12,        +2.844730404715e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.876915422532e-12,        +2.856778703651e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.874820984222e-12,        +2.853892922107e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.897808594239e-12,        +2.863099824887e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.895577980150e-12,        +2.860241716834e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +2.918047860493e-12,        +2.866327700157e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.915679229667e-12,        +2.863515173505e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +2.936870000865e-12,        +2.866291118824e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.934364165071e-12,        +2.863541465020e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +2.953556209403e-12,        +2.862920399606e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.950916741111e-12,        +2.860249852624e-12,        +0.000000000000e+00,        +0.000000000000e+00
