signal,ground,width_um,Zc
topmetal1,metal1,1.0,100.0815
topmetal1,metal1,2.0,77.8938
topmetal1,metal1,3.0,66.8125
topmetal1,metal1,5.0,54.7340
topmetal1,metal1,7.0,47.5976
topmetal1,metal1,8.0,44.8454
topmetal1,metal1,8.5,43.7035
topmetal1,metal1,9.0,42.4195
topmetal1,metal1,10.0,40.3529
topmetal1,metal1,15.0,32.7016
topmetal1,metal1,20.0,27.5090
topmetal2,metal1,2.0,111.3508
topmetal2,metal1,3.0,95.5119
topmetal2,metal1,5.0,78.7688
topmetal2,metal1,7.0,69.0993
topmetal2,metal1,8.0,65.4437
topmetal2,metal1,8.5,63.8729
topmetal2,metal1,9.0,62.3315
topmetal2,metal1,10.0,60.0108
topmetal2,metal1,15.0,49.9981
topmetal2,metal1,20.0,43.2544
topmetal1,metal2,1.0,86.1207
topmetal1,metal2,2.0,68.6119
topmetal1,metal2,3.0,59.3976
topmetal1,metal2,5.0,48.7524
topmetal1,metal2,7.0,41.9732
topmetal1,metal2,8.0,39.4033
topmetal1,metal2,8.5,38.2427
topmetal1,metal2,9.0,36.9268
topmetal1,metal2,10.0,35.3172
topmetal1,metal2,15.0,28.1294
topmetal1,metal2,20.0,23.5132
topmetal2,metal2,2.0,102.9928
topmetal2,metal2,3.0,89.1643
topmetal2,metal2,5.0,74.2271
topmetal2,metal2,7.0,65.1643
topmetal2,metal2,8.0,61.4965
topmetal2,metal2,8.5,60.1757
topmetal2,metal2,9.0,58.7812
topmetal2,metal2,10.0,56.6003
topmetal2,metal2,15.0,46.8654
topmetal2,metal2,20.0,40.3875
topmetal1,metal3,1.0,73.4500
topmetal1,metal3,2.0,58.9494
topmetal1,metal3,3.0,51.5508
topmetal1,metal3,5.0,41.4912
topmetal1,metal3,7.0,35.4200
topmetal1,metal3,8.0,33.0126
topmetal1,metal3,8.5,31.7622
topmetal1,metal3,9.0,30.5639
topmetal1,metal3,10.0,29.3932
topmetal1,metal3,15.0,22.8985
topmetal1,metal3,20.0,18.9217
topmetal2,metal3,2.0,95.5901
topmetal2,metal3,3.0,82.8826
topmetal2,metal3,5.0,69.3915
topmetal2,metal3,7.0,60.9434
topmetal2,metal3,8.0,57.6360
topmetal2,metal3,8.5,56.2697
topmetal2,metal3,9.0,54.7839
topmetal2,metal3,10.0,52.8153
topmetal2,metal3,15.0,43.4987
topmetal2,metal3,20.0,37.3119
topmetal1,metal4,1.0,60.3366
topmetal1,metal4,2.0,47.7465
topmetal1,metal4,3.0,41.1231
topmetal1,metal4,5.0,32.5239
topmetal1,metal4,7.0,27.0223
topmetal1,metal4,8.0,25.0203
topmetal1,metal4,8.5,24.0509
topmetal1,metal4,9.0,23.2025
topmetal1,metal4,10.0,22.0409
topmetal1,metal4,15.0,16.7560
topmetal1,metal4,20.0,13.6564
topmetal2,metal4,2.0,87.9326
topmetal2,metal4,3.0,76.9321
topmetal2,metal4,5.0,64.2548
topmetal2,metal4,7.0,56.3932
topmetal2,metal4,8.0,53.3590
topmetal2,metal4,8.5,52.0633
topmetal2,metal4,9.0,50.7546
topmetal2,metal4,10.0,48.6724
topmetal2,metal4,15.0,39.8443
topmetal2,metal4,20.0,34.0098
topmetal1,metal5,1.0,41.9152
topmetal1,metal5,2.0,32.5846
topmetal1,metal5,3.0,26.8921
topmetal1,metal5,5.0,20.2970
topmetal1,metal5,7.0,16.3283
topmetal1,metal5,8.0,14.8244
topmetal1,metal5,8.5,14.1552
topmetal1,metal5,9.0,13.6331
topmetal1,metal5,10.0,12.7299
topmetal1,metal5,15.0,9.3077
topmetal1,metal5,20.0,7.3667
topmetal2,metal5,2.0,80.3751
topmetal2,metal5,3.0,70.3090
topmetal2,metal5,5.0,58.9600
topmetal2,metal5,7.0,51.5829
topmetal2,metal5,8.0,48.8195
topmetal2,metal5,8.5,47.4609
topmetal2,metal5,9.0,46.1572
topmetal2,metal5,10.0,44.2461
topmetal2,metal5,15.0,35.9357
topmetal2,metal5,20.0,30.4381
topmetal2,topmetal1,2.0,56.8726
topmetal2,topmetal1,3.0,49.8319
topmetal2,topmetal1,5.0,40.8298
topmetal2,topmetal1,7.0,34.8719
topmetal2,topmetal1,8.0,32.5289
topmetal2,topmetal1,8.5,31.4338
topmetal2,topmetal1,9.0,30.4173
topmetal2,topmetal1,10.0,28.9854
topmetal2,topmetal1,15.0,22.5614
topmetal2,topmetal1,20.0,18.6099
