signal,ground,width_um,Zc
topmetal1,metal1,1.0,103.6445
topmetal1,metal1,2.0,80.2823
topmetal1,metal1,3.0,69.4723
topmetal1,metal1,5.0,56.6545
topmetal1,metal1,7.0,48.4224
topmetal1,metal1,8.0,45.2528
topmetal1,metal1,8.5,43.7594
topmetal1,metal1,9.0,42.8605
topmetal1,metal1,10.0,41.5421
topmetal1,metal1,15.0,32.9986
topmetal1,metal1,20.0,27.8444
topmetal2,metal1,2.0,110.4818
topmetal2,metal1,3.0,95.2201
topmetal2,metal1,5.0,77.3103
topmetal2,metal1,7.0,67.3259
topmetal2,metal1,8.0,63.3253
topmetal2,metal1,8.5,62.1582
topmetal2,metal1,9.0,60.3230
topmetal2,metal1,10.0,58.5233
topmetal2,metal1,15.0,48.7736
topmetal2,metal1,20.0,42.2432
topmetal1,metal2,1.0,88.9695
topmetal1,metal2,2.0,70.8576
topmetal1,metal2,3.0,60.8675
topmetal1,metal2,5.0,49.5428
topmetal1,metal2,7.0,42.2586
topmetal1,metal2,8.0,39.5160
topmetal1,metal2,8.5,38.0655
topmetal1,metal2,9.0,37.3914
topmetal1,metal2,10.0,35.6605
topmetal1,metal2,15.0,28.0917
topmetal1,metal2,20.0,23.4243
topmetal2,metal2,2.0,102.8633
topmetal2,metal2,3.0,88.1829
topmetal2,metal2,5.0,72.7524
topmetal2,metal2,7.0,63.9035
topmetal2,metal2,8.0,59.6207
topmetal2,metal2,8.5,58.9612
topmetal2,metal2,9.0,58.0350
topmetal2,metal2,10.0,55.9711
topmetal2,metal2,15.0,45.9934
topmetal2,metal2,20.0,39.8267
topmetal1,metal3,1.0,75.9034
topmetal1,metal3,2.0,60.2116
topmetal1,metal3,3.0,51.5238
topmetal1,metal3,5.0,41.8390
topmetal1,metal3,7.0,35.2904
topmetal1,metal3,8.0,32.8888
topmetal1,metal3,8.5,32.0637
topmetal1,metal3,9.0,31.4412
topmetal1,metal3,10.0,29.1975
topmetal1,metal3,15.0,22.7789
topmetal1,metal3,20.0,18.7242
topmetal2,metal3,2.0,94.5586
topmetal2,metal3,3.0,82.0273
topmetal2,metal3,5.0,68.1024
topmetal2,metal3,7.0,60.2596
topmetal2,metal3,8.0,56.7408
topmetal2,metal3,8.5,55.7572
topmetal2,metal3,9.0,54.0031
topmetal2,metal3,10.0,52.6073
topmetal2,metal3,15.0,43.0565
topmetal2,metal3,20.0,36.9910
topmetal1,metal4,1.0,59.7842
topmetal1,metal4,2.0,48.2456
topmetal1,metal4,3.0,41.0936
topmetal1,metal4,5.0,32.4258
topmetal1,metal4,7.0,27.2088
topmetal1,metal4,8.0,25.2810
topmetal1,metal4,8.5,24.3948
topmetal1,metal4,9.0,23.5247
topmetal1,metal4,10.0,21.9132
topmetal1,metal4,15.0,16.7147
topmetal1,metal4,20.0,13.4606
topmetal2,metal4,2.0,87.2840
topmetal2,metal4,3.0,75.4335
topmetal2,metal4,5.0,63.1475
topmetal2,metal4,7.0,55.7608
topmetal2,metal4,8.0,52.7969
topmetal2,metal4,8.5,51.7986
topmetal2,metal4,9.0,50.2795
topmetal2,metal4,10.0,48.4247
topmetal2,metal4,15.0,39.7459
topmetal2,metal4,20.0,34.0959
topmetal1,metal5,1.0,41.8637
topmetal1,metal5,2.0,32.5460
topmetal1,metal5,3.0,26.8306
topmetal1,metal5,5.0,20.2010
topmetal1,metal5,7.0,16.2687
topmetal1,metal5,8.0,14.7328
topmetal1,metal5,8.5,14.0415
topmetal1,metal5,9.0,13.5262
topmetal1,metal5,10.0,12.6458
topmetal1,metal5,15.0,9.2580
topmetal1,metal5,20.0,7.3150
topmetal2,metal5,2.0,79.2087
topmetal2,metal5,3.0,69.3364
topmetal2,metal5,5.0,57.9502
topmetal2,metal5,7.0,51.1533
topmetal2,metal5,8.0,48.6015
topmetal2,metal5,8.5,47.1940
topmetal2,metal5,9.0,45.8329
topmetal2,metal5,10.0,44.2215
topmetal2,metal5,15.0,36.0233
topmetal2,metal5,20.0,30.6057
topmetal2,topmetal1,2.0,55.9465
topmetal2,topmetal1,3.0,48.8409
topmetal2,topmetal1,5.0,40.2683
topmetal2,topmetal1,7.0,34.5045
topmetal2,topmetal1,8.0,31.9840
topmetal2,topmetal1,8.5,31.1549
topmetal2,topmetal1,9.0,30.2985
topmetal2,topmetal1,10.0,28.5456
topmetal2,topmetal1,15.0,22.2979
topmetal2,topmetal1,20.0,18.2982
