        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +9.431976587028e+00,        +8.053516587481e-01,        -2.532891503126e+00,        +5.141613439743e+00,        +7.071067811865e+00,        -2.532891503126e+00,        +5.141613439743e+00,        +9.435914079495e+00,        +7.942581596184e-01
 1.02000000e+02,        +7.071067811865e+00,        +9.557080196771e+00,        +6.695814355403e-01,        -2.109661415999e+00,        +5.297561420802e+00,        +7.071067811865e+00,        -2.109661415999e+00,        +5.297561420802e+00,        +9.560638629116e+00,        +6.571471096820e-01
 1.04000000e+02,        +7.071067811865e+00,        +9.658313160112e+00,        +5.173969014879e-01,        -1.682270064864e+00,        +5.423031028335e+00,        +7.071067811865e+00,        -1.682270064864e+00,        +5.423031028335e+00,        +9.661309493900e+00,        +5.036550015463e-01
 1.06000000e+02,        +7.071067811865e+00,        +9.733972341256e+00,        +3.525975628238e-01,        -1.251729998861e+00,        +5.519152855522e+00,        +7.071067811865e+00,        -1.251729998861e+00,        +5.519152855522e+00,        +9.736230130893e+00,        +3.376060385342e-01
 1.08000000e+02,        +7.071067811865e+00,        +9.782845131752e+00,        +1.790457643221e-01,        -8.187379686482e-01,        +5.586752549987e+00,        +7.071067811865e+00,        -8.187379686482e-01,        +5.586752549987e+00,        +9.784196680304e+00,        +1.628857380271e-01
 1.10000000e+02,        +7.071067811865e+00,        +9.804177870124e+00,        +6.410125995673e-04,        -3.837823624156e-01,        +5.626303166919e+00,        +7.071067811865e+00,        -3.837823624156e-01,        +5.626303166919e+00,        +9.804466141825e+00,        -1.658449816193e-02
 1.12000000e+02,        +7.071067811865e+00,        +9.797657114282e+00,        -1.786945971096e-01,        +5.274729827004e-02,        +5.637898293208e+00,        +7.071067811865e+00,        +5.274729827004e-02,        +5.637898293208e+00,        +9.796737601089e+00,        -1.968617132057e-01
 1.14000000e+02,        +7.071067811865e+00,        +9.763405678056e+00,        -3.550260309837e-01,        +4.904500682509e-01,        +5.621244585697e+00,        +7.071067811865e+00,        +4.904500682509e-01,        +5.621244585697e+00,        +9.761148399356e+00,        -3.739908693709e-01
 1.16000000e+02,        +7.071067811865e+00,        +9.701993800709e+00,        -5.244162845919e-01,        +9.288033174055e-01,        +5.575673434057e+00,        +7.071067811865e+00,        +9.288033174055e-01,        +5.575673434057e+00,        +9.698285582268e+00,        -5.440157662815e-01
 1.18000000e+02,        +7.071067811865e+00,        +9.614464311739e+00,        -6.829448578632e-01,        +1.367053492639e+00,        +5.500172554715e+00,        +7.071067811865e+00,        +1.367053492639e+00,        +5.500172554715e+00,        +9.609211442533e+00,        -7.029976422495e-01
 1.20000000e+02,        +7.071067811865e+00,        +9.502369060679e+00,        -8.267397336854e-01,        +1.804109667875e+00,        +5.393439253646e+00,        +7.071067811865e+00,        +1.804109667875e+00,        +5.393439253646e+00,        +9.495500364669e+00,        -8.470474936375e-01
 1.22000000e+02,        +7.071067811865e+00,        +9.367812112945e+00,        -9.520284101991e-01,        +2.238442972112e+00,        +5.253957657316e+00,        +7.071067811865e+00,        +2.238442972112e+00,        +5.253957657316e+00,        +9.359282398123e+00,        -9.723776850324e-01
 1.24000000e+02,        +7.071067811865e+00,        +9.213493248232e+00,        -1.055212647810e+00,        +2.667996770686e+00,        +5.080102173965e+00,        +7.071067811865e+00,        +2.667996770686e+00,        +5.080102173965e+00,        +9.203287009686e+00,        -1.075377513393e+00
 1.26000000e+02,        +7.071067811865e+00,        +9.042743229585e+00,        -1.132970023914e+00,        +3.090114535391e+00,        +4.870268567470e+00,        +7.071067811865e+00,        +3.090114535391e+00,        +4.870268567470e+00,        +9.030878391120e+00,        -1.152715795289e+00
 1.28000000e+02,        +7.071067811865e+00,        +8.859540382296e+00,        -1.182382905790e+00,        +3.501494362120e+00,        +4.623032078731e+00,        +7.071067811865e+00,        +3.501494362120e+00,        +4.623032078731e+00,        +8.846071769341e+00,        -1.201471032516e+00
 1.30000000e+02,        +7.071067811865e+00,        +8.668496651105e+00,        -1.201091899980e+00,        +3.898180611149e+00,        +4.337328880024e+00,        +7.071067811865e+00,        +3.898180611149e+00,        +4.337328880024e+00,        +8.653518806407e+00,        -1.219286124142e+00
 1.32000000e+02,        +7.071067811865e+00,        +8.474801072270e+00,        -1.187466249264e+00,        +4.275603540329e+00,        +4.012652854897e+00,        +7.071067811865e+00,        +4.275603540329e+00,        +4.012652854897e+00,        +8.458449968916e+00,        -1.204539970128e+00
 1.34000000e+02,        +7.071067811865e+00,        +8.284110165889e+00,        -1.140778371588e+00,        +4.628676391157e+00,        +3.649254630072e+00,        +7.071067811865e+00,        +4.628676391157e+00,        +3.649254630072e+00,        +8.266563355530e+00,        -1.156523004134e+00
