        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e+02,        -9.050063875359e+00,        +1.883550179791e+01,        -1.824117842382e+00,        +1.162260473564e+02,        -1.824117842382e+00,        +1.162260473564e+02,        -9.049462041574e+00,        +1.856515994052e+01
 1.02000000e+02,        -8.775483964720e+00,        +1.507429897452e+01,        -1.868885393865e+00,        +1.117140570219e+02,        -1.868885393865e+00,        +1.117140570219e+02,        -8.774692378348e+00,        +1.478653501631e+01
 1.04000000e+02,        -8.562648033802e+00,        +1.130882161514e+01,        -1.905844262979e+00,        +1.072343318779e+02,        -1.905844262979e+00,        +1.072343318779e+02,        -8.561723410241e+00,        +1.100347470812e+01
 1.06000000e+02,        -8.407104605673e+00,        +7.542708264613e+00,        -1.934418627692e+00,        +1.027783715443e+02,        -1.934418627692e+00,        +1.027783715443e+02,        -8.406092056038e+00,        +7.219418848012e+00
 1.08000000e+02,        -8.305728363657e+00,        +3.777485191431e+00,        -1.954225954545e+00,        +9.833734152981e+01,        -1.954225954545e+00,        +9.833734152981e+01,        -8.304666305122e+00,        +3.435692620145e+00
 1.10000000e+02,        -8.256557395773e+00,        +1.343792057898e-02,        -1.965077020814e+00,        +9.390222486814e+01,        -1.965077020814e+00,        +9.390222486814e+01,        -8.255481675559e+00,        -3.476295714959e-01
 1.12000000e+02,        -8.258691644307e+00,        -3.749675524710e+00,        -1.966975174074e+00,        +8.946396525096e+01,        -1.966975174074e+00,        +8.946396525096e+01,        -8.257639310168e+00,        -4.131019009821e+00
 1.14000000e+02,        -8.312240757680e+00,        -7.511986516361e+00,        -1.960115134529e+00,        +8.501360644723e+01,        -1.960115134529e+00,        +8.501360644723e+01,        -8.311253839901e+00,        -7.914864040488e+00
 1.16000000e+02,        -8.418315362111e+00,        -1.127288630737e+01,        -1.944881337962e+00,        +8.054243293102e+01,        -1.944881337963e+00,        +8.054243293102e+01,        -8.417445042768e+00,        -1.169885239154e+01
 1.18000000e+02,        -8.579060400956e+00,        -1.503034222391e+01,        -1.921845517668e+00,        +7.604211629468e+01,        -1.921845517668e+00,        +7.604211629468e+01,        -8.578372036971e+00,        -1.548130288559e+01
 1.20000000e+02,        -8.797733569768e+00,        -1.878008875075e+01,        -1.891762937817e+00,        +7.150487119325e+01,        -1.891762937817e+00,        +7.150487119325e+01,        -8.797313232224e+00,        -1.925837760543e+01
 1.22000000e+02,        -9.078836849832e+00,        -2.251460071706e+01,        -1.855566428077e+00,        +6.692362321268e+01,        -1.855566428077e+00,        +6.692362321268e+01,        -9.078800402238e+00,        -2.302308447925e+01
 1.24000000e+02,        -9.428315675343e+00,        -2.622171236555e+01,        -1.814357147299e+00,        +6.229218912764e+01,        -1.814357147299e+00,        +6.229218912764e+01,        -9.428822058063e+00,        -2.676393827769e+01
 1.26000000e+02,        -9.853849660259e+00,        -2.988266540925e+01,        -1.769390850313e+00,        +5.760546747931e+01,        -1.769390850313e+00,        +5.760546747931e+01,        -9.855121218126e+00,        -3.046306972324e+01
 1.28000000e+02,        -1.036527294799e+01,        -3.346921884229e+01,        -1.722058385133e+00,        +5.285963428479e+01,        -1.722058385133e+00,        +5.285963428479e+01,        -1.036762782943e+01,        -3.409342601838e+01
 1.30000000e+02,        -1.097518380766e+01,        -3.693916566390e+01,        -1.673859255192e+00,        +4.805233512366e+01,        -1.673859255192e+00,        +4.805233512366e+01,        -1.097908974028e+01,        -3.761442495132e+01
 1.32000000e+02,        -1.169983519377e+01,        -4.022903019657e+01,        -1.626367390993e+00,        +4.318286113534e+01,        -1.626367390993e+00,        +4.318286113534e+01,        -1.170600269713e+01,        -4.096486339475e+01
 1.34000000e+02,        -1.256044090411e+01,        -4.324153085865e+01,        -1.581188824508e+00,        +3.825229310105e+01,        -1.581188824508e+00,        +3.825229310105e+01,        -1.256999292394e+01,        -4.405070574053e+01
 1.36000000e+02,        -1.358506696046e+01,        -4.582278780483e+01,        -1.539911754995e+00,        +3.326359546254e+01,        -1.539911754995e+00,        +3.326359546254e+01,        -1.359986533222e+01,        -4.672277859128e+01
 1.38000000e+02,        -1.481119330093e+01,        -4.771821893442e+01,        -1.504050495481e+00,        +2.822164164500e+01,        -1.504050495481e+00,        +2.822164164500e+01,        -1.483450857326e+01,        -4.873329381903e+01
 1.40000000e+02,        -1.628828284239e+01,        -4.848137963718e+01,        -1.474985890399e+00,        +2.313315414646e+01,        -1.474985890399e+00,        +2.313315414646e+01,        -1.632626811413e+01,        -4.964493082727e+01
 1.42000000e+02,        -1.807566954034e+01,        -4.727398982624e+01,        -1.453905828587e+00,        +1.800654799077e+01,        -1.453905828587e+00,        +1.800654799077e+01,        -1.814081068376e+01,        -4.862732824923e+01
 1.44000000e+02,        -2.021104953124e+01,        -4.242420513823e+01,        -1.441750230296e+00,        +1.285167423686e+01,        -1.441750230297e+00,        +1.285167423686e+01,        -2.033014627830e+01,        -4.398908374618e+01
 1.46000000e+02,        -2.253608368200e+01,        -3.071233074302e+01,        -1.439165151754e+00,        +7.679470505854e+00,        -1.439165151754e+00,        +7.679470505854e+00,        -2.276096291269e+01,        -3.232777322418e+01
 1.48000000e+02,        -2.412862067808e+01,        -8.811496328767e+00,        -1.446470277198e+00,        +2.501536438102e+00,        -1.446470277198e+00,        +2.501536438102e+00,        -2.448260759599e+01,        -9.712152349566e+00
 1.50000000e+02,        -2.353285605838e+01,        +1.659925726808e+01,        -1.463643026545e+00,        -2.670338321990e+00,        -1.463643026545e+00,        -2.670338321990e+00,        -2.385873569867e+01,        +1.693386705576e+01
 1.52000000e+02,        -2.140823377955e+01,        +3.316385861169e+01,        -1.490320917443e+00,        -7.824659531326e+00,        -1.490320917443e+00,        -7.824659531326e+00,        -2.161419005051e+01,        +3.392628499775e+01
 1.54000000e+02,        -1.916614472188e+01,        +4.088613683907e+01,        -1.525821940260e+00,        -1.295069116745e+01,        -1.525821940260e+00,        -1.295069116745e+01,        -1.929179606217e+01,        +4.159004731309e+01
 1.56000000e+02,        -1.724167686405e+01,        +4.364874432198e+01,        -1.569180866903e+00,        -1.803886279939e+01,        -1.569180866903e+00,        -1.803886279939e+01,        -1.732351541393e+01,        +4.420612571929e+01
 1.58000000e+02,        -1.565158186756e+01,        +4.379192362334e+01,        -1.619197941044e+00,        -2.308109608555e+01,        -1.619197941044e+00,        -2.308109608555e+01,        -1.570863510242e+01,        +4.421314295174e+01
 1.60000000e+02,        -1.433856986849e+01,        +4.247941064406e+01,        -1.674495515510e+00,        -2.807103516475e+01,        -1.674495515510e+00,        -2.807103516475e+01,        -1.438056838517e+01,        +4.278817891218e+01
 1.62000000e+02,        -1.324713430162e+01,        +4.030944985143e+01,        -1.733577994972e+00,        -3.300417665995e+01,        -1.733577994972e+00,        -3.300417665995e+01,        -1.327936801212e+01,        +4.052648290642e+01
 1.64000000e+02,        -1.233409661998e+01,        +3.761093490106e+01,        -1.794890844943e+00,        -3.787790485998e+01,        -1.794890844943e+00,        -3.787790485998e+01,        -1.235964236750e+01,        +3.775211683651e+01
 1.66000000e+02,        -1.156715600123e+01,        +3.457631225825e+01,        -1.856875271548e+00,        -4.269144505232e+01,        -1.856875271548e+00,        -4.269144505232e+01,        -1.158791393504e+01,        +3.465349828528e+01
 1.68000000e+02,        -1.092211980937e+01,        +3.132397102842e+01,        -1.918016244382e+00,        -4.744575234544e+01,        -1.918016244382e+00,        -4.744575234544e+01,        -1.093932455697e+01,        +3.134600645065e+01
 1.70000000e+02,        -1.038066544907e+01,        +2.792950955335e+01,        -1.976882622628e+00,        -5.214335471899e+01,        -1.976882622629e+00,        -5.214335471899e+01,        -1.039515445318e+01,        +2.790303650895e+01
 1.72000000e+02,        -9.928756366174e+00,        +2.444244968168e+01,        -2.032159098941e+00,        -5.678816802952e+01,        -2.032159098941e+00,        -5.678816802952e+01,        -9.941119037528e+00,        +2.437248636184e+01
 1.74000000e+02,        -9.555554434691e+00,        +2.089571864539e+01,        -2.082670408039e+00,        -6.138529805829e+01,        -2.082670408039e+00,        -6.138529805829e+01,        -9.566219369367e+00,        +2.078606489321e+01
 1.76000000e+02,        -9.252673970134e+00,        +1.731132781648e+01,        -2.127398730034e+00,        -6.594084120176e+01,        -2.127398730034e+00,        -6.594084120176e+01,        -9.261962299938e+00,        +1.716484823933e+01
 1.78000000e+02,        -9.013666269455e+00,        +1.370394951948e+01,        -2.165495468813e+00,        -7.046169172271e+01,        -2.165495468813e+00,        -7.046169172271e+01,        -9.021825662386e+00,        +1.352277152979e+01
 1.80000000e+02,        -8.833661000232e+00,        +1.008328231842e+01,        -2.196288644861e+00,        -7.495536005476e+01,        -2.196288644862e+00,        -7.495536005476e+01,        -8.840888195861e+00,        +9.868934559496e+00
 1.82000000e+02,        -8.709116749854e+00,        +6.455695460555e+00,        -2.219287059672e+00,        -7.942980374572e+01,        -2.219287059672e+00,        -7.942980374572e+01,        -8.715573113167e+00,        +6.209203481991e+00
 1.84000000e+02,        -8.637650127902e+00,        +2.825437583110e+00,        -2.234182212174e+00,        -8.389327034368e+01,        -2.234182212174e+00,        -8.389327034368e+01,        -8.643472891919e+00,        +2.547387747208e+00
 1.86000000e+02,        -8.617923979584e+00,        -8.044142696123e-01,        -2.240848714267e+00,        -8.835414988249e+01,        -2.240848714267e+00,        -8.835414988249e+01,        -8.623234854450e+00,        -1.113835711320e+00
 1.88000000e+02,        -8.649582729794e+00,        -4.431147680862e+00,        -2.239343689852e+00,        -9.282083356530e+01,        -2.239343689852e+00,        -9.282083356530e+01,        -8.654495012279e+00,        -4.772136288294e+00
 1.90000000e+02,        -8.733228127257e+00,        -8.051662174932e+00,        -2.229905367567e+00,        -9.730157472037e+01,        -2.229905367567e+00,        -9.730157472037e+01,        -8.737853166344e+00,        -8.424795968108e+00
 1.92000000e+02,        -8.870432699713e+00,        -1.166169477939e+01,        -2.212950803161e+00,        -1.018043480674e+02,        -2.212950803161e+00,        -1.018043480674e+02,        -8.874886475856e+00,        -1.206795393219e+01
 1.94000000e+02,        -9.063791785363e+00,        -1.525494538317e+01,        -2.189072401432e+00,        -1.063367037660e+02,        -2.189072401432e+00,        -1.063367037660e+02,        -9.068202416195e+00,        -1.569575299369e+01
 1.96000000e+02,        -9.317018659657e+00,        -1.882200624141e+01,        -2.159032659256e+00,        -1.109056136294e+02,        -2.159032659256e+00,        -1.109056136294e+02,        -9.321535874261e+00,        -1.929929445596e+01
 1.98000000e+02,        -9.635091584583e+00,        -2.234896265840e+01,        -2.123756333483e+00,        -1.155173082963e+02,        -2.123756333483e+00,        -1.155173082963e+02,        -9.639899690194e+00,        -2.286527133932e+01
 2.00000000e+02,        -1.002446714283e+01,        -2.581546204280e+01,        -2.084319070834e+00,        -1.201771060910e+02,        -2.084319070834e+00,        -1.201771060910e+02,        -1.002980391462e+01,        -2.637408121401e+01
 2.02000000e+02,        -1.049338150810e+01,        -2.919192102143e+01,        -2.041931449359e+00,        -1.248892367467e+02,        -2.041931449359e+00,        -1.248892367467e+02,        -1.049956711890e+01,        -2.979709409159e+01
 2.04000000e+02,        -1.105227040880e+01,        -3.243530459520e+01,        -1.997917408330e+00,        -1.296566660420e+02,        -1.997917408330e+00,        -1.296566660420e+02,        -1.105975371354e+01,        -3.309251744533e+01
 2.06000000e+02,        -1.171434749729e+01,        -3.548246376577e+01,        -1.953686224137e+00,        -1.344809305092e+02,        -1.953686224137e+00,        -1.344809305092e+02,        -1.172378325608e+01,        -3.619885507248e+01
 2.08000000e+02,        -1.249638026534e+01,        -3.823913953238e+01,        -1.910697557726e+00,        -1.393619943783e+02,        -1.910697557726e+00,        -1.393619943783e+02,        -1.250876367424e+01,        -3.902407630771e+01
 2.10000000e+02,        -1.341965740510e+01,        -4.056095568388e+01,        -1.870419670845e+00,        -1.442981433216e+02,        -1.870419670845e+00,        -1.442981433216e+02,        -1.343656947075e+01,        -4.142680559164e+01
 2.12000000e+02,        -1.451092634838e+01,        -4.221898776688e+01,        -1.834281668842e+00,        -1.492859307610e+02,        -1.834281668842e+00,        -1.492859307610e+02,        -1.453500343504e+01,        -4.318200599917e+01
 2.14000000e+02,        -1.580224510211e+01,        -4.283465315887e+01,        -1.803621516741e+00,        -1.543201918540e+02,        -1.803621516741e+00,        -1.543201918540e+02,        -1.583811868019e+01,        -4.391536412017e+01
 2.16000000e+02,        -1.732559239028e+01,        -4.175362003712e+01,        -1.779632481725e+00,        -1.593941372900e+02,        -1.779632481725e+00,        -1.593941372900e+02,        -1.738181279761e+01,        -4.297381596166e+01
 2.18000000e+02,        -1.908682961537e+01,        -3.781382178894e+01,        -1.763311424043e+00,        -1.644995335378e+02,        -1.763311424043e+00,        -1.644995335378e+02,        -1.917952529440e+01,        -3.917834652693e+01
 2.20000000e+02,        -2.096840464548e+01,        -2.906891858453e+01,        -1.755412816418e+00,        -1.696269685116e+02,        -1.755412816418e+00,        -1.696269685116e+02,        -2.112489525474e+01,        -3.049208220003e+01
 2.22000000e+02,        -2.247722379880e+01,        -1.344693552892e+01,        -1.756412368328e+00,        -1.747661926671e+02,        -1.756412368329e+00,        -1.747661926671e+02,        -2.271831685198e+01,        -1.458380432725e+01
 2.24000000e+02,        -2.269685497293e+01,        +7.005760666558e+00,        -1.766483584620e+00,        -1.799065166809e+02,        -1.766483584620e+00,        -1.799065166809e+02,        -2.296890004750e+01,        +6.605650357466e+00
 2.26000000e+02,        -2.145063435215e+01,        +2.437261151369e+01,        -1.785489523117e+00,        +1.749627602963e+02,        -1.785489523117e+00,        +1.749627602963e+02,        -2.166564579795e+01,        +2.453276263644e+01
 2.28000000e+02,        -1.961601483130e+01,        +3.475479939556e+01,        -1.812990575501e+00,        +1.698519218748e+02,        -1.812990575501e+00,        +1.698519218748e+02,        -1.976299838542e+01,        +3.505224290949e+01
 2.30000000e+02,        -1.782423466080e+01,        +3.974487866193e+01,        -1.848267513935e+00,        +1.647704353114e+02,        -1.848267513935e+00,        +1.647704353114e+02,        -1.792515590538e+01,        +3.999156691101e+01
 2.32000000e+02,        -1.625787142683e+01,        +4.147476803782e+01,        -1.890357592723e+00,        +1.597266083272e+02,        -1.890357592723e+00,        +1.597266083272e+02,        -1.633046238602e+01,        +4.162527209446e+01
 2.34000000e+02,        -1.492816135520e+01,        +4.128434274525e+01,        -1.938100407050e+00,        +1.547273211015e+02,        -1.938100407051e+00,        +1.547273211015e+02,        -1.498299161875e+01,        +4.133738504372e+01
 2.36000000e+02,        -1.380561790286e+01,        +3.992849912858e+01,        -1.990189637087e+00,        +1.497778438672e+02,        -1.990189637087e+00,        +1.497778438672e+02,        -1.384882504367e+01,        +3.989296611794e+01
 2.38000000e+02,        -1.285718308272e+01,        +3.783890835302e+01,        -2.045226776177e+00,        +1.448817415507e+02,        -2.045226776177e+00,        +1.448817415507e+02,        -1.289245482952e+01,        +3.772438599085e+01
 2.40000000e+02,        -1.205460270934e+01,        +3.527294975936e+01,        -2.101773379591e+00,        +1.400408591385e+02,        -2.101773379592e+00,        +1.400408591385e+02,        -1.208426060290e+01,        +3.508745615174e+01
 2.42000000e+02,        -1.137528307926e+01,        +3.239078570007e+01,        -2.158399126532e+00,        +1.352553758397e+02,        -2.158399126532e+00,        +1.352553758397e+02,        -1.140085857518e+01,        +3.214048719658e+01
 2.44000000e+02,        -1.080146053418e+01,        +2.929578395148e+01,        -2.213723889471e+00,        +1.305239130056e+02,        -2.213723889471e+00,        +1.305239130056e+02,        -1.082400966502e+01,        +2.898520243817e+01
 2.46000000e+02,        -1.031919508629e+01,        +2.605659205800e+01,        -2.266452895097e+00,        +1.258436800092e+02,        -2.266452895097e+00,        +1.258436800092e+02,        -1.033947754842e+01,        +2.568888239585e+01
 2.48000000e+02,        -9.917531347053e+00,        +2.271976596902e+01,        -2.315404826528e+00,        +1.212106433902e+02,        -2.315404826528e+00,        +1.212106433902e+02,        -9.936117036922e+00,        +2.229695372450e+01
 2.50000000e+02,        -9.587863122958e+00,        +1.931733870065e+01,        -2.359533294658e+00,        +1.166197069079e+02,        -2.359533294658e+00,        +1.166197069079e+02,        -9.605198443770e+00,        +1.884049843917e+01
 2.52000000e+02,        -9.323467616181e+00,        +1.587156583148e+01,        -2.397942480759e+00,        +1.120648930979e+02,        -2.397942480759e+00,        +1.120648930979e+02,        -9.339918766966e+00,        +1.534094435537e+01
 2.54000000e+02,        -9.119168115916e+00,        +1.239803600045e+01,        -2.429897938432e+00,        +1.075395199914e+02,        -2.429897938432e+00,        +1.075395199914e+02,        -9.135050934949e+00,        +1.181312924728e+01
 2.56000000e+02,        -8.971091755992e+00,        +8.907804921117e+00,        -2.454833574565e+00,        +1.030363694884e+02,        -2.454833574565e+00,        +1.030363694884e+02,        -8.986693713789e+00,        +8.267395956180e+00
 2.58000000e+02,        -8.876498075863e+00,        +5.408934575813e+00,        -2.472355745403e+00,        +9.854784626213e+01,        -2.472355745403e+00,        +9.854784626213e+01,        -8.892095903155e+00,        +4.711097521262e+00
 2.60000000e+02,        -8.833661660874e+00,        +1.907670331965e+00,        -2.482245242364e+00,        +9.406612793276e+01,        -2.482245242364e+00,        +9.406612793276e+01,        -8.849536990209e+00,        +1.149742367091e+00
 2.62000000e+02,        -8.841797794073e+00,        -1.590592619903e+00,        -2.484457732821e+00,        +8.958330856401e+01,        -2.484457732821e+00,        +8.958330856401e+01,        -8.858252671506e+00,        -2.412071685439e+00
