        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.484845069318e-01,        -2.431574495656e-03,        -4.043939746551e-02,        +1.111074763187e-01,        +1.414213562373e-01,        -4.043939746551e-02,        +1.111074763187e-01,        +1.485286980859e-01,        -2.522654447940e-03
 1.02000000e+02,        +1.414213562373e-01,        +1.483936403026e-01,        -2.978854177170e-03,        -3.076407337794e-02,        +1.139265509452e-01,        +1.414213562373e-01,        -3.076407337794e-02,        +1.139265509452e-01,        +1.484289512964e-01,        -3.066907790845e-03
 1.04000000e+02,        +1.414213562373e-01,        +1.482101314161e-01,        -3.501616106447e-03,        -2.090312598646e-02,        +1.159109573130e-01,        +1.414213562373e-01,        -2.090312598646e-02,        +1.159109573130e-01,        +1.482373221616e-01,        -3.585536056902e-03
 1.06000000e+02,        +1.414213562373e-01,        +1.479404751951e-01,        -3.985032676736e-03,        -1.092758318753e-02,        +1.170490406652e-01,        +1.414213562373e-01,        -1.092758318753e-02,        +1.170490406652e-01,        +1.479604504705e-01,        -4.063847295907e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.475934381401e-01,        -4.415708676352e-03,        -9.092909597584e-04,        +1.173350771893e-01,        +1.414213562373e-01,        -9.092909597585e-04,        +1.173350771893e-01,        +1.476072249978e-01,        -4.488601251313e-03
 1.10000000e+02,        +1.414213562373e-01,        +1.471797762376e-01,        -4.782018571582e-03,        +9.079571269798e-03,        +1.167693750729e-01,        +1.414213562373e-01,        +9.079571269799e-03,        +1.167693750729e-01,        +1.471884987906e-01,        -4.848342975078e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.467119035793e-01,        -5.074392925909e-03,        +1.896699744091e-02,        +1.153583362933e-01,        +1.414213562373e-01,        +1.896699744091e-02,        +1.153583362933e-01,        +1.467167557531e-01,        -5.133685210538e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.462035199760e-01,        -5.285546536773e-03,        +2.868168055463e-02,        +1.131144735356e-01,        +1.414213562373e-01,        +2.868168055463e-02,        +1.131144735356e-01,        +1.462057368674e-01,        -5.337532216271e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.456692071585e-01,        -5.410641977168e-03,        +3.815355249762e-02,        +1.100563768938e-01,        +1.414213562373e-01,        +3.815355249762e-02,        +1.100563768938e-01,        +1.456700356847e-01,        -5.455238819921e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.451240044067e-01,        -5.447383670939e-03,        +4.731433177081e-02,        +1.062086256811e-01,        +1.414213562373e-01,        +4.731433177081e-02,        +1.062086256811e-01,        +1.451246739554e-01,        -5.484699940566e-03
