        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.935387026954e-12,        +2.674974457302e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.935910391567e-12,        +2.674515935348e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.932008212386e-12,        +2.668695138268e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.932512991762e-12,        +2.668268180312e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.928567266852e-12,        +2.662737666708e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.929047854620e-12,        +2.662346370976e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.924970816804e-12,        +2.657138298754e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.925422632181e-12,        +2.656785856247e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.921137916343e-12,        +2.651922200128e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.921557438938e-12,        +2.651610879381e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.917001253392e-12,        +2.647103433010e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.917386035039e-12,        +2.646834582820e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.912507998317e-12,        +2.642685192938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.912856652351e-12,        +2.642459262367e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.907620284489e-12,        +2.638660280027e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.907932453401e-12,        +2.638476854781e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.902315317621e-12,        +2.635011788524e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.902591620568e-12,        +2.634869642627e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.896585118946e-12,        +2.631713997543e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.896827080991e-12,        +2.631611159047e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.890435916156e-12,        +2.628733443028e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.890645881523e-12,        +2.628667272300e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.883887205265e-12,        +2.626030146547e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.884068237138e-12,        +2.625997425436e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.876970515569e-12,        +2.623558970883e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.877126285175e-12,        +2.623556000820e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.869727918160e-12,        +2.621271066659e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.869862585997e-12,        +2.621293773502e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.862210325421e-12,        +2.619115369396e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.862328417536e-12,        +2.619159412632e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.854475634210e-12,        +2.617040103381e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.854581916439e-12,        +2.617100987126e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.846586768760e-12,        +2.614994247964e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.846686121767e-12,        +2.615067431178e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.838609680547e-12,        +2.612928923598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.838706978375e-12,        +2.613009926924e-12,        +0.000000000000e+00,        +0.000000000000e+00
