        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.46000000e+02,        +7.071067811865e+00,        +7.129532412830e+00,        -2.084765513685e-02,        +5.659016568547e+00,        -2.428996662699e-01,        +7.071067811865e+00,        +5.659016568547e+00,        -2.428996662699e-01,        +7.132794492755e+00,        -2.169788737122e-02
 1.48000000e+02,        +7.071067811865e+00,        +7.145642416154e+00,        -5.757132345197e-03,        +5.607320009936e+00,        -7.220879477699e-01,        +7.071067811865e+00,        +5.607320009936e+00,        -7.220879477699e-01,        +7.149068574960e+00,        -6.880076587365e-03
 1.50000000e+02,        +7.071067811865e+00,        +7.163738511575e+00,        +6.113380435105e-03,        +5.515301026149e+00,        -1.194122003052e+00,        +7.071067811865e+00,        +5.515301026149e+00,        -1.194122003052e+00,        +7.167284173059e+00,        +4.691677295738e-03
 1.52000000e+02,        +7.071067811865e+00,        +7.183233930490e+00,        +1.451462547628e-02,        +5.383822355301e+00,        -1.655640910859e+00,        +7.071067811865e+00,        +5.383822355301e+00,        -1.655640910859e+00,        +7.186851404243e+00,        +1.277563943833e-02
 1.54000000e+02,        +7.071067811865e+00,        +7.203514937441e+00,        +1.930144780215e-02,        +5.214021150285e+00,        -2.103382683434e+00,        +7.071067811865e+00,        +5.214021150285e+00,        -2.103382683434e+00,        +7.207154655157e+00,        +1.723448853193e-02
 1.56000000e+02,        +7.071067811865e+00,        +7.223958831423e+00,        +2.043462835934e-02,        +5.007297634075e+00,        -2.534205314845e+00,        +7.071067811865e+00,        +5.007297634075e+00,        -2.534205314845e+00,        +7.227570602724e+00,        +1.803695186590e-02
 1.58000000e+02,        +7.071067811865e+00,        +7.243951772370e+00,        +1.797969426068e-02,        +4.765302502625e+00,        -2.945106494542e+00,        +7.071067811865e+00,        +4.765302502625e+00,        -2.945106494542e+00,        +7.247486029196e+00,        +1.525641924228e-02
 1.60000000e+02,        +7.071067811865e+00,        +7.262905944661e+00,        +1.210282054305e-02,        +4.489923230731e+00,        -3.333242013936e+00,        +7.071067811865e+00,        +4.489923230731e+00,        -3.333242013936e+00,        +7.266314944382e+00,        +9.066654840817e-03
 1.62000000e+02,        +7.071067811865e+00,        +7.280275603190e+00,        +3.064011776415e-03,        +4.183269400617e+00,        -3.695942907959e+00,        +7.071067811865e+00,        +4.183269400617e+00,        -3.695942907959e+00,        +7.283514562321e+00,        -2.652002836779e-04
 1.64000000e+02,        +7.071067811865e+00,        +7.295571590909e+00,        -8.792182048593e-03,        +3.847657137975e+00,        -4.030731376822e+00,        +7.071067811865e+00,        +3.847657137975e+00,        -4.030731376822e+00,        +7.298599723692e+00,        -1.238807668960e-02
