        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +6.516352060119e+00,        -4.695179580162e-01,        -3.578939099226e+00,        +5.268783748144e+00,        +7.071067811865e+00,        -3.578939099226e+00,        +5.268783748144e+00,        +6.515263188790e+00,        -4.697577206811e-01
 1.02000000e+02,        +7.071067811865e+00,        +6.452321986810e+00,        -4.502837302714e-01,        -3.133205179333e+00,        +5.534869582487e+00,        +7.071067811865e+00,        -3.133205179333e+00,        +5.534869582487e+00,        +6.451496605769e+00,        -4.509729069999e-01
 1.04000000e+02,        +7.071067811865e+00,        +6.392352129609e+00,        -4.209532952852e-01,        -2.668642560982e+00,        +5.763281125585e+00,        +7.071067811865e+00,        -2.668642560982e+00,        +5.763281125585e+00,        +6.391706830188e+00,        -4.221645402766e-01
 1.06000000e+02,        +7.071067811865e+00,        +6.338021963516e+00,        -3.823670722699e-01,        -2.188428841538e+00,        +5.952894428991e+00,        +7.071067811865e+00,        -2.188428841538e+00,        +5.952894428991e+00,        +6.337464016241e+00,        -3.841558193702e-01
 1.08000000e+02,        +7.071067811865e+00,        +6.290742904505e+00,        -3.356033276992e-01,        -1.695757194791e+00,        +6.102848038915e+00,        +7.071067811865e+00,        -1.695757194791e+00,        +6.102848038915e+00,        +6.290173146110e+00,        -3.380076426194e-01
 1.10000000e+02,        +7.071067811865e+00,        +6.251725001081e+00,        -2.819457143413e-01,        -1.193817468268e+00,        +6.212528009366e+00,        +7.071067811865e+00,        -1.193817468268e+00,        +6.212528009366e+00,        +6.251040480716e+00,        -2.849864689141e-01
 1.12000000e+02,        +7.071067811865e+00,        +6.221949648487e+00,        -2.228468933758e-01,        -6.857820970438e-01,        +6.281552664673e+00,        +7.071067811865e+00,        -6.857820970438e-01,        +6.281552664673e+00,        +6.221046031535e+00,        -2.265281918179e-01
 1.14000000e+02,        +7.071067811865e+00,        +6.202148539877e+00,        -1.598892807091e-01,        -1.747963866131e-01,        +6.309758266995e+00,        +7.071067811865e+00,        -1.747963866131e-01,        +6.309758266995e+00,        +6.200922279923e+00,        -1.641990787798e-01
 1.16000000e+02,        +7.071067811865e+00,        +6.192788918387e+00,        -9.474387508194e-02,        +3.360275205682e-01,        +6.297186562197e+00,        +7.071067811865e+00,        +3.360275205682e-01,        +6.297186562197e+00,        +6.191139216305e+00,        -9.965474515396e-02
 1.18000000e+02,        +7.071067811865e+00,        +6.194065089051e+00,        -2.912803283694e-02,        +8.436138633340e-01,        +6.244074956225e+00,        +7.071067811865e+00,        +8.436138633340e-01,        +6.244074956225e+00,        +6.191895662903e+00,        -3.459804032146e-02
 1.20000000e+02,        +7.071067811865e+00,        +6.205896084334e+00,        +3.523703263188e-02,        +1.344924658814e+00,        +6.150849827533e+00,        +7.071067811865e+00,        +1.344924658814e+00,        +6.150849827533e+00,        +6.203116775194e+00,        +2.926336412998e-02
 1.22000000e+02,        +7.071067811865e+00,        +6.227929342430e+00,        +9.666831809240e-02,        +1.836960339909e+00,        +6.018123221407e+00,        +7.071067811865e+00,        +1.836960339909e+00,        +6.018123221407e+00,        +6.224457579660e+00,        +9.025896473290e-02
 1.24000000e+02,        +7.071067811865e+00,        +6.259550241225e+00,        +1.535620001849e-01,        +2.316760706304e+00,        +5.846692909658e+00,        +7.071067811865e+00,        +2.316760706304e+00,        +5.846692909658e+00,        +6.255312386743e+00,        +1.467963217105e-01
