        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.58000000e+02,        +2.950439071472e-12,        +2.590710581121e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.952151092996e-12,        +2.591421564114e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +2.892799241537e-12,        +2.525995047137e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.894438930748e-12,        +2.526526473684e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +2.828986766691e-12,        +2.461212577644e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.830538817760e-12,        +2.461555876218e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+02,        +2.761443195131e-12,        +2.398325990883e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.762894619962e-12,        +2.398476154893e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +2.692438521708e-12,        +2.338973453745e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.693778506741e-12,        +2.338928501253e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +2.623988977787e-12,        +2.284453616579e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.625208626628e-12,        +2.284213992462e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+02,        +2.557818513857e-12,        +2.235742395217e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.558910524728e-12,        +2.235310380116e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+02,        +2.495354415630e-12,        +2.193529569916e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.496312734548e-12,        +2.192908740214e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+02,        +2.437746241728e-12,        +2.158264798984e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.438565721866e-12,        +2.157459563307e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +2.385898199520e-12,        +2.130205142515e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.386574287090e-12,        +2.129220365438e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+02,        +2.340507062103e-12,        +2.109458821891e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.341035520743e-12,        +2.108299535275e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+02,        +2.302099941474e-12,        +2.096022172424e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.302476621185e-12,        +2.094693368794e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+02,        +2.271068187203e-12,        +2.089808382456e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.271288840229e-12,        +2.088314882051e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +2.247695175310e-12,        +2.090667666074e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.247755319666e-12,        +2.089014048677e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+02,        +2.232176770074e-12,        +2.098399104662e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.232071601232e-12,        +2.096589698199e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+02,        +2.224633859401e-12,        +2.112754661717e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224358211513e-12,        +2.110793581112e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+02,        +2.225116697643e-12,        +2.133435966650e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224665057193e-12,        +2.131327198116e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +2.233600962933e-12,        +2.160084499400e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.232967539556e-12,        +2.157832026709e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+02,        +2.249975571923e-12,        +2.192265892992e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.249154432804e-12,        +2.189873863124e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+02,        +2.274022513591e-12,        +2.229449296351e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.273007789054e-12,        +2.226922221826e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+02,        +2.305389384607e-12,        +2.270983181887e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.304175552525e-12,        +2.268326175860e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +2.343556043216e-12,        +2.316069697280e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.342138298033e-12,        +2.313288734753e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.02000000e+02,        +2.387797931204e-12,        +2.363740660708e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.386172638854e-12,        +2.360842854904e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.04000000e+02,        +2.437150160422e-12,        +2.412839514636e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.435315392382e-12,        +2.409833391596e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.06000000e+02,        +2.490378305369e-12,        +2.462014786068e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.488334433010e-12,        +2.458910533417e-12,        +0.000000000000e+00,        +0.000000000000e+00
