        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +3.777627219959e+00,        -1.124990525110e+00,        -1.661657258457e+00,        +4.783425791879e+00,        +7.071067811865e+00,        -1.661657258457e+00,        +4.783425791879e+00,        +3.776786935412e+00,        -1.124127370379e+00
 1.02000000e+02,        +7.071067811865e+00,        +3.643663306436e+00,        -9.452732961321e-01,        -1.283207691175e+00,        +4.843799731341e+00,        +7.071067811865e+00,        -1.283207691175e+00,        +4.843799731341e+00,        +3.642952659906e+00,        -9.444477443794e-01
 1.04000000e+02,        +7.071067811865e+00,        +3.539921353900e+00,        -7.514850319310e-01,        -9.122852605060e-01,        +4.882014645238e+00,        +7.071067811865e+00,        -9.122852605060e-01,        +4.882014645238e+00,        +3.539329772175e+00,        -7.506929309750e-01
 1.06000000e+02,        +7.071067811865e+00,        +3.466916025339e+00,        -5.479428666496e-01,        -5.480587432606e-01,        +4.900531312647e+00,        +7.071067811865e+00,        -5.480587432606e-01,        +4.900531312647e+00,        +3.466435888861e+00,        -5.471768837580e-01
 1.08000000e+02,        +7.071067811865e+00,        +3.424801973626e+00,        -3.386850595316e-01,        -1.893379033186e-01,        +4.901136174990e+00,        +7.071067811865e+00,        -1.893379033186e-01,        +4.901136174990e+00,        +3.424429140767e+00,        -3.379353445016e-01
 1.10000000e+02,        +7.071067811865e+00,        +3.413469759061e+00,        -1.275307186653e-01,        +1.652762309103e-01,        +4.884941538456e+00,        +7.071067811865e+00,        +1.652762309103e-01,        +4.884941538456e+00,        +3.413204008422e+00,        -1.267855810587e-01
 1.12000000e+02,        +7.071067811865e+00,        +3.432603378879e+00,        +8.184675624807e-02,        +5.172594045673e-01,        +4.852397118988e+00,        +7.071067811865e+00,        +5.172594045673e-01,        +4.852397118989e+00,        +3.432448792818e+00,        +8.260014436603e-02
 1.14000000e+02,        +7.071067811865e+00,        +3.481701215226e+00,        +2.858417946277e-01,        +8.680436806941e-01,        +4.803307332196e+00,        +7.071067811865e+00,        +8.680436806942e-01,        +4.803307332196e+00,        +3.481666517075e+00,        +2.866166503773e-01
 1.16000000e+02,        +7.071067811865e+00,        +3.560062262575e+00,        +4.808420980793e-01,        +1.218901292591e+00,        +4.736852464629e+00,        +7.071067811865e+00,        +1.218901292591e+00,        +4.736852464629e+00,        +3.560161107694e+00,        +4.816512082907e-01
 1.18000000e+02,        +7.071067811865e+00,        +3.666739290476e+00,        +6.631646999673e-01,        +1.570826054381e+00,        +4.651615274177e+00,        +7.071067811865e+00,        +1.570826054381e+00,        +4.651615274177e+00,        +3.666990497405e+00,        +6.640195026032e-01
