        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.02000000e+02,        +1.414213562373e-01,        +8.998081156894e-02,        +2.236808426509e-02,        -6.070682911961e-02,        -7.438836053058e-02,        +1.414213562373e-01,        -6.070682911961e-02,        -7.438836053058e-02,        +8.979365129774e-02,        +2.211123957366e-02
 2.04000000e+02,        +1.414213562373e-01,        +9.406961452235e-02,        +2.297569370542e-02,        -6.725966319496e-02,        -6.980058890228e-02,        +1.414213562373e-01,        -6.725966319496e-02,        -6.980058890228e-02,        +9.386493710016e-02,        +2.273280873129e-02
 2.06000000e+02,        +1.414213562373e-01,        +9.828334058296e-02,        +2.289285975394e-02,        -7.360449485739e-02,        -6.451621578774e-02,        +1.414213562373e-01,        -7.360449485739e-02,        -6.451621578774e-02,        +9.806266654897e-02,        +2.266620154954e-02
 2.08000000e+02,        +1.414213562373e-01,        +1.025029942847e-01,        +2.207877700720e-02,        -7.963961893851e-02,        -5.850211093205e-02,        +1.414213562373e-01,        -7.963961893851e-02,        -5.850211093205e-02,        +1.022682613878e-01,        +2.187049384226e-02
 2.10000000e+02,        +1.414213562373e-01,        +1.065937366128e-01,        +2.051431520048e-02,        -8.524533578432e-02,        -5.174485819925e-02,        +1.414213562373e-01,        -8.524533578432e-02,        -5.174485819925e-02,        +1.063473111895e-01,        +2.032633939384e-02
 2.12000000e+02,        +1.414213562373e-01,        +1.104091761210e-01,        +1.820838324214e-02,        -9.028829218710e-02,        -4.425749592980e-02,        +1.414213562373e-01,        -9.028829218710e-02,        -4.425749592980e-02,        +1.101538378518e-01,        +1.804232156864e-02
 2.14000000e+02,        +1.414213562373e-01,        +1.137983039325e-01,        +1.520338906998e-02,        -9.462846998020e-02,        -3.608530234175e-02,        +1.414213562373e-01,        -9.462846998020e-02,        -3.608530234175e-02,        +1.135371973482e-01,        +1.506040901672e-02
 2.16000000e+02,        +1.414213562373e-01,        +1.166148962996e-01,        +1.157861872992e-02,        -9.812864089336e-02,        -2.730946126847e-02,        +1.414213562373e-01,        -9.812864089336e-02,        -2.730946126847e-02,        +1.163514453275e-01,        +1.145934225364e-02
 2.18000000e+02,        +1.414213562373e-01,        +1.187286301078e-01,        +7.450373444796e-03,        -1.006655309058e-01,        -1.804745723615e-02,        +1.414213562373e-01,        -1.006655309058e-01,        -1.804745723615e-02,        +1.184664166770e-01,        +7.354792060364e-03
 2.20000000e+02,        +1.414213562373e-01,        +1.200365659795e-01,        +2.968036900482e-03,        -1.021413487268e-01,        -8.449380273960e-03,        +1.414213562373e-01,        -1.021413487268e-01,        -8.449380273960e-03,        +1.197791796484e-01,        +2.895461870049e-03
 2.22000000e+02,        +1.414213562373e-01,        +1.204732456729e-01,        -1.694094856941e-03,        -1.024939262121e-01,        +1.310021248667e-03,        +1.414213562373e-01,        -1.024939262121e-01,        +1.310021248667e-03,        +1.202241171650e-01,        -1.745036441019e-03
 2.24000000e+02,        +1.414213562373e-01,        +1.200176188272e-01,        -6.348524811334e-03,        -1.017036869574e-01,        +1.104283980655e-02,        +1.414213562373e-01,        -1.017036869574e-01,        +1.104283980655e-02,        +1.197798546655e-01,        -6.379843046406e-03
 2.26000000e+02,        +1.414213562373e-01,        +1.186954550271e-01,        -1.080828667414e-02,        -9.979609941682e-02,        +2.056153644922e-02,        +1.414213562373e-01,        -9.979609941682e-02,        +2.056153644922e-02,        +1.184716917037e-01,        -1.082253350463e-02
