        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +9.503195629399e-02,        -6.917166059342e-03,        +1.223757304678e-02,        +7.156374537964e-02,        +1.414213562373e-01,        +1.223757304678e-02,        +7.156374537964e-02,        +9.497769828145e-02,        -6.915123178809e-03
 1.02000000e+02,        +1.414213562373e-01,        +9.537911282302e-02,        -4.950196305189e-03,        +1.837313605615e-02,        +6.986622705910e-02,        +1.414213562373e-01,        +1.837313605615e-02,        +6.986622705910e-02,        +9.532530659940e-02,        -4.956630632315e-03
 1.04000000e+02,        +1.414213562373e-01,        +9.604884155522e-02,        -3.104749935621e-03,        +2.432907750266e-02,        +6.769978536204e-02,        +1.414213562373e-01,        +2.432907750266e-02,        +6.769978536204e-02,        +9.599394026618e-02,        -3.118937606519e-03
 1.06000000e+02,        +1.414213562373e-01,        +9.701425586993e-02,        -1.431918845489e-03,        +3.008206854419e-02,        +6.507359538026e-02,        +1.414213562373e-01,        +3.008206854419e-02,        +6.507359538026e-02,        +9.695701011386e-02,        -1.452997664461e-03
 1.08000000e+02,        +1.414213562373e-01,        +9.824106063908e-02,        +2.195343426190e-05,        +3.560623642864e-02,        +6.199493424843e-02,        +1.414213562373e-01,        +3.560623642864e-02,        +6.199493424843e-02,        +9.818049641514e-02,        -5.065697008449e-06
 1.10000000e+02,        +1.414213562373e-01,        +9.968802641574e-02,        +1.216182850828e-03,        +4.087218712426e-02,        +5.847040966172e-02,        +1.414213562373e-01,        +4.087218712426e-02,        +5.847040966172e-02,        +9.962342284572e-02,        +1.184222888563e-03
 1.12000000e+02,        +1.414213562373e-01,        +1.013075473730e-01,        +2.116758309552e-03,        +4.584637154644e-02,        +5.450743875003e-02,        +1.414213562373e-01,        +4.584637154644e-02,        +5.450743875003e-02,        +1.012384153934e-01,        +2.080873048308e-03
 1.14000000e+02,        +1.414213562373e-01,        +1.030463699535e-01,        +2.697453228075e-03,        +5.049085758925e-02,        +5.011590976252e-02,        +1.414213562373e-01,        +5.049085758925e-02,        +5.011590976252e-02,        +1.029724324569e-01,        +2.658646991279e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.048465800520e-01,        +2.940993647348e-03,        +5.476356600367e-02,        +4.530993862005e-02,        +1.414213562373e-01,        +5.476356600367e-02,        +4.530993862005e-02,        +1.047677533909e-01,        +2.900235901735e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.066469244143e-01,        +2.840202281167e-03,        +5.861901500931e-02,        +4.010960723516e-02,        +1.414213562373e-01,        +5.861901500931e-02,        +4.010960723516e-02,        +1.065633007598e-01,        +2.798406291651e-03
 1.20000000e+02,        +1.414213562373e-01,        +1.083845146083e-01,        +2.399001166234e-03,        +6.200959271236e-02,        +3.454254482440e-02,        +1.414213562373e-01,        +6.200959271236e-02,        +3.454254482440e-02,        +1.082963443860e-01,        +2.357004112390e-03
