        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e+02,        -2.788952705056e+01,        -1.252387207121e+02,        -7.824935061951e-01,        +1.257036668633e+02,        -7.824935061951e-01,        +1.257036668633e+02,        -2.787624491229e+01,        -1.254161798313e+02
 1.02000000e+02,        -2.736182832238e+01,        -1.297581890148e+02,        -7.898470809909e-01,        +1.210441647739e+02,        -7.898470809909e-01,        +1.210441647739e+02,        -2.734567946092e+01,        -1.298588993564e+02
 1.04000000e+02,        -2.691845889741e+01,        -1.343001953823e+02,        -7.972173043654e-01,        +1.163857871525e+02,        -7.972173043654e-01,        +1.163857871525e+02,        -2.689954709996e+01,        -1.343307299093e+02
 1.06000000e+02,        -2.655110083888e+01,        -1.388556114424e+02,        -8.045772903016e-01,        +1.117285711621e+02,        -8.045772903016e-01,        +1.117285711621e+02,        -2.652948327780e+01,        -1.388205612713e+02
 1.08000000e+02,        -2.625346459285e+01,        -1.434175061123e+02,        -8.118994303305e-01,        +1.070725227665e+02,        -8.118994303305e-01,        +1.070725227665e+02,        -2.622915445315e+01,        -1.433199268909e+02
 1.10000000e+02,        -2.602081621729e+01,        -1.479803852001e+02,        -8.191562211807e-01,        +1.024176165798e+02,        -8.191562211807e-01,        +1.024176165798e+02,        -2.599378388789e+01,        -1.478220845201e+02
 1.12000000e+02,        -2.584965839626e+01,        -1.525396821158e+02,        -8.263210752891e-01,        +9.776379661957e+01,        -8.263210752890e-01,        +9.776379661957e+01,        -2.581983098349e+01,        -1.523214000963e+02
 1.14000000e+02,        -2.573751512153e+01,        -1.570913954839e+02,        -8.333690925183e-01,        +9.311097792548e+01,        -8.333690925183e-01,        +9.311097792548e+01,        -2.570477410183e+01,        -1.568129088810e+02
 1.16000000e+02,        -2.568278970714e+01,        -1.616318113551e+02,        -8.402777729331e-01,        +8.845904898254e+01,        -8.402777729330e-01,        +8.845904898254e+01,        -2.564696646062e+01,        -1.612919785117e+02
 1.18000000e+02,        -2.568467780280e+01,        -1.661572697386e+02,        -8.470276524637e-01,        +8.380787486746e+01,        -8.470276524637e-01,        +8.380787486746e+01,        -2.564554661024e+01,        -1.657540252225e+02
