        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +6.906565225077e+00,        -2.328630249178e-01,        -3.771121602401e+00,        +5.247362341244e+00,        +7.071067811865e+00,        -3.771121602401e+00,        +5.247362341245e+00,        +6.905591935043e+00,        -2.327079802707e-01
 1.02000000e+02,        +7.071067811865e+00,        +6.877306382139e+00,        -2.329050788088e-01,        -3.329573740419e+00,        +5.531678379778e+00,        +7.071067811865e+00,        -3.329573740419e+00,        +5.531678379778e+00,        +6.876535959259e+00,        -2.329969264135e-01
 1.04000000e+02,        +7.071067811865e+00,        +6.848389812575e+00,        -2.281850671571e-01,        -2.866888921292e+00,        +5.778909256575e+00,        +7.071067811865e+00,        -2.866888921292e+00,        +5.778909256575e+00,        +6.847782607727e+00,        -2.285634735482e-01
 1.06000000e+02,        +7.071067811865e+00,        +6.820597641691e+00,        -2.188410025566e-01,        -2.386186159452e+00,        +5.987528285467e+00,        +7.071067811865e+00,        -2.386186159452e+00,        +5.987528285467e+00,        +6.820107746294e+00,        -2.195398989782e-01
 1.08000000e+02,        +7.071067811865e+00,        +6.794674769911e+00,        -2.051365909755e-01,        -1.890685712042e+00,        +6.156273443035e+00,        +7.071067811865e+00,        -1.890685712042e+00,        +6.156273443035e+00,        +6.794250859951e+00,        -2.061832730029e-01
 1.10000000e+02,        +7.071067811865e+00,        +6.771309154169e+00,        -1.874527182013e-01,        -1.383686105839e+00,        +6.284151864646e+00,        +7.071067811865e+00,        -1.383686105839e+00,        +6.284151864646e+00,        +6.770895456956e+00,        -1.888670759642e-01
 1.12000000e+02,        +7.071067811865e+00,        +6.751113879027e+00,        -1.662759317554e-01,        -8.685415865504e-01,        +6.370442277053e+00,        +7.071067811865e+00,        -8.685415865504e-01,        +6.370442277053e+00,        +6.750651241554e+00,        -1.680698266656e-01
 1.14000000e+02,        +7.071067811865e+00,        +6.734611454590e+00,        -1.421842775651e-01,        -3.486401742244e-01,        +6.414695587534e+00,        +7.071067811865e+00,        -3.486401742244e-01,        +6.414695587534e+00,        +6.734038490486e+00,        -1.443610779164e-01
 1.16000000e+02,        +7.071067811865e+00,        +6.722220707976e+00,        -1.158309082333e-01,        +1.726175538233e-01,        +6.416733860665e+00,        +7.071067811865e+00,        +1.726175538233e-01,        +6.416733860665e+00,        +6.721474998781e+00,        -1.183851923464e-01
 1.18000000e+02,        +7.071067811865e+00,        +6.714246559246e+00,        -8.792592380060e-02,        +6.918388915962e-01,        +6.376647909492e+00,        +7.071067811865e+00,        +6.918388915962e-01,        +6.376647909492e+00,        +6.713265885038e+00,        -9.084335562849e-02
 1.20000000e+02,        +7.071067811865e+00,        +6.710872893766e+00,        -5.921693669257e-02,        +1.205658638385e+00,        +6.294793709390e+00,        +7.071067811865e+00,        +1.205658638385e+00,        +6.294793709390e+00,        +6.709596468092e+00,        -6.247431508273e-02
 1.22000000e+02,        +7.071067811865e+00,        +6.712158663116e+00,        -3.046887073704e-02,        +1.710757978294e+00,        +6.171787812391e+00,        +7.071067811865e+00,        +1.710757978294e+00,        +6.171787812392e+00,        +6.710528347566e+00,        -3.403434993300e-02
 1.24000000e+02,        +7.071067811865e+00,        +6.718037267517e+00,        -2.443510599536e-03,        +2.203882680795e+00,        +6.008501899962e+00,        +7.071067811865e+00,        +2.203882680795e+00,        +6.008501899962e+00,        +6.715998742238e+00,        -6.276986129455e-03
 1.26000000e+02,        +7.071067811865e+00,        +6.728319195608e+00,        +2.412068630515e-02,        +2.681860720467e+00,        +5.806056566045e+00,        +7.071067811865e+00,        +2.681860720467e+00,        +5.806056566045e+00,        +6.725823063379e+00,        +2.006703541186e-02
 1.28000000e+02,        +7.071067811865e+00,        +6.742697823173e+00,        +4.852801748815e-02,        +3.141619423144e+00,        +5.565814373203e+00,        +7.071067811865e+00,        +3.141619423144e+00,        +5.565814373203e+00,        +6.739700626433e+00,        +4.430904214861e-02
 1.30000000e+02,        +7.071067811865e+00,        +6.760758201769e+00,        +7.014372787867e-02,        +3.580202241199e+00,        +5.289372176054e+00,        +7.071067811865e+00,        +3.580202241199e+00,        +5.289372176054e+00,        +6.757223334093e+00,        +6.582049268550e-02
 1.32000000e+02,        +7.071067811865e+00,        +6.781988601691e+00,        +8.841052397679e-02,        +3.994785243115e+00,        +4.978552661335e+00,        +7.071067811865e+00,        +3.994785243115e+00,        +4.978552661335e+00,        +6.777887097619e+00,        +8.404937811115e-02
 1.34000000e+02,        +7.071067811865e+00,        +6.805794511819e+00,        +1.028630061624e-01,        +4.382693373353e+00,        +4.635395015741e+00,        +7.071067811865e+00,        +4.382693373353e+00,        +4.635395015741e+00,        +6.801105701615e+00,        +9.853456031338e-02
 1.36000000e+02,        +7.071067811865e+00,        +6.831514742270e+00,        +1.131396630792e-01,        +4.741416499737e+00,        +4.262144603889e+00,        +7.071067811865e+00,        +4.741416499737e+00,        +4.262144603889e+00,        +6.826226761067e+00,        +1.089176927221e-01
 1.38000000e+02,        +7.071067811865e+00,        +6.858439225182e+00,        +1.189921270106e-01,        +5.068625219721e+00,        +3.861241521284e+00,        +7.071067811865e+00,        +5.068625219721e+00,        +3.861241521284e+00,        +6.852549369025e+00,        +1.149524235110e-01
 1.40000000e+02,        +7.071067811865e+00,        +6.885828065385e+00,        +1.202914514881e-01,        +5.362186346952e+00,        +3.435307882649e+00,        +7.071067811865e+00,        +5.362186346952e+00,        +3.435307882649e+00,        +6.879342989877e+00,        +1.165106431790e-01
 1.42000000e+02,        +7.071067811865e+00,        +6.912931357471e+00,        +1.170312416215e-01,        +5.620177948737e+00,        +2.987133714979e+00,        +7.071067811865e+00,        +5.620177948737e+00,        +2.987133714979e+00,        +6.905867117952e+00,        +1.135856072229e-01
 1.44000000e+02,        +7.071067811865e+00,        +6.939009260127e+00,        +1.093275431163e-01,        +5.840903756701e+00,        +2.519661347335e+00,        +7.071067811865e+00,        +5.840903756701e+00,        +2.519661347335e+00,        +6.931391195578e+00,        +1.062918396192e-01
 1.46000000e+02,        +7.071067811865e+00,        +6.963351804151e+00,        +9.741547657220e-02,        +6.022906730481e+00,        +2.035968224664e+00,        +7.071067811865e+00,        +6.022906730481e+00,        +2.035968224664e+00,        +6.955214270199e+00,        +9.486180297781e-02
 1.48000000e+02,        +7.071067811865e+00,        +6.985297908708e+00,        +8.164268790536e-02,        +6.164981520702e+00,        +1.539248119453e+00,        +7.071067811865e+00,        +6.164981520702e+00,        +1.539248119453e+00,        +6.976683868180e+00,        +7.963940500447e-02
 1.50000000e+02,        +7.071067811865e+00,        +7.004253092393e+00,        +6.245977159353e-02,        +6.266185555450e+00,        +1.032790770177e+00,        +7.071067811865e+00,        +6.266185555450e+00,        +1.032790770177e+00,        +6.995213574686e+00,        +6.107049629236e-02
 1.52000000e+02,        +7.071067811865e+00,        +7.019705392372e+00,        +4.040790843862e-02,        +6.325848466007e+00,        +5.199600365522e-01,        +7.071067811865e+00,        +6.325848466007e+00,        +5.199600365522e-01,        +7.010298835482e+00,        +3.969059902555e-02
 1.54000000e+02,        +7.071067811865e+00,        +7.031239046707e+00,        +1.610404084831e-02,        +6.343579573971e+00,        +4.170724931736e-03,        +7.071067811865e+00,        +6.343579573971e+00,        +4.170724931736e-03,        +7.021530537921e+00,        +1.611018708753e-02
 1.56000000e+02,        +7.071067811865e+00,        +7.038545551626e+00,        -9.776016812540e-03,        +6.319273183507e+00,        -5.111357007857e-01,        +7.071067811865e+00,        +6.319273183507e+00,        -5.111357007857e-01,        +7.028605984626e+00,        -9.002087713345e-03
 1.58000000e+02,        +7.071067811865e+00,        +7.041431775899e+00,        -3.651607056993e-02,        +6.253111458780e+00,        -1.022516250503e+00,        +7.071067811865e+00,        +6.253111458780e+00,        -1.022516250503e+00,        +7.031336943253e+00,        -3.493776416138e-02
 1.60000000e+02,        +7.071067811865e+00,        +7.039824896921e+00,        -6.337912780054e-02,        +6.145564716059e+00,        -1.526552061065e+00,        +7.071067811865e+00,        +6.145564716059e+00,        -1.526552061065e+00,        +7.029654537596e+00,        -6.096802405386e-02
 1.62000000e+02,        +7.071067811865e+00,        +7.033774014950e+00,        -8.962751625362e-02,        +5.997389020268e+00,        -2.019874214269e+00,        +7.071067811865e+00,        +5.997389020268e+00,        -2.019874214269e+00,        +7.023610836585e+00,        -8.636368127369e-02
 1.64000000e+02,        +7.071067811865e+00,        +7.023448400059e+00,        -1.145429715049e-01,        +5.809621043718e+00,        -2.499189340562e+00,        +7.071067811865e+00,        +5.809621043718e+00,        -2.499189340562e+00,        +7.013377095216e+00,        -1.104151411204e-01
 1.66000000e+02,        +7.071067811865e+00,        +7.009132427155e+00,        -1.374461227363e-01,        +5.583570216679e+00,        -2.961304622710e+00,        +7.071067811865e+00,        +5.583570216679e+00,        -2.961304622710e+00,        +6.999238701705e+00,        -1.324517628516e-01
 1.68000000e+02,        +7.071067811865e+00,        +6.991217353850e+00,        -1.577148252106e-01,        +5.320808271484e+00,        -3.403151823497e+00,        +7.071067811865e+00,        +5.320808271484e+00,        -3.403151823497e+00,        +6.981586984032e+00,        -1.518600765740e-01
 1.70000000e+02,        +7.071067811865e+00,        +6.970190190254e+00,        -1.748008246484e-01,        +5.023156349938e+00,        -3.821809987154e+00,        +7.071067811865e+00,        +5.023156349938e+00,        -3.821809987154e+00,        +6.960908122901e+00,        -1.681003420716e-01
 1.72000000e+02,        +7.071067811865e+00,        +6.946619995144e+00,        -1.882442924266e-01,        +4.692669904193e+00,        -4.214526504248e+00,        +7.071067811865e+00,        +4.692669904193e+00,        -4.214526504248e+00,        +6.937769503125e+00,        -1.807209903978e-01
 1.74000000e+02,        +7.071067811865e+00,        +6.921142006237e+00,        -1.976858387888e-01,        +4.331621670785e+00,        -4.578736281753e+00,        +7.071067811865e+00,        +4.331621670785e+00,        -4.578736281753e+00,        +6.912803908468e+00,        -1.893705567945e-01
 1.76000000e+02,        +7.071067811865e+00,        +6.894440070913e+00,        -2.028756911402e-01,        +3.942483033695e+00,        -4.912078821030e+00,        +7.071067811865e+00,        +3.942483033695e+00,        -4.912078821030e+00,        +6.886692023456e+00,        -1.938067928077e-01
 1.78000000e+02,        +7.071067811865e+00,        +6.867227885929e+00,        -2.036798125728e-01,        +3.527904113491e+00,        -5.212413072679e+00,        +7.071067811865e+00,        +3.527904113491e+00,        -5.212413072679e+00,        +6.860143747819e+00,        -1.939027329602e-01
 1.80000000e+02,        +7.071067811865e+00,        +6.840229579546e+00,        -2.000828284264e-01,        +3.090692925198e+00,        -5.477830005079e+00,        +7.071067811865e+00,        +3.090692925198e+00,        -5.477830005079e+00,        +6.833878854220e+00,        -1.896495834297e-01
 1.82000000e+02,        +7.071067811865e+00,        +6.814160177000e+00,        -1.921877223207e-01,        +2.633793937951e+00,        -5.706662888914e+00,        +7.071067811865e+00,        +2.633793937951e+00,        -5.706662888914e+00,        +6.808607527660e+00,        -1.811563932917e-01
 1.84000000e+02,        +7.071067811865e+00,        +6.789706481230e+00,        -1.802123543561e-01,        +2.160266345917e+00,        -5.897495359739e+00,        +7.071067811865e+00,        +2.160266345917e+00,        -5.897495359739e+00,        +6.785011316181e+00,        -1.686465596799e-01
