        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +3.010022211895e-12,        +2.866408949566e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009837538355e-12,        +2.866256654519e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +3.006502062414e-12,        +2.864617096720e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.006342064860e-12,        +2.864435046109e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +3.002480525144e-12,        +2.863282930770e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.002347872336e-12,        +2.863067551238e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.998018142150e-12,        +2.862383105895e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.997914682833e-12,        +2.862131531165e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.993185880787e-12,        +2.861885061336e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.993112612252e-12,        +2.861595175209e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.988062785001e-12,        +2.861748185678e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.988019839040e-12,        +2.861418649346e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.982733531526e-12,        +2.861925106290e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.982720177559e-12,        +2.861555370105e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.977285954560e-12,        +2.862363070224e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.977300619396e-12,        +2.861953370406e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.971808600023e-12,        +2.863005382777e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971848903399e-12,        +2.862556723780e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.966388366608e-12,        +2.863792870570e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.966451171410e-12,        +2.863306994132e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.961108285911e-12,        +2.864665337404e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.961189761712e-12,        +2.864144679472e-12,        +0.000000000000e+00,        +0.000000000000e+00
