        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.991572506560e-01,        +2.206173862045e-02,        -5.108111073908e-02,        +9.866882862643e-02,        +1.414213562373e-01,        -5.108111073908e-02,        +9.866882862643e-02,        +1.991133512647e-01,        +2.211364550135e-02
 1.02000000e+02,        +1.414213562373e-01,        +2.023928150521e-01,        +1.893403129624e-02,        -4.311886174876e-02,        +1.013956991051e-01,        +1.414213562373e-01,        -4.311886174876e-02,        +1.013956991051e-01,        +2.023547247171e-01,        +1.898420678555e-02
 1.04000000e+02,        +1.414213562373e-01,        +2.050785928433e-01,        +1.541203012446e-02,        -3.519130270537e-02,        +1.035985625302e-01,        +1.414213562373e-01,        -3.519130270537e-02,        +1.035985625302e-01,        +2.050458461448e-01,        +1.545963029636e-02
 1.06000000e+02,        +1.414213562373e-01,        +2.071839305252e-01,        +1.158003557262e-02,        -2.729943984938e-02,        +1.053237877328e-01,        +1.414213562373e-01,        -2.729943984938e-02,        +1.053237877328e-01,        +2.071559831102e-01,        +1.162428958356e-02
 1.08000000e+02,        +1.414213562373e-01,        +2.086872576393e-01,        +7.519811168896e-03,        -1.943487182484e-02,        +1.066073785310e-01,        +1.414213562373e-01,        -1.943487182484e-02,        +1.066073785310e-01,        +2.086634932426e-01,        +7.560017763711e-03
 1.10000000e+02,        +1.414213562373e-01,        +2.095743103982e-01,        +3.310919749257e-03,        -1.158257990030e-02,        +1.074741342630e-01,        +1.414213562373e-01,        -1.158257990030e-02,        +1.074741342630e-01,        +2.095540440699e-01,        +3.346444676394e-03
 1.12000000e+02,        +1.414213562373e-01,        +2.098369149317e-01,        -9.685301775221e-04,        -3.723525579807e-03,        +1.079371736270e-01,        +1.414213562373e-01,        -3.723525579807e-03,        +1.079371736270e-01,        +2.098193931589e-01,        -9.382548616290e-04
 1.14000000e+02,        +1.414213562373e-01,        +2.094723582731e-01,        -5.240903092659e-03,        +4.162885047261e-03,        +1.079977108599e-01,        +1.414213562373e-01,        +4.162885047260e-03,        +1.079977108599e-01,        +2.094567567845e-01,        -5.216377019079e-03
 1.16000000e+02,        +1.414213562373e-01,        +2.084833561269e-01,        -9.427977110373e-03,        +1.209638661960e-02,        +1.076450284273e-01,        +1.414213562373e-01,        +1.209638661960e-02,        +1.076450284273e-01,        +2.084687762781e-01,        -9.409626218400e-03
 1.18000000e+02,        +1.414213562373e-01,        +2.068786152493e-01,        -1.344995665274e-02,        +2.009339891588e-02,        +1.068566456932e-01,        +1.414213562373e-01,        +2.009339891588e-02,        +1.068566456932e-01,        +2.068640800214e-01,        -1.343812388866e-02
