        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 2.80000000e+02,        -8.667190773756e+00,        -2.744145576072e+01,        -2.415024777581e+00,        +5.533620964967e+01,        -2.415024777581e+00,        +5.533620964967e+01,        -8.668852545456e+00,        -2.761214336619e+01
 2.82000000e+02,        -9.220364372043e+00,        -3.055320223018e+01,        -2.339552465012e+00,        +5.062301462714e+01,        -2.339552465012e+00,        +5.062301462714e+01,        -9.222872446428e+00,        -3.073652077385e+01
 2.84000000e+02,        -9.878362349934e+00,        -3.347635523730e+01,        -2.263499335117e+00,        +4.582048808491e+01,        -2.263499335118e+00,        +4.582048808491e+01,        -9.882004651522e+00,        -3.367547125931e+01
 2.86000000e+02,        -1.065937102651e+01,        -3.610661971486e+01,        -2.189164636093e+00,        +4.092775456536e+01,        -2.189164636093e+00,        +4.092775456536e+01,        -1.066459743557e+01,        -3.632554135495e+01
 2.88000000e+02,        -1.158612671174e+01,        -3.828188818771e+01,        -2.118916931655e+00,        +3.594663444439e+01,        -2.118916931655e+00,        +3.594663444439e+01,        -1.159366356466e+01,        -3.852573354139e+01
 2.90000000e+02,        -1.268648014443e+01,        -3.974250803898e+01,        -2.055114263697e+00,        +3.088186485770e+01,        -2.055114263697e+00,        +3.088186485770e+01,        -1.269754834091e+01,        -4.001773136426e+01
 2.92000000e+02,        -1.399208559585e+01,        -4.005665966237e+01,        -2.000009737843e+00,        +2.574120100750e+01,        -2.000009737844e+00,        +2.574120100750e+01,        -1.400883031846e+01,        -4.037080976701e+01
 2.94000000e+02,        -1.552937481235e+01,        -3.847923138642e+01,        -1.955647474147e+00,        +2.053535692960e+01,        -1.955647474147e+00,        +2.053535692960e+01,        -1.555570710778e+01,        -3.883853128996e+01
 2.96000000e+02,        -1.728243726306e+01,        -3.371325808428e+01,        -1.923756610702e+00,        +1.527775547063e+01,        -1.923756610702e+00,        +1.527775547063e+01,        -1.732541711799e+01,        -3.411173656320e+01
 2.98000000e+02,        -1.906929094149e+01,        -2.375241987094e+01,        -1.905653154535e+00,        +9.984076545936e+00,        -1.905653154535e+00,        +9.984076545936e+00,        -1.913923346108e+01,        -2.413580592595e+01
 3.00000000e+02,        -2.029384575754e+01,        -7.165420214291e+00,        -1.902160257720e+00,        +4.671618661026e+00,        -1.902160257720e+00,        +4.671618661026e+00,        -2.039277951338e+01,        -7.380142855167e+00
