        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +9.957862532799e+00,        +1.103086931022e+00,        -2.554055536954e+00,        +4.933441431322e+00,        +7.071067811865e+00,        -2.554055536954e+00,        +4.933441431322e+00,        +9.955667563235e+00,        +1.105682275067e+00
 1.02000000e+02,        +7.071067811865e+00,        +1.011964075261e+01,        +9.467015648122e-01,        -2.155943087438e+00,        +5.069784955254e+00,        +7.071067811865e+00,        -2.155943087438e+00,        +5.069784955254e+00,        +1.011773623586e+01,        +9.492103392775e-01
 1.04000000e+02,        +7.071067811865e+00,        +1.025392964217e+01,        +7.706015062229e-01,        -1.759565135269e+00,        +5.179928126511e+00,        +7.071067811865e+00,        -1.759565135269e+00,        +5.179928126511e+00,        +1.025229230724e+01,        +7.729815148180e-01
 1.06000000e+02,        +7.071067811865e+00,        +1.035919652626e+01,        +5.790017786309e-01,        -1.364971992469e+00,        +5.266189386642e+00,        +7.071067811865e+00,        -1.364971992469e+00,        +5.266189386642e+00,        +1.035779915551e+01,        +5.812144791781e-01
 1.08000000e+02,        +7.071067811865e+00,        +1.043436288197e+01,        +3.759905584448e-01,        -9.717435912418e-01,        +5.330368926552e+00,        +7.071067811865e+00,        -9.717435912418e-01,        +5.330368926552e+00,        +1.043317466213e+01,        +3.780008881855e-01
 1.10000000e+02,        +7.071067811865e+00,        +1.047871551991e+01,        +1.655459874628e-01,        -5.791289950149e-01,        +5.373706713150e+00,        +7.071067811865e+00,        -5.791289950149e-01,        +5.373706713150e+00,        +1.047770220349e+01,        +1.673222338197e-01
 1.12000000e+02,        +7.071067811865e+00,        +1.049184574659e+01,        -4.842650887610e-02,        -1.861762789903e-01,        +5.396858681348e+00,        +7.071067811865e+00,        -1.861762789903e-01,        +5.396858681348e+00,        +1.049096965795e+01,        -4.691274308145e-02
 1.14000000e+02,        +7.071067811865e+00,        +1.047361791366e+01,        -2.620451546330e-01,        +2.081442523630e-01,        +5.399885542993e+00,        +7.071067811865e+00,        +2.081442523630e-01,        +5.399885542993e+00,        +1.047283783922e+01,        -2.608188509540e-01
 1.16000000e+02,        +7.071067811865e+00,        +1.042416780635e+01,        -4.713988555186e-01,        +6.048193309801e-01,        +5.382251421366e+00,        +7.071067811865e+00,        +6.048193309802e-01,        +5.382251421366e+00,        +1.042343881391e+01,        -4.704813109200e-01
 1.18000000e+02,        +7.071067811865e+00,        +1.034393076247e+01,        -6.724978326369e-01,        +1.004669945794e+00,        +5.342832284659e+00,        +7.071067811865e+00,        +1.004669945794e+00,        +5.342832284659e+00,        +1.034320400107e+01,        -6.719061944332e-01
 1.20000000e+02,        +7.071067811865e+00,        +1.023369884154e+01,        -8.612356272095e-01,        +1.408222438767e+00,        +5.279936884811e+00,        +7.071067811865e+00,        +1.408222438767e+00,        +5.279936884811e+00,        +1.023292138223e+01,        -8.609822120285e-01
 1.22000000e+02,        +7.071067811865e+00,        +1.009470538401e+01,        -1.033371042919e+00,        +1.815570696350e+00,        +5.191345564476e+00,        +7.071067811865e+00,        +1.815570696350e+00,        +5.191345564476e+00,        +1.009382017192e+01,        -1.033462430259e+00
 1.24000000e+02,        +7.071067811865e+00,        +9.928733529946e+00,        -1.184539695322e+00,        +2.226228960407e+00,        +5.074374741587e+00,        +7.071067811865e+00,        +2.226228960407e+00,        +5.074374741587e+00,        +9.927679529488e+00,        -1.184975601720e+00
 1.26000000e+02,        +7.071067811865e+00,        +9.738242362382e+00,        -1.310305837535e+00,        +2.638978289914e+00,        +4.925976815445e+00,        +7.071067811865e+00,        +2.638978289914e+00,        +4.925976815446e+00,        +9.736954987451e+00,        -1.311077799746e+00
 1.28000000e+02,        +7.071067811865e+00,        +9.526500080695e+00,        -1.406265388205e+00,        +3.051714554808e+00,        +4.742886120126e+00,        +7.071067811865e+00,        +3.051714554808e+00,        +4.742886120126e+00,        +9.524912007055e+00,        -1.407355314558e+00
 1.30000000e+02,        +7.071067811865e+00,        +9.297708038459e+00,        -1.468209712626e+00,        +3.461311949785e+00,        +4.521820574950e+00,        +7.071067811865e+00,        +3.461311949785e+00,        +4.521820574950e+00,        +9.295750491862e+00,        -1.469588400932e+00
 1.32000000e+02,        +7.071067811865e+00,        +9.057093120922e+00,        -1.492355631268e+00,        +3.863522839472e+00,        +4.259744844260e+00,        +7.071067811865e+00,        +3.863522839472e+00,        +4.259744844260e+00,        +9.054697715289e+00,        -1.493981397128e+00
 1.34000000e+02,        +7.071067811865e+00,        +8.810940022511e+00,        -1.475639333042e+00,        +4.252941051498e+00,        +3.954193149734e+00,        +7.071067811865e+00,        +4.252941051498e+00,        +3.954193149735e+00,        +8.808041182246e+00,        -1.477456938386e+00
 1.36000000e+02,        +7.071067811865e+00,        +8.566531596619e+00,        -1.416059836600e+00,        +4.623059443246e+00,        +3.603637896497e+00,        +7.071067811865e+00,        +4.623059443246e+00,        +3.603637896497e+00,        +8.563069531443e+00,        -1.417999944809e+00
