        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +7.482205590385e+00,        +1.569833388360e-01,        -3.968647440603e+00,        +5.139067768093e+00,        +7.071067811865e+00,        -3.968647440603e+00,        +5.139067768093e+00,        +7.480776098754e+00,        +1.589021096625e-01
 1.02000000e+02,        +7.071067811865e+00,        +7.512445483606e+00,        +1.332626710637e-01,        -3.539638126035e+00,        +5.437287200223e+00,        +7.071067811865e+00,        -3.539638126035e+00,        +5.437287200224e+00,        +7.511096801087e+00,        +1.354157326461e-01
 1.04000000e+02,        +7.071067811865e+00,        +7.538318026655e+00,        +1.050295570296e-01,        -3.088593653231e+00,        +5.699995330466e+00,        +7.071067811865e+00,        -3.088593653231e+00,        +5.699995330466e+00,        +7.537075533058e+00,        +1.074229636481e-01
 1.06000000e+02,        +7.071067811865e+00,        +7.559177674585e+00,        +7.303838089724e-02,        -2.618400091385e+00,        +5.925620299275e+00,        +7.071067811865e+00,        -2.618400091385e+00,        +5.925620299275e+00,        +7.558068817563e+00,        +7.567575047706e-02
 1.08000000e+02,        +7.071067811865e+00,        +7.574505693922e+00,        +3.813414784413e-02,        -2.132045939689e+00,        +6.112813210023e+00,        +7.071067811865e+00,        -2.132045939689e+00,        +6.112813210023e+00,        +7.573559770290e+00,        +4.101627465435e-02
 1.10000000e+02,        +7.071067811865e+00,        +7.583922567888e+00,        +1.231653109346e-03,        -1.632607682103e+00,        +6.260452971029e+00,        +7.071067811865e+00,        -1.632607682103e+00,        +6.260452971029e+00,        +7.583170443577e+00,        +4.356133582369e-03
 1.12000000e+02,        +7.071067811865e+00,        +7.587197085690e+00,        -3.670698258488e-02,        -1.123235493301e+00,        +6.367650918604e+00,        +7.071067811865e+00,        -1.123235493301e+00,        +6.367650918604e+00,        +7.586670852925e+00,        -3.334610177446e-02
 1.14000000e+02,        +7.071067811865e+00,        +7.584251912916e+00,        -7.469591244649e-02,        -6.071388794060e-01,        +6.433755322080e+00,        +7.071067811865e+00,        -6.071388794060e-01,        +6.433755322080e+00,        +7.583984484568e+00,        -7.110845407559e-02
 1.16000000e+02,        +7.071067811865e+00,        +7.575165506215e+00,        -1.117497755885e-01,        -8.757201518567e-02,        +6.458355798659e+00,        +7.071067811865e+00,        -8.757201518567e-02,        +6.458355798659e+00,        +7.575190148862e+00,        -1.079497087501e-01
 1.18000000e+02,        +7.071067811865e+00,        +7.560170304294e+00,        -1.469079816130e-01,        +4.321814639079e-01,        +6.441287589192e+00,        +7.071067811865e+00,        +4.321814639079e-01,        +6.441287589192e+00,        +7.560520113316e+00,        -1.429136447669e-01
 1.20000000e+02,        +7.071067811865e+00,        +7.539647199525e+00,        -1.792585165136e-01,        +9.488244406410e-01,        +6.382635569902e+00,        +7.071067811865e+00,        +9.488244406410e-01,        +6.382635569902e+00,        +7.540354521542e+00,        -1.750927756638e-01
 1.22000000e+02,        +7.071067811865e+00,        +7.514116370483e+00,        -2.079607146984e-01,        +1.459063257069e+00,        +6.282737803916e+00,        +7.071067811865e+00,        +1.459063257069e+00,        +6.282737803916e+00,        +7.515212180548e+00,        -2.036510459251e-01
