        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e+02,        -2.411889619308e+01,        +2.089818630049e+01,        -7.406754759854e-01,        +1.276771309470e+02,        -7.406754759854e-01,        +1.276771309470e+02,        -2.413163529490e+01,        +2.119838792392e+01
 1.02000000e+02,        -2.371461517305e+01,        +1.680034444184e+01,        -7.475878205432e-01,        +1.230638621182e+02,        -7.475878205432e-01,        +1.230638621182e+02,        -2.372710086020e+01,        +1.710536927495e+01
 1.04000000e+02,        -2.338463740360e+01,        +1.266850823769e+01,        -7.541725308223e-01,        +1.184514471072e+02,        -7.541725308223e-01,        +1.184514471072e+02,        -2.339698353013e+01,        +1.298092554437e+01
 1.06000000e+02,        -2.312317960163e+01,        +8.510318814648e+00,        -7.604143503687e-01,        +1.138395713952e+02,        -7.604143503687e-01,        +1.138395713952e+02,        -2.313548213244e+01,        +8.832629100004e+00
 1.08000000e+02,        -2.292593499762e+01,        +4.331738493260e+00,        -7.663052850274e-01,        +1.092279084147e+02,        -7.663052850274e-01,        +1.092279084147e+02,        -2.293827769428e+01,        +4.666464530668e+00
 1.10000000e+02,        -2.278978724838e+01,        +1.375991710975e-01,        -7.718448327571e-01,        +1.046161270473e+02,        -7.718448327571e-01,        +1.046161270473e+02,        -2.280224565275e+01,        +4.873672466184e-01
 1.12000000e+02,        -2.271261887506e+01,        -4.068011789630e+00,        -7.770400332026e-01,        +1.000038992938e+02,        -7.770400332026e-01,        +1.000038992938e+02,        -2.272526318508e+01,        -3.700392712052e+00
 1.14000000e+02,        -2.269318800930e+01,        -8.281463587811e+00,        -7.819053347445e-01,        +9.539090793199e+01,        -7.819053347445e-01,        +9.539090793199e+01,        -2.270608520155e+01,        -7.892918272485e+00
 1.16000000e+02,        -2.273105790344e+01,        -1.249935077605e+01,        -7.864622808408e-01,        +9.077685397925e+01,        -7.864622808408e-01,        +9.077685397925e+01,        -2.274427330825e+01,        -1.208644327422e+01
 1.18000000e+02,        -2.282657083278e+01,        -1.671829005450e+01,        -7.907390215910e-01,        +8.616146377701e+01,        -7.907390215910e-01,        +8.616146377701e+01,        -2.284016926271e+01,        -1.627711112170e+01
 1.20000000e+02,        -2.298086343137e+01,        -2.093472196407e+01,        -7.947696605366e-01,        +8.154449552212e+01,        -7.947696605366e-01,        +8.154449552212e+01,        -2.299490987370e+01,        -2.046074909850e+01
 1.22000000e+02,        -2.319592531763e+01,        -2.514469516851e+01,        -7.985934506954e-01,        +7.692574507926e+01,        -7.985934506954e-01,        +7.692574507926e+01,        -2.321048509910e+01,        -2.463261265886e+01
 1.24000000e+02,        -2.347470805283e+01,        -2.934360717401e+01,        -8.022538576421e-01,        +7.230505092280e+01,        -8.022538576421e-01,        +7.230505092280e+01,        -2.348984623854e+01,        -2.878706801635e+01
 1.26000000e+02,        -2.382129812341e+01,        -3.352586560025e+01,        -8.057975110086e-01,        +6.768229807411e+01,        -8.057975110086e-01,        +6.768229807411e+01,        -2.383707766770e+01,        -3.291716813217e+01
 1.28000000e+02,        -2.424117731385e+01,        -3.768441512303e+01,        -8.092730689828e-01,        +6.305742092230e+01,        -8.092730689828e-01,        +6.305742092230e+01,        -2.425765503706e+01,        -3.701405229747e+01
 1.30000000e+02,        -2.474160917665e+01,        -4.181003974903e+01,        -8.127300231321e-01,        +5.843040484120e+01,        -8.127300231321e-01,        +5.843040484120e+01,        -2.475882778731e+01,        -4.106605356952e+01
 1.32000000e+02,        -2.533221616726e+01,        -4.589028299061e+01,        -8.162174730525e-01,        +5.380128654449e+01,        -8.162174730525e-01,        +5.380128654449e+01,        -2.535018882301e+01,        -4.505731187587e+01
 1.34000000e+02,        -2.602585793379e+01,        -4.990769673507e+01,        -8.197829018366e-01,        +4.917015315207e+01,        -8.197829018366e-01,        +4.917015315207e+01,        -2.604453816757e+01,        -4.896552137794e+01
 1.36000000e+02,        -2.684000709085e+01,        -5.383685702897e+01,        -8.234709840622e-01,        +4.453713997450e+01,        -8.234709840622e-01,        +4.453713997450e+01,        -2.685922867893e+01,        -5.275809174545e+01
 1.38000000e+02,        -2.779898849384e+01,        -5.763898354316e+01,        -8.273224578372e-01,        +3.990242705688e+01,        -8.273224578372e-01,        +3.990242705688e+01,        -2.781833996473e+01,        -5.638523607623e+01
 1.40000000e+02,        -2.893780573862e+01,        -6.125156282621e+01,        -8.313730913540e-01,        +3.526623455878e+01,        -8.313730913540e-01,        +3.526623455878e+01,        -2.895635213695e+01,        -5.976667667529e+01
 1.42000000e+02,        -3.030909201045e+01,        -6.456658896863e+01,        -8.356527723600e-01,        +3.062881708046e+01,        -8.356527723600e-01,        +3.062881708046e+01,        -3.032470495253e+01,        -6.276390060558e+01
