        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.496441118077e-01,        +3.139666776720e-03,        -7.937294881207e-02,        +1.027813553619e-01,        +1.414213562373e-01,        -7.937294881207e-02,        +1.027813553619e-01,        +1.496155219751e-01,        +3.178042193250e-03
 1.02000000e+02,        +1.414213562373e-01,        +1.502489096721e-01,        +2.665253421274e-03,        -7.079276252071e-02,        +1.087457440045e-01,        +1.414213562373e-01,        -7.079276252071e-02,        +1.087457440045e-01,        +1.502219360217e-01,        +2.708314652922e-03
 1.04000000e+02,        +1.414213562373e-01,        +1.507663605331e-01,        +2.100591140592e-03,        -6.177187306462e-02,        +1.139999066093e-01,        +1.414213562373e-01,        -6.177187306462e-02,        +1.139999066093e-01,        +1.507415106612e-01,        +2.148459272963e-03
 1.06000000e+02,        +1.414213562373e-01,        +1.511835534917e-01,        +1.460767617945e-03,        -5.236800182770e-02,        +1.185124059855e-01,        +1.414213562373e-01,        -5.236800182770e-02,        +1.185124059855e-01,        +1.511613763513e-01,        +1.513515009541e-03
 1.08000000e+02,        +1.414213562373e-01,        +1.514901138784e-01,        +7.626829568825e-04,        -4.264091879378e-02,        +1.222562642005e-01,        +1.414213562373e-01,        -4.264091879378e-02,        +1.222562642005e-01,        +1.514711954058e-01,        +8.203254930871e-04
 1.10000000e+02,        +1.414213562373e-01,        +1.516784513578e-01,        +2.463306218693e-05,        -3.265215364206e-02,        +1.252090594206e-01,        +1.414213562373e-01,        -3.265215364206e-02,        +1.252090594206e-01,        +1.516634088715e-01,        +8.712267164738e-05
 1.12000000e+02,        +1.414213562373e-01,        +1.517439417138e-01,        -7.341396516976e-04,        -2.246470986602e-02,        +1.273530183721e-01,        +1.414213562373e-01,        -2.246470986602e-02,        +1.273530183721e-01,        +1.517334170585e-01,        -6.669220354891e-04
 1.14000000e+02,        +1.414213562373e-01,        +1.516850382583e-01,        -1.493918248930e-03,        -1.214277758812e-02,        +1.286751064416e-01,        +1.414213562373e-01,        -1.214277758812e-02,        +1.286751064416e-01,        +1.516796896914e-01,        -1.422169081512e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.515033101243e-01,        -2.234995511771e-03,        -1.751440303713e-03,        +1.291671159732e-01,        +1.414213562373e-01,        -1.751440303713e-03,        +1.291671159732e-01,        +1.515038029772e-01,        -2.158994175003e-03
 1.18000000e+02,        +1.414213562373e-01,        +1.512034060859e-01,        -2.938159632261e-03,        +8.643629278157e-03,        +1.288257517838e-01,        +1.414213562373e-01,        +8.643629278157e-03,        +1.288257517838e-01,        +1.512104022663e-01,        -2.858272895338e-03
 1.20000000e+02,        +1.414213562373e-01,        +1.507929439905e-01,        -3.585170330272e-03,        +1.897648881282e-02,        +1.276527113980e-01,        +1.414213562373e-01,        +1.897648881282e-02,        +1.276527113980e-01,        +1.508070904308e-01,        -3.501855513276e-03
 1.22000000e+02,        +1.414213562373e-01,        +1.502823274097e-01,        -4.159214293967e-03,        +2.918126514138e-02,        +1.256547560783e-01,        +1.414213562373e-01,        +2.918126514138e-02,        +1.256547560783e-01,        +1.503042436110e-01,        -4.073020918502e-03
 1.24000000e+02,        +1.414213562373e-01,        +1.496844927093e-01,        -4.645328940226e-03,        +3.919251513999e-02,        +1.228437674920e-01,        +1.414213562373e-01,        +3.919251513999e-02,        +1.228437674920e-01,        +1.497147575716e-01,        -4.556898665527e-03
 1.26000000e+02,        +1.414213562373e-01,        +1.490145913976e-01,        -5.030783810918e-03,        +4.894561003805e-02,        +1.192367838799e-01,        +1.414213562373e-01,        +4.894561003805e-02,        +1.192367838799e-01,        +1.490537295706e-01,        -4.940848476462e-03
 1.28000000e+02,        +1.414213562373e-01,        +1.482896142981e-01,        -5.305409495029e-03,        +5.837714306254e-02,        +1.148560089553e-01,        +1.414213562373e-01,        +5.837714306254e-02,        +1.148560089553e-01,        +1.483380823278e-01,        -5.214787122422e-03
 1.30000000e+02,        +1.414213562373e-01,        +1.475279657770e-01,        -5.461864831916e-03,        +6.742535852145e-02,        +1.097287865132e-01,        +1.414213562373e-01,        +6.742535852145e-02,        +1.097287865132e-01,        +1.475861383586e-01,        -5.371453479634e-03
 1.32000000e+02,        +1.414213562373e-01,        +1.467489978660e-01,        -5.495834333485e-03,        +7.603059862917e-02,        +1.038875339130e-01,        +1.414213562373e-01,        +7.603059862917e-02,        +1.038875339130e-01,        +1.468171545443e-01,        -5.406603747411e-03
 1.34000000e+02,        +1.414213562373e-01,        +1.459725155903e-01,        -5.406149274295e-03,        +8.413576260456e-02,        +9.736962822628e-02,        +1.414213562373e-01,        +8.413576260456e-02,        +9.736962822628e-02,        +1.460508282710e-01,        -5.319130333845e-03
 1.36000000e+02,        +1.414213562373e-01,        +1.452182660639e-01,        -5.194827730079e-03,        +9.168677094841e-02,        +9.021723990371e-02,        +1.414213562373e-01,        +9.168677094841e-02,        +9.021723990371e-02,        +1.453067877096e-01,        -5.111099752572e-03
 1.38000000e+02,        +1.414213562373e-01,        +1.445054248562e-01,        -4.867030965719e-03,        +9.863302643720e-02,        +8.247711027687e-02,        +1.414213562373e-01,        +9.863302643720e-02,        +8.247711027687e-02,        +1.446040797411e-01,        -4.787706998481e-03
 1.40000000e+02,        +1.414213562373e-01,        +1.438520936948e-01,        -4.430935927610e-03,        +1.049278623540e-01,        +7.420027100504e-02,        +1.414213562373e-01,        +1.049278623540e-01,        +7.420027100504e-02,        +1.439606695798e-01,        -4.357146225706e-03
 1.42000000e+02,        +1.414213562373e-01,        +1.432748236819e-01,        -3.897526103292e-03,        +1.105289678951e-01,        +6.544170561337e-02,        +1.414213562373e-01,        +1.105289678951e-01,        +6.544170561337e-02,        +1.433929662433e-01,        -3.830400058036e-03
 1.44000000e+02,        +1.414213562373e-01,        +1.427881778147e-01,        -3.280305573997e-03,        +1.153987805991e-01,        +5.625995543608e-02,        +1.414213562373e-01,        +1.153987805991e-01,        +5.625995543608e-02,        +1.429153876224e-01,        -3.220952420651e-03
 1.46000000e+02,        +1.414213562373e-01,        +1.424043456990e-01,        -2.594943589787e-03,        +1.195048360754e-01,        +4.671667445108e-02,        +1.414213562373e-01,        +1.195048360754e-01,        +4.671667445108e-02,        +1.425399779858e-01,        -2.544432279202e-03
 1.48000000e+02,        +1.414213562373e-01,        +1.421328219357e-01,        -1.858859322360e-03,        +1.228200662437e-01,        +3.687613953888e-02,        +1.414213562373e-01,        +1.228200662437e-01,        +3.687613953888e-02,        +1.422760893361e-01,        -1.818197988166e-03
 1.50000000e+02,        +1.414213562373e-01,        +1.419801577840e-01,        -1.090758480128e-03,        +1.253230387106e-01,        +2.680472449255e-02,        +1.414213562373e-01,        +1.253230387106e-01,        +2.680472449255e-02,        +1.421301361490e-01,        -1.060873968050e-03
 1.52000000e+02,        +1.414213562373e-01,        +1.419497934346e-01,        -3.101350986616e-04,        +1.269981317114e-01,        +1.657034753275e-02,        +1.414213562373e-01,        +1.269981317114e-01,        +1.657034753275e-02,        +1.421054307496e-01,        -2.918530458800e-04
