        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.562213026967e-12,        +2.192687170053e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.561657755259e-12,        +2.192794355184e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.503389092802e-12,        +2.179754362332e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.502942362799e-12,        +2.179966122804e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.452427978347e-12,        +2.174697782257e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.452095462433e-12,        +2.175020196427e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.409972419501e-12,        +2.177258637209e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.409759837198e-12,        +2.177697963160e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.376503333839e-12,        +2.187127922617e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.376416574900e-12,        +2.187690525956e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.352370254118e-12,        +2.203955086546e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.352415472360e-12,        +2.204647339139e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.337811286303e-12,        +2.227347537419e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.337994957346e-12,        +2.228175679586e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.332961923942e-12,        +2.256862039751e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333290859465e-12,        +2.257831997641e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.337852419463e-12,        +2.291989044403e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.338333729409e-12,        +2.293106193912e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.352393694968e-12,        +2.332131123254e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.353034687686e-12,        +2.333399992471e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.376352162147e-12,        +2.376577029228e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.377160171416e-12,        +2.378000933436e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.409314501151e-12,        +2.424473561270e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.410296628920e-12,        +2.426054168762e-12,        +0.000000000000e+00,        +0.000000000000e+00
