        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +9.724401921408e+00,        +9.542651314653e-01,        -2.536117521092e+00,        +5.042743067875e+00,        +7.071067811865e+00,        -2.536117521092e+00,        +5.042743067875e+00,        +9.719076750169e+00,        +9.611647937471e-01
 1.02000000e+02,        +7.071067811865e+00,        +9.867916153447e+00,        +8.055835354141e-01,        -2.125739095262e+00,        +5.188572843898e+00,        +7.071067811865e+00,        -2.125739095262e+00,        +5.188572843898e+00,        +9.863385483394e+00,        +8.123210143004e-01
 1.04000000e+02,        +7.071067811865e+00,        +9.985387019008e+00,        +6.387220728980e-01,        -1.714146728610e+00,        +5.306265140527e+00,        +7.071067811865e+00,        -1.714146728610e+00,        +5.306265140527e+00,        +9.981585897742e+00,        +6.452366053256e-01
 1.06000000e+02,        +7.071067811865e+00,        +1.007515566795e+01,        +4.577287785171e-01,        -1.301817993836e+00,        +5.397551989993e+00,        +7.071067811865e+00,        -1.301817993836e+00,        +5.397551989993e+00,        +1.007201882581e+01,        +4.639739097968e-01
 1.08000000e+02,        +7.071067811865e+00,        +1.013603797640e+01,        +2.666298760069e-01,        -8.888299945843e-01,        +5.463741935325e+00,        +7.071067811865e+00,        -8.888299945843e-01,        +5.463741935325e+00,        +1.013350176874e+01,        +2.725718727382e-01
 1.10000000e+02,        +7.071067811865e+00,        +1.016726565913e+01,        +6.942608095046e-02,        -4.749854346745e-01,        +5.505671624553e+00,        +7.071067811865e+00,        -4.749854346745e-01,        +5.505671624553e+00,        +1.016526954090e+01,        +7.504233878552e-02
 1.12000000e+02,        +7.071067811865e+00,        +1.016844836926e+01,        -1.298948756898e-01,        -5.993609260683e-02,        +5.523677437570e+00,        +7.071067811865e+00,        -5.993609260683e-02,        +5.523677437570e+00,        +1.016693600081e+01,        -1.246173621505e-01
 1.14000000e+02,        +7.071067811865e+00,        +1.013955883838e+01,        -3.273372764809e-01,        +3.566955000099e-01,        +5.517583923860e+00,        +7.071067811865e+00,        +3.566955000098e-01,        +5.517583923860e+00,        +1.013847891479e+01,        -3.224033504725e-01
 1.16000000e+02,        +7.071067811865e+00,        +1.008094173906e+01,        -5.188755227469e-01,        +7.751945249201e-01,        +5.486707813316e+00,        +7.071067811865e+00,        +7.751945249201e-01,        +5.486707813316e+00,        +1.008024862246e+01,        -5.142832063164e-01
 1.18000000e+02,        +7.071067811865e+00,        +9.993345742723e+00,        -7.004387938237e-01,        +1.195630794084e+00,        +5.429878413506e+00,        +7.071067811865e+00,        +1.195630794084e+00,        +5.429878413506e+00,        +9.992999959401e+00,        -6.961805522238e-01
 1.20000000e+02,        +7.071067811865e+00,        +9.877976919685e+00,        -8.679098961355e-01,        +1.617733177035e+00,        +5.345477171096e+00,        +7.071067811865e+00,        +1.617733177035e+00,        +5.345477171096e+00,        +9.877945563202e+00,        -8.639738599355e-01
 1.22000000e+02,        +7.071067811865e+00,        +9.736569922801e+00,        -1.017146171310e+00,        +2.040762175086e+00,        +5.231500874223e+00,        +7.071067811865e+00,        +2.040762175086e+00,        +5.231500874223e+00,        +9.736826981650e+00,        -1.013517359016e+00
 1.24000000e+02,        +7.071067811865e+00,        +9.571471106452e+00,        -1.144030377593e+00,        +2.463383704713e+00,        +5.085654154360e+00,        +7.071067811865e+00,        +2.463383704713e+00,        +5.085654154360e+00,        +9.571997710476e+00,        -1.140691963100e+00
 1.26000000e+02,        +7.071067811865e+00,        +9.385724762997e+00,        -1.244558914023e+00,        +2.883550398105e+00,        +4.905477250069e+00,        +7.071067811865e+00,        +2.883550398105e+00,        +4.905477250069e+00,        +9.386509318530e+00,        -1.241493577034e+00
 1.28000000e+02,        +7.071067811865e+00,        +9.183150107781e+00,        -1.314973101696e+00,        +3.298400613714e+00,        +4.688513952102e+00,        +7.071067811865e+00,        +3.298400613714e+00,        +4.688513952102e+00,        +9.184188268782e+00,        -1.312164484403e+00
 1.30000000e+02,        +7.071067811865e+00,        +8.968392903885e+00,        -1.351935899240e+00,        +3.704189429751e+00,        +4.432521738978e+00,        +7.071067811865e+00,        +3.704189429751e+00,        +4.432521738978e+00,        +8.969687308062e+00,        -1.349370168499e+00
 1.32000000e+02,        +7.071067811865e+00,        +8.746932468681e+00,        -1.352750935021e+00,        +4.096269360145e+00,        +4.135720904654e+00,        +7.071067811865e+00,        +4.096269360145e+00,        +4.135720904653e+00,        +8.748492157760e+00,        -1.350418416196e+00
 1.34000000e+02,        +7.071067811865e+00,        +8.525023438207e+00,        -1.315612949197e+00,        +4.469140178774e+00,        +3.797071876192e+00,        +7.071067811865e+00,        +4.469140178774e+00,        +3.797071876192e+00,        +8.526862884407e+00,        -1.313509758047e+00
 1.36000000e+02,        +7.071067811865e+00,        +8.309553560358e+00,        -1.239869167326e+00,        +4.816585580890e+00,        +3.416560462887e+00,        +7.071067811865e+00,        +4.816585580890e+00,        +3.416560462887e+00,        +8.311691241479e+00,        -1.237998724339e+00
 1.38000000e+02,        +7.071067811865e+00,        +8.107805349505e+00,        -1.126261219485e+00,        +5.131908046429e+00,        +2.995460939014e+00,        +7.071067811865e+00,        +5.131908046429e+00,        +2.995460939014e+00,        +8.110261855237e+00,        -1.124635494564e+00
 1.40000000e+02,        +7.071067811865e+00,        +7.927121387645e+00,        -9.771094314499e-01,        +5.408261479031e+00,        +2.536539114775e+00,        +7.071067811865e+00,        +5.408261479031e+00,        +2.536539114775e+00,        +7.929917099151e+00,        -9.757497456954e-01
 1.42000000e+02,        +7.071067811865e+00,        +7.774489714581e+00,        -7.963987695384e-01,        +5.639064670694e+00,        +2.044155028698e+00,        +7.071067811865e+00,        +5.639064670694e+00,        +2.044155028698e+00,        +7.777642171577e+00,        -7.953359852651e-01
 1.44000000e+02,        +7.071067811865e+00,        +7.656084480730e+00,        -5.897313130879e-01,        +5.818460024040e+00,        +1.524230501880e+00,        +7.071067811865e+00,        +5.818460024040e+00,        +1.524230501880e+00,        +7.659605623238e+00,        -5.890052805406e-01
 1.46000000e+02,        +7.071067811865e+00,        +7.576813361492e+00,        -3.641252171678e-01,        +5.941765739195e+00,        +9.840618917898e-01,        +7.071067811865e+00,        +5.941765739195e+00,        +9.840618917898e-01,        +7.580706890447e+00,        -3.637834174498e-01
 1.48000000e+02,        +7.071067811865e+00,        +7.539931868095e+00,        -1.276633090926e-01,        +6.005861128312e+00,        +4.319815665506e-01,        +7.071067811865e+00,        +6.005861128312e+00,        +4.319815665506e-01,        +7.544190993457e+00,        -1.277587292238e-01
 1.50000000e+02,        +7.071067811865e+00,        +7.546781430091e+00,        +1.109788420301e-01,        +6.009448066113e+00,        -1.231016896834e-01,        +7.071067811865e+00,        +6.009448066113e+00,        -1.231016896834e-01,        +7.551387255382e+00,        +1.103904616113e-01
 1.52000000e+02,        +7.071067811865e+00,        +7.596691846931e+00,        +3.430721144969e-01,        +5.953147940261e+00,        -6.722297156144e-01,        +7.071067811865e+00,        +5.953147940261e+00,        -6.722297156144e-01,        +7.601612574171e+00,        +3.419354297240e-01
 1.54000000e+02,        +7.071067811865e+00,        +7.687062444269e+00,        +5.603735764130e-01,        +5.839419794493e+00,        -1.206922416179e+00,        +7.071067811865e+00,        +5.839419794493e+00,        -1.206922416179e+00,        +7.692253484156e+00,        +5.586369017438e-01
 1.56000000e+02,        +7.071067811865e+00,        +7.813606557550e+00,        +7.556006677544e-01,        +5.672315126004e+00,        -1.719639187411e+00,        +7.071067811865e+00,        +5.672315126004e+00,        -1.719639187411e+00,        +7.819011517180e+00,        +7.532190587235e-01
 1.58000000e+02,        +7.071067811865e+00,        +7.970718542602e+00,        +9.227880020811e-01,        +5.457110266661e+00,        -2.204122214565e+00,        +7.071067811865e+00,        +5.457110266661e+00,        -2.204122214565e+00,        +7.976270961045e+00,        +9.197259066710e-01
 1.60000000e+02,        +7.071067811865e+00,        +8.151907468777e+00,        +1.057498453255e+00,        +5.199872362274e+00,        -2.655593033094e+00,        +7.071067811865e+00,        +5.199872362274e+00,        -2.655593033094e+00,        +8.157533099096e+00,        +1.053731756183e+00
 1.62000000e+02,        +7.071067811865e+00,        +8.350239392798e+00,        +1.156886103211e+00,        +4.907017265516e+00,        -3.070799654149e+00,        +7.071067811865e+00,        +4.907017265516e+00,        -3.070799654149e+00,        +8.355858797669e+00,        +1.152403478957e+00
 1.64000000e+02,        +7.071067811865e+00,        +8.558739054667e+00,        +1.219630550526e+00,        +4.584908771407e+00,        -3.447933472113e+00,        +7.071067811865e+00,        +4.584908771407e+00,        -3.447933472113e+00,        +8.564270290709e+00,        +1.214434128896e+00
 1.66000000e+02,        +7.071067811865e+00,        +8.770717677731e+00,        +1.245775977831e+00,        +4.239532860948e+00,        -3.786449058523e+00,        +7.071067811865e+00,        +4.239532860948e+00,        -3.786449058523e+00,        +8.776078881484e+00,        +1.239881395192e+00
 1.68000000e+02,        +7.071067811865e+00,        +8.980011257851e+00,        +1.236513272934e+00,        +3.876263019756e+00,        -4.086824836864e+00,        +7.071067811865e+00,        +3.876263019756e+00,        -4.086824836864e+00,        +8.985123000700e+00,        +1.229949225652e+00
 1.70000000e+02,        +7.071067811865e+00,        +9.181129219255e+00,        +1.193940908868e+00,        +3.499717341096e+00,        -4.350300051210e+00,        +7.071067811865e+00,        +3.499717341096e+00,        -4.350300051210e+00,        +9.185916556420e+00,        +1.186748342812e+00
 1.72000000e+02,        +7.071067811865e+00,        +9.369324326361e+00,        +1.120832999438e+00,        +3.113697278976e+00,        -4.578616187685e+00,        +7.071067811865e+00,        +3.113697278976e+00,        -4.578616187685e+00,        +9.373718516952e+00,        +1.113064065432e+00
 1.74000000e+02,        +7.071067811865e+00,        +9.540600778428e+00,        +1.020433829131e+00,        +2.721192081429e+00,        -4.773781964550e+00,        +7.071067811865e+00,        +2.721192081429e+00,        -4.773781964550e+00,        +9.544540694135e+00,        +1.012150715898e+00
 1.76000000e+02,        +7.071067811865e+00,        +9.691679214759e+00,        +8.962894032036e-01,        +2.324431368127e+00,        -4.937872384676e+00,        +7.071067811865e+00,        +2.324431368127e+00,        -4.937872384676e+00,        +9.695112482595e+00,        +8.875631331912e-01
 1.78000000e+02,        +7.071067811865e+00,        +9.819936220010e+00,        +7.521194359709e-01,        +1.924969718439e+00,        -5.072865424837e+00,        +7.071067811865e+00,        +1.924969718439e+00,        -5.072865424837e+00,        +9.822820160756e+00,        +7.430286806643e-01
 1.80000000e+02,        +7.071067811865e+00,        +9.923333168654e+00,        +5.917281233507e-01,        +1.523790169566e+00,        -5.180515176608e+00,        +7.071067811865e+00,        +1.523790169565e+00,        -5.180515176608e+00,        +9.925635599357e+00,        +5.823580663487e-01
 1.82000000e+02,        +7.071067811865e+00,        +1.000034593949e+01,        +4.189488960219e-01,        +1.121417115560e+00,        -5.262257552521e+00,        +7.071067811865e+00,        +1.121417115560e+00,        -5.262257552521e+00,        +1.000204590784e+01,        +4.093901457242e-01
 1.84000000e+02,        +7.071067811865e+00,        +1.004990385039e+01,        +2.376167007685e-01,        +7.180325276415e-01,        -5.319143644268e+00,        +7.071067811865e+00,        +7.180325276415e-01,        -5.319143644268e+00,        +1.005099236242e+01,        +2.279642303412e-01
 1.86000000e+02,        +7.071067811865e+00,        +1.007134345411e+01,        +5.156071073267e-02,        +3.135922845415e-01,        -5.351796006688e+00,        +7.071067811865e+00,        +3.135922845415e-01,        -5.351796006688e+00,        +1.007182424547e+01,        +4.191278093910e-02
 1.88000000e+02,        +7.071067811865e+00,        +1.006438068514e+01,        -1.353897300139e-01,        -9.205846267210e-02,        -5.360384124405e+00,        +7.071067811865e+00,        -9.205846267210e-02,        -5.360384124405e+00,        +1.006427106937e+01,        -1.449327294047e-01
 1.90000000e+02,        +7.071067811865e+00,        +1.002910317277e+01,        -3.193930086716e-01,        -4.990706034964e-01,        -5.344616768835e+00,        +7.071067811865e+00,        -4.990706034964e-01,        -5.344616768835e+00,        +1.002843497757e+01,        -3.287298801681e-01
 1.92000000e+02,        +7.071067811865e+00,        +9.965983160453e+00,        -4.965839692974e-01,        -9.074761649829e-01,        -5.303750629981e+00,        +7.071067811865e+00,        -9.074761649829e-01,        -5.303750629981e+00,        +9.964803733893e+00,        -5.056142853824e-01
 1.94000000e+02,        +7.071067811865e+00,        +9.875910175394e+00,        -6.630704368648e-01,        -1.317072431183e+00,        -5.236616324574e+00,        +7.071067811865e+00,        -1.317072431183e+00,        -5.236616324574e+00,        +9.874283407651e+00,        -6.716964732011e-01
 1.96000000e+02,        +7.071067811865e+00,        +9.760241147713e+00,        -8.149445909900e-01,        -1.727305189263e+00,        -5.141664469147e+00,        +7.071067811865e+00,        -1.727305189263e+00,        -5.141664469147e+00,        +9.758248412132e+00,        -8.230737091695e-01
 1.98000000e+02,        +7.071067811865e+00,        +9.620863887585e+00,        -9.483162510409e-01,        -2.137152811427e+00,        -5.017035764839e+00,        +7.071067811865e+00,        -2.137152811427e+00,        -5.017035764839e+00,        +9.618604758560e+00,        -9.558638056511e-01
 2.00000000e+02,        +7.071067811865e+00,        +9.460267559013e+00,        -1.059374819042e+00,        -2.545015207134e+00,        -4.860659708094e+00,        +7.071067811865e+00,        -2.545015207134e+00,        -4.860659708094e+00,        +9.457860118582e+00,        -1.066267626709e+00
 2.02000000e+02,        +7.071067811865e+00,        +9.281611034463e+00,        -1.144485618229e+00,        -2.948614624536e+00,        -4.670386277541e+00,        +7.071067811865e+00,        -2.948614624536e+00,        -4.670386277541e+00,        +9.279191540270e+00,        -1.150665968560e+00
 2.04000000e+02,        +7.071067811865e+00,        +9.088776964106e+00,        -1.200324225310e+00,        -3.344918580719e+00,        -4.444153353086e+00,        +7.071067811865e+00,        -3.344918580719e+00,        -4.444153353086e+00,        +9.086498627290e+00,        -1.205754334465e+00
 2.06000000e+02,        +7.071067811865e+00,        +8.886396507707e+00,        -1.224048699866e+00,        -3.730098349198e+00,        -4.180189316619e+00,        +7.071067811865e+00,        -3.730098349198e+00,        -4.180189316619e+00,        +8.884427130742e+00,        -1.228715409266e+00
 2.08000000e+02,        +7.071067811865e+00,        +8.679827735650e+00,        -1.213504106116e+00,        -4.099538622964e+00,        -3.877245044986e+00,        +7.071067811865e+00,        -4.099538622963e+00,        -3.877245044986e+00,        +8.678345998463e+00,        -1.217423519004e+00
 2.10000000e+02,        +7.071067811865e+00,        +8.475070772404e+00,        -1.167446521678e+00,        -4.447914124073e+00,        -3.534842490311e+00,        +7.071067811865e+00,        -4.447914124073e+00,        -3.534842490311e+00,        +8.474261040160e+00,        -1.170668162491e+00
 2.12000000e+02,        +7.071067811865e+00,        +8.278606002116e+00,        -1.085765570896e+00,        -4.769345871526e+00,        -3.153519014935e+00,        +7.071067811865e+00,        -4.769345871526e+00,        -3.153519014935e+00,        +8.278651664660e+00,        -1.088375567322e+00
 2.14000000e+02,        +7.071067811865e+00,        +8.097148996087e+00,        -9.696769150077e-01,        -5.057642637381e+00,        -2.735039138315e+00,        +7.071067811865e+00,        -5.057642637381e+00,        -2.735039138315e+00,        +8.098224532543e+00,        -9.717996656821e-01
 2.16000000e+02,        +7.071067811865e+00,        +7.937327394594e+00,        -8.218512869064e-01,        -5.306621686506e+00,        -2.282540585325e+00,        +7.071067811865e+00,        -5.306621686506e+00,        -2.282540585325e+00,        +7.939589568701e+00,        -8.236491148288e-01
 2.18000000e+02,        +7.071067811865e+00,        +7.805299625613e+00,        -6.464470470421e-01,        -5.510488374044e+00,        -1.800581979020e+00,        +7.071067811865e+00,        -5.510488374044e+00,        -1.800581979020e+00,        +7.808878424669e+00,        -6.481174681875e-01
 2.20000000e+02,        +7.071067811865e+00,        +7.706350380406e+00,        -4.490207664163e-01,        -5.664239266368e+00,        -1.295067103079e+00,        +7.071067811865e+00,        -5.664239266368e+00,        -1.295067103079e+00,        +7.711340468566e+00,        -4.507912258451e-01
 2.22000000e+02,        +7.071067811865e+00,        +7.644509307302e+00,        -2.363053387358e-01,        -5.764042044025e+00,        -7.730356892488e-01,        +7.071067811865e+00,        -5.764042044025e+00,        -7.730356892487e-01,        +7.650962826281e+00,        -2.384255598645e-01
 2.24000000e+02,        +7.071067811865e+00,        +7.622243410045e+00,        -1.586557688806e-02,        -5.807541556879e+00,        -2.423311452559e-01,        +7.071067811865e+00,        -5.807541556879e+00,        -2.423311452559e-01,        +7.630164893989e+00,        -1.859798579292e-02
 2.26000000e+02,        +7.071067811865e+00,        +7.640267516078e+00,        +2.043371537911e-01,        -5.794047651913e+00,        +2.888227893333e-01,        +7.071067811865e+00,        -5.794047651913e+00,        +2.888227893333e-01,        +7.649611486544e+00,        +2.007281915581e-01
 2.28000000e+02,        +7.071067811865e+00,        +7.697501035947e+00,        +4.164224922774e-01,        -5.724576646719e+00,        +8.122873063862e-01,        +7.071067811865e+00,        -5.724576646719e+00,        +8.122873063862e-01,        +7.708172536050e+00,        +4.116817119481e-01
 2.30000000e+02,        +7.071067811865e+00,        +7.791176376756e+00,        +6.130540548721e-01,        -5.601741255524e+00,        +1.320458631799e+00,        +7.071067811865e+00,        -5.601741255524e+00,        +1.320458631799e+00,        +7.803034348839e+00,        +6.069456700436e-01
 2.32000000e+02,        +7.071067811865e+00,        +7.917080396345e+00,        +7.878345685596e-01,        -5.429507790139e+00,        +1.806649479847e+00,        +7.071067811865e+00,        -5.429507790139e+00,        +1.806649479847e+00,        +7.929943476959e+00,        +7.801511664136e-01
 2.34000000e+02,        +7.071067811865e+00,        +8.069891131988e+00,        +9.355937802386e-01,        -5.212858620898e+00,        +2.265362300014e+00,        +7.071067811865e+00,        -5.212858620898e+00,        +2.265362300014e+00,        +8.083545195708e+00,        +9.261631531294e-01
 2.36000000e+02,        +7.071067811865e+00,        +8.243561906843e+00,        +1.052549865894e+00,        -4.957408009922e+00,        +2.692434892913e+00,        +7.071067811865e+00,        -4.957408009922e+00,        +2.692434892913e+00,        +8.257768574512e+00,        +1.041239497960e+00
 2.38000000e+02,        +7.071067811865e+00,        +8.431705007279e+00,        +1.136345996253e+00,        -4.669019342789e+00,        +3.085059900386e+00,        +7.071067811865e+00,        -4.669019342789e+00,        +3.085059900386e+00,        +8.446210348956e+00,        +1.123065221360e+00
 2.40000000e+02,        +7.071067811865e+00,        +8.627935681598e+00,        +1.185980704907e+00,        -4.353463256198e+00,        +3.441696637162e+00,        +7.071067811865e+00,        -4.353463256198e+00,        +3.441696637162e+00,        +8.642478464484e+00,        +1.170680795196e+00
 2.42000000e+02,        +7.071067811865e+00,        +8.826150654675e+00,        +1.201660983005e+00,        -4.016142781368e+00,        +3.761903974322e+00,        +7.071067811865e+00,        -4.016142781368e+00,        +3.761903974322e+00,        +8.840469669486e+00,        +1.184333585687e+00
 2.44000000e+02,        +7.071067811865e+00,        +9.020729777838e+00,        +1.184610159595e+00,        -3.661897306292e+00,        +4.046126093958e+00,        +7.071067811865e+00,        -3.661897306292e+00,        +4.046126093958e+00,        +9.034569978904e+00,        +1.165284567875e+00
 2.46000000e+02,        +7.071067811865e+00,        +9.206661803560e+00,        +1.136859987106e+00,        -3.294884938767e+00,        +4.295460295215e+00,        +7.071067811865e+00,        -3.294884938767e+00,        +4.295460295215e+00,        +9.219779182739e+00,        +1.115599722422e+00
 2.48000000e+02,        +7.071067811865e+00,        +9.379603966138e+00,        +1.061050167146e+00,        -2.918534346053e+00,        +4.511429889263e+00,        +7.071067811865e+00,        -2.918534346053e+00,        +4.511429889263e+00,        +9.391769226696e+00,        +1.037949287315e+00
 2.50000000e+02,        +7.071067811865e+00,        +9.535889774292e+00,        +9.602510436222e-01,        -2.535552638137e+00,        +4.695777809784e+00,        +7.071067811865e+00,        -2.535552638137e+00,        +4.695777809784e+00,        +9.546890970366e+00,        +9.354304996809e-01
 2.52000000e+02,        +7.071067811865e+00,        +9.672500797839e+00,        +8.378180332464e-01,        -2.147974724326e+00,        +4.850289576628e+00,        +7.071067811865e+00,        -2.147974724326e+00,        +4.850289576628e+00,        +9.682145160520e+00,        +8.114222972397e-01
 2.54000000e+02,        +7.071067811865e+00,        +9.787017280867e+00,        +6.972805148038e-01,        -1.757240774897e+00,        +4.976648659134e+00,        +7.071067811865e+00,        -1.757240774897e+00,        +4.976648659134e+00,        +9.795132471529e+00,        +6.694746056653e-01
