        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.622305897690e-12,        +2.720470798209e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.623362028202e-12,        +2.722892021090e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.606730697436e-12,        +2.670783464963e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.607642325558e-12,        +2.673019709124e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.598889990354e-12,        +2.626057528318e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.599668619537e-12,        +2.628110981439e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.598560428541e-12,        +2.587047144745e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.599214646843e-12,        +2.588920410474e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.605449482454e-12,        +2.554364739023e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.605985273755e-12,        +2.556060417201e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.619206470026e-12,        +2.528497542480e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.619627541360e-12,        +2.530017915024e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.639427044483e-12,        +2.509820364757e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.639735161426e-12,        +2.511167185638e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.665651793320e-12,        +2.498603435386e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.665847121482e-12,        +2.499777820628e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.697359754917e-12,        +2.495014590938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.697441210124e-12,        +2.496017003309e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.733957819835e-12,        +2.499115448269e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.733923432534e-12,        +2.499945770758e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.774767208354e-12,        +2.510851563067e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.774614509123e-12,        +2.511509254772e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.819008543926e-12,        +2.530036997328e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.818734976611e-12,        +2.530521324638e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.865787488360e-12,        +2.556334275376e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.865390855094e-12,        +2.556644609842e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.914083447849e-12,        +2.589231441758e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.913562385846e-12,        +2.589367613462e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.962744427595e-12,        +2.628018852109e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.962098910956e-12,        +2.627981543509e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +3.010491570120e-12,        +2.671769369423e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009723421120e-12,        +2.671560529453e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +3.055937050914e-12,        +2.719326646642e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.055050434786e-12,        +2.718949898697e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +3.097618563986e-12,        +2.769306882193e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.096620430364e-12,        +2.768767893326e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +3.134052349885e-12,        +2.820119468463e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.132952774673e-12,        +2.819426242010e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +3.163804442456e-12,        +2.870010914598e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.162616818710e-12,        +2.869173966417e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +3.185576615778e-12,        +2.917134023005e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.184317643987e-12,        +2.916166404515e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +3.198299831031e-12,        +2.959640537559e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.196989270420e-12,        +2.958557678372e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +3.201224627636e-12,        +2.995790829920e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.199884791387e-12,        +2.994610189366e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +3.193995927290e-12,        +3.024069625334e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.192650934113e-12,        +3.022810164156e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +3.176700086540e-12,        +3.043293593582e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.175374914032e-12,        +3.041975100988e-12,        +0.000000000000e+00,        +0.000000000000e+00
