        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +1.944880384282e-01,        +1.908530262931e-02,        -5.072235042185e-02,        +1.008548613575e-01,        +1.414213562373e-01,        -5.072235042185e-02,        +1.008548613575e-01,        +1.943815350034e-01,        +1.922329587494e-02
 1.02000000e+02,        +1.414213562373e-01,        +1.973583230689e-01,        +1.611167070828e-02,        -4.251478190524e-02,        +1.037714568780e-01,        +1.414213562373e-01,        -4.251478190524e-02,        +1.037714568780e-01,        +1.972677096679e-01,        +1.624642028601e-02
 1.04000000e+02,        +1.414213562373e-01,        +1.997077403802e-01,        +1.277444145796e-02,        -3.428293457220e-02,        +1.061253028105e-01,        +1.414213562373e-01,        -3.428293457220e-02,        +1.061253028105e-01,        +1.996317179548e-01,        +1.290473210651e-02
 1.06000000e+02,        +1.414213562373e-01,        +2.015031133590e-01,        +9.154575570341e-03,        -2.603635987672e-02,        +1.079510397999e-01,        +1.414213562373e-01,        -2.603635987672e-02,        +1.079510397999e-01,        +2.014403765163e-01,        +9.279478195937e-03
 1.08000000e+02,        +1.414213562373e-01,        +2.027207595280e-01,        +5.332597520138e-03,        -1.777659989169e-02,        +1.092748387065e-01,        +1.414213562373e-01,        -1.777659989169e-02,        +1.092748387065e-01,        +2.026700353747e-01,        +5.451437454764e-03
 1.10000000e+02,        +1.414213562373e-01,        +2.033453131827e-01,        +1.388521619009e-03,        -9.499708693490e-03,        +1.101134324911e-01,        +1.414213562373e-01,        -9.499708693490e-03,        +1.101134324911e-01,        +2.033053908181e-01,        +1.500846775710e-03
 1.12000000e+02,        +1.414213562373e-01,        +2.033689673853e-01,        -2.597897513796e-03,        -1.198721852137e-03,        +1.104735487514e-01,        +1.414213562373e-01,        -1.198721852137e-03,        +1.104735487514e-01,        +2.033387200162e-01,        -2.492347243010e-03
 1.14000000e+02,        +1.414213562373e-01,        +2.027911767677e-01,        -6.546745529619e-03,        +7.133910000197e-03,        +1.103516784772e-01,        +1.414213562373e-01,        +7.133910000197e-03,        +1.103516784772e-01,        +2.027695782959e-01,        -6.448067009450e-03
 1.16000000e+02,        +1.414213562373e-01,        +2.016188347812e-01,        -1.037751045494e-02,        +1.550389049840e-02,        +1.097341562663e-01,        +1.414213562373e-01,        +1.550389049840e-02,        +1.097341562663e-01,        +2.016049724493e-01,        -1.028566412633e-02
 1.18000000e+02,        +1.414213562373e-01,        +1.998669148545e-01,        -1.400877587647e-02,        +2.391261588169e-02,        +1.085975682701e-01,        +1.414213562373e-01,        +2.391261588169e-02,        +1.085975682701e-01,        +1.998599991880e-01,        -1.392361104448e-02
